country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_prod,oil_reserves,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,71 ships,Advanced,Gandhi-like,20 factories,Elite,last online 7 hours ago,rankings.php?subregion=saf,BAMF,54 Hundred Tons per month,$38150 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,279k active personnel,54 ships,Advanced,Gandhi-like,27 factories,Elite,last online 30 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,34 Hundred Tons per month,$36895 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,44 Mbbl per month,7558 Mbbl,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,479k active personnel,88 ships,Advanced,Gandhi-like,22 factories,Elite,last online 32 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,30 Hundred Tons per month,$34234 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,5 Mbbl per month,355 Mbbl,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,198k active personnel,53 ships,Advanced,Gandhi-like,22 factories,Good,last online 4 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,50 Hundred Tons per month,$33896 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,8 Mbbl per month,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Elite,last online 22 hours ago,rankings.php?subregion=mex,BAMF,30 Hundred Tons per month,$33414 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,15 Mbbl per month,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,337k active personnel,78 ships,Advanced,Gandhi-like,26 factories,Elite,online now,rankings.php?subregion=pac,BAMF,71 Hundred Tons per month,$32140 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,2 Mbbl per month,,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,220k active personnel,33 ships,Advanced,Gandhi-like,20 factories,Good,last online 5 hours ago,rankings.php?subregion=con,Brotherhood of Zion,35 Hundred Tons per month,$31750 million,alliancestats.php?allianceid=1568,Southern Cone,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,4 Mbbl per month,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,964k active personnel,100 ships,Advanced,Gandhi-like,45 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,150 Hundred Tons per month,$31387 million,alliancestats.php?allianceid=1568,China,,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,143334 km 2,http://blocgame.com/stats.php?id=47945,5 Mbbl per month,252 Mbbl,6 Tons,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,204k active personnel,78 ships,Advanced,Gandhi-like,15 factories,Elite,last online 6 hours ago,rankings.php?subregion=con,Brotherhood of Zion,28 Hundred Tons per month,$30625 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,68 ships,Advanced,Gandhi-like,17 factories,Good,last online 21 hours ago,rankings.php?subregion=egy,BAMF,25 Hundred Tons per month,$29096 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,47621 km 2,http://blocgame.com/stats.php?id=49204,35 Mbbl per month,,2 Tons,
