country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Maharashtra,Mao ze Bong,http://blocgame.com/alliancestats.php?allianceid=1393,25k active personnel,0 ships,First World War surplus,None,Elite,last online 7 hours ago,rankings.php?subregion=sub,BAMF,$314 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=sub,20398 km 2,http://blocgame.com/stats.php?id=60180,,
Dankistan,Comrade Fedespelar,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 34 hours ago,rankings.php?subregion=mes,,$315 million,,Mesopotamia,Untapped,None,,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=60181,,
Franissa,sasenov457,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 31 hours ago,rankings.php?subregion=per,,$315 million,,Persia,Untapped,None,,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=60182,,
Mabros,Zand Moradi,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 33 hours ago,rankings.php?subregion=mex,,$312 million,,Mesoamerica,Untapped,None,,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=60191,,
Azadi,Mason Steiner,http://blocgame.com/alliancestats.php?allianceid=1835,35k active personnel,0 ships,First World War surplus,None,Elite,last online 8 hours ago,rankings.php?subregion=per,SPQR,$310 million,alliancestats.php?allianceid=1835,Persia,Untapped,None,,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=40525,,
Kodainia,KJamesc8,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 32 hours ago,rankings.php?subregion=chi,,$315 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60192,,
Vostasia,San Viaserr,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 21 hours ago,rankings.php?subregion=chi,,$315 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60179,,
Panait,Naggnordesh,,29k active personnel,0 ships,First World War surplus,None,Elite,last online 55 hours ago,rankings.php?subregion=atl,,$312 million,,Atlas,Untapped,None,,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=60160,,
Timocedonia,Tmobile,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 82 hours ago,rankings.php?subregion=ara,,$303 million,,Arabia,Untapped,None,,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=60127,,
umalien,lukas9834,,19k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 19 hours ago,rankings.php?subregion=ara,,$316 million,,Arabia,Plentiful,Meagre,,http://blocgame.com/rankings.php?subregion=ara,15910 km 2,http://blocgame.com/stats.php?id=60011,,
Braeland,JamesG511,,27k active personnel,0 ships,First World War surplus,None,Elite,last online 39 hours ago,rankings.php?subregion=saf,,$309 million,,Southern Africa,Untapped,None,,http://blocgame.com/rankings.php?subregion=saf,20000 km 2,http://blocgame.com/stats.php?id=60159,,
Bolshevikistan,S.D.Plessken,,20k active personnel,0 ships,Finest of the 19th century,None,Good,last online 8 hours ago,rankings.php?subregion=congo,,$319 million,,Congo,Untapped,None,,http://blocgame.com/rankings.php?subregion=congo,20000 km 2,http://blocgame.com/stats.php?id=60189,,
Syrian,Altair Ahad,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 35 hours ago,rankings.php?subregion=per,,$311 million,,Persia,Untapped,None,,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=60183,,
Irelandia,IStealYourBacon,,23k active personnel,0 ships,First World War surplus,None,Elite,last online 137 hours ago,rankings.php?subregion=atl,,$296 million,,Atlas,Untapped,None,,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=60058,,
Varesta,Drousnavat,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 130 hours ago,rankings.php?subregion=mes,,$296 million,,Mesopotamia,Untapped,None,,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=60061,,
Ser Wyatt,Ser Wyatt,http://blocgame.com/alliancestats.php?allianceid=1881,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 187 hours ago,rankings.php?subregion=egy,Kbobbles,$309 million,alliancestats.php?allianceid=1881,Egypt,Untapped,None,,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60005,,
Novoslavija,Rade Latinovic,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 17 hours ago,rankings.php?subregion=pac,,$312 million,,Pacific Rim,Untapped,None,,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60204,,
Meriwick,Meriwick Confined,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 21 hours ago,rankings.php?subregion=congo,,$310 million,,Congo,Untapped,None,,http://blocgame.com/rankings.php?subregion=congo,20000 km 2,http://blocgame.com/stats.php?id=60207,,
Janograd,Jano the first,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 1 hours ago,rankings.php?subregion=saf,,$310 million,,Southern Africa,Untapped,None,,http://blocgame.com/rankings.php?subregion=saf,20000 km 2,http://blocgame.com/stats.php?id=60205,,
Constantin,Lionel,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 29 hours ago,rankings.php?subregion=pac,,$310 million,,Pacific Rim,Untapped,None,,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60193,,
ECPF,Schaapjoch,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 29 hours ago,rankings.php?subregion=eaf,,$310 million,,East Africa,Untapped,None,,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=60194,,
