country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
New Vilnius,Żeligowski,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 164 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61514,,,,Normal,,
Lixia,Dave Hunter,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 22 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61520,,,,Normal,,
XDXDXD,MalaysianMaster,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61521,,,,Normal,,
Stuleja,Płetwonurkov,,35k active personnel,0 ships,First World War surplus,,Good,online now,rankings.php?subregion=saf,,$300 million,,Southern Africa,Plentiful,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61524,1 Mbbl,,,Isolated,,1 Mbbl per month
Deception,JohnJones,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 16 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61528,,,,Normal,,
the Antilles,Chris F.,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 139 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=61529,,,,Normal,,
Drelinka,Catheline lebran,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 16 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=61556,,,,Normal,,
Oppressivistan,Oppressor,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 92 hours ago,rankings.php?subregion=egy,,$300 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=61563,,,,Normal,,
Merchandise,HappyMerchant,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 3 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61572,,,,Normal,,
Kondominium,AdamKarolczak,http://blocgame.com/alliancestats.php?allianceid=2041,25k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=ara,Lithuanian Coalition,$300 million,alliancestats.php?allianceid=2041,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61576,3 Mbbl,,,Normal,,3 Mbbl per month
