country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
Tr�pico,rumsod,,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=1,1 Mbbl,,,Normal,,1 Mbbl per month
South Park,cartman,,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=228,,,,Normal,,
Edtopia,Edgar,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 18 hours ago,rankings.php?subregion=mex,,$300 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=249,,,,Normal,,
Tuonela,Beelzebub,,29k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=sub,,$300 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=389,,,,Normal,,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=2043,43k active personnel,0 ships,First World War surplus,,Good,online now,rankings.php?subregion=atl,BAMF,$300 million,alliancestats.php?allianceid=2043,Atlas,Plentiful,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=2570,,,,Questionable,,
Kashmir,Hereno,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 134 hours ago,rankings.php?subregion=sub,,$300 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=2681,,,,Normal,,
Gridland,grid,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 69 hours ago,rankings.php?subregion=eaf,,$300 million,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,None,http://blocgame.com/stats.php?id=2917,,,,Normal,,
New Caucasus,Cotton Luther,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=4392,,,,Normal,,
Whitey,Knee Grow,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=waf,,$300 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,None,http://blocgame.com/stats.php?id=4816,,,,Normal,,
McSkippumstan,Coldoldgold,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 154 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=4944,,,,Normal,,
Gensokyo,DrKourin,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 14 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=5212,,,,Normal,,
Caballos,T�mas,,26k active personnel,0 ships,Finest of the 19th century,,Poor,online now,rankings.php?subregion=sub,,$300 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=5261,1 Mbbl,,,Normal,,1 Mbbl per month
Habibastan,Ahmed Habib,http://blocgame.com/alliancestats.php?allianceid=2045,35k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=egy,The Order,$300 million,alliancestats.php?allianceid=2045,Egypt,Plentiful,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=5936,,,,Questionable,,
Pingaslavia,CowsRTasty,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 22 hours ago,rankings.php?subregion=gra,,$300 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,None,http://blocgame.com/stats.php?id=6730,,,,Normal,,
Celtic Nations,BigWilly526,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 6 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=7511,,,,Normal,,
Shrekistan,Marty McShrek,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 164 hours ago,rankings.php?subregion=atl,,$300 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=9975,,,,Normal,,
Puella-Magia,Emily,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 3 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=35958,,,,Normal,,
Swedeinstan,The_Real_Taylor_Swift,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 11 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=39005,,,,Normal,,
Pompeii,Lykos,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=39021,,,,Normal,,
Eagleland,AMERICAN_HERO,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 3 hours ago,rankings.php?subregion=mex,,$300 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=39022,,,,Normal,,
WUBstep,WUBstep,http://blocgame.com/alliancestats.php?allianceid=2049,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=per,Brotherhood of Nod,$300 million,alliancestats.php?allianceid=2049,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=39023,,,,Normal,,
Montevallinia,Nimm,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 119 hours ago,rankings.php?subregion=mex,,$300 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=39033,,,,Normal,,
Vizio,linkbro,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 120 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=39037,,,,Normal,,
Rattown,Furfag Commanding,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=39062,,,,Normal,,
Krakozhia,Ilyich,,24k active personnel,0 ships,Finest of the 19th century,,Poor,online now,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=39065,1 Mbbl,,,Normal,,1 Mbbl per month
Alexandrastan,TWAIN,,25k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=39070,2 Mbbl,,,Questionable,,2 Mbbl per month
argentina,argentina,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=39074,,,,Normal,,
Swadia,SonnyJack,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=40011,,,,Normal,,
Lemonstan,Lemon,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 17 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=40048,,,,Normal,,
Kuto,AKMB,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=40095,,,,Normal,,
The Kebabtopol,Ghaddafini,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 2 hours ago,rankings.php?subregion=sea,,$300 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,None,http://blocgame.com/stats.php?id=40117,,,,Normal,,
...the mongols,Genghis Khan,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 55 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=40162,,,,Normal,,
America,Superman,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 18 hours ago,rankings.php?subregion=waf,,$300 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,None,http://blocgame.com/stats.php?id=40167,,,,Normal,,
Viktoria,gracious leader skylar,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=40188,,,,Normal,,
Tyrantia,Malakal,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 2 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=40238,,,,Normal,,
Robots,stormbot28,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 7 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=40242,,,,Normal,,
Minmaxia,Reanchi,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 4 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=40270,,,,Normal,,
Coccoladia,Ernesto Caprone,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=40289,,,,Normal,,
Infebiousness,infebious,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 2 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=40302,,,,Normal,,
Pheonix,Shockwave,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 171 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=40311,,,,Normal,,
Junoma,VicReyes,,25k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=con,,$300 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,None,http://blocgame.com/stats.php?id=40349,1 Mbbl,,,Questionable,,1 Mbbl per month
The Deserted,Kamakazi Sunshine,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=40459,,,,Normal,,
durkastan,ned kelly,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 3 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=40488,,,,Normal,,
Alamo,linksith,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 29 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=40536,,,,Normal,,
Oranje,Joseph,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 142 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=40545,,,,Normal,,
Best Istan,Glorious Leader,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 43 hours ago,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=40577,,,,Normal,,
Herpderpastan,Herpderpmcderp,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 13 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=40615,,,,Normal,,
WubWubWub,MAYDAY,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 22 hours ago,rankings.php?subregion=sea,,$300 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,None,http://blocgame.com/stats.php?id=40672,,,,Normal,,
Utopia,Ozymandias,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=40759,,,,Normal,,
Cazadoria,JoshGraham,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 35 hours ago,rankings.php?subregion=sea,,$300 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,None,http://blocgame.com/stats.php?id=40810,,,,Normal,,
The Hegemony,Peter Wiggin,,25k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=gra,,$300 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,None,http://blocgame.com/stats.php?id=40840,,,,Normal,,
Esmair,muffjin,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 11 hours ago,rankings.php?subregion=sea,,$300 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,None,http://blocgame.com/stats.php?id=40882,,,,Normal,,
San Crist�bal,FORivera,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 12 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=40966,,,,Normal,,
Piratani,vfaufabc,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 16 hours ago,rankings.php?subregion=con,,$300 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,None,http://blocgame.com/stats.php?id=41028,,,,Normal,,
Reim,Azrael,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 3 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=41073,,,,Normal,,
Byzantium,The Wolf,,29k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=41125,3 Mbbl,,,Normal,,3 Mbbl per month
Formosa,Chen ya len,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 25 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=41162,,,,Normal,,
Bourbon Island,Gypsy Danger,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 4 hours ago,rankings.php?subregion=egy,,$300 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=41247,,,,Normal,,
Shambala,Feranon,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 17 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=41268,,,,Normal,,
Naval,Laveney,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 143 hours ago,rankings.php?subregion=gra,,$300 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,None,http://blocgame.com/stats.php?id=41480,,,,Normal,,
Zion,Zionist,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=41496,,,,Normal,,
Northmarch,Elroy,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=41629,,,,Normal,,
boco grande,atheistpreacher,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=gra,,$300 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,None,http://blocgame.com/stats.php?id=41740,,,,Normal,,
Chaouenne,pyrignis,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=atl,,$300 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=42019,,,,Normal,,
Frostyputania,Frostyputa,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 28 hours ago,rankings.php?subregion=gra,,$300 million,,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,None,http://blocgame.com/stats.php?id=42065,,,,Normal,,
Treehuggers,Treehugger,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 22 hours ago,rankings.php?subregion=egy,,$300 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=42299,,,,Normal,,
Aureliana,Aurelianus Van Riebeeck,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=42341,,,,Normal,,
Wielkopl,taikuh,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 8 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=42376,,,,Normal,,
P4r4d1s3,BurmyEx,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 2 hours ago,rankings.php?subregion=mex,,$300 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=43368,,,,Normal,,
Cirno,jc99,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=43375,,,,Normal,,
Weeksy,Andyrewwer,,24k active personnel,0 ships,Finest of the 19th century,,Poor,online now,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=43381,1 Mbbl,,,Normal,,1 Mbbl per month
Argos,Arkadios,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 19 hours ago,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=43443,,,,Normal,,
Falk,Seth,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 3 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=43574,,,,Normal,,
FistPump,MasterChef,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=43623,,,,Normal,,
little italy,Vernin,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 85 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=44097,,,,Normal,,
Parsadox,Parsadox,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 21 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=44331,,,,Normal,,
Skanonia,Beefy,,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=con,,$300 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,None,http://blocgame.com/stats.php?id=44384,398 Mbbl,,,Normal,5 Hundred Tons per month,1 Mbbl per month
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=2039,37k active personnel,0 ships,First World War surplus,,Good,online now,rankings.php?subregion=chi,The High Council,$300 million,alliancestats.php?allianceid=2039,China,Plentiful,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=44539,1 Mbbl,,,Normal,,1 Mbbl per month
JaMon,amschind,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=44573,,,,Normal,,
Crapostan,King Guamba,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 14 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=44789,,,,Normal,,
Crybabia,MangyWoodpecker,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=44880,,,,Normal,,
kurdastan,stax,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 8 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=44907,,,,Normal,,
Bubupooka,Princess Rahalia,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=44960,,,,Normal,,
FreakTopia,Remington Steel,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 9 hours ago,rankings.php?subregion=ama,,$300 million,,Amazonia,Untapped,None,http://blocgame.com/rankings.php?subregion=ama,None,http://blocgame.com/stats.php?id=45527,,,,Normal,,
British Egypt,Montgomery,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 4 hours ago,rankings.php?subregion=egy,,$300 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=45596,,,,Normal,,
Mmhat,Homermustdie,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=ama,,$300 million,,Amazonia,Untapped,None,http://blocgame.com/rankings.php?subregion=ama,None,http://blocgame.com/stats.php?id=45846,,,,Normal,,
Karat,TankGun,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 23 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=45853,,,,Normal,,
dane,josen,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 28 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=45877,,,,Normal,,
Casa del Nolano,jnolat09,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 2 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=45936,,,,Normal,,
Orange Julius,5dollarcheezit,,25k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=eaf,,$300 million,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,None,http://blocgame.com/stats.php?id=46049,2 Mbbl,,,Questionable,,2 Mbbl per month
Translandia,5Six,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 8 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=46112,,,,Normal,,
Vekta,Strongbad,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 6 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=46288,,,,Normal,,
Yazu,Goobi,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 99 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=46519,,,,Normal,,
Marcus,Marcus Mills,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 119 hours ago,rankings.php?subregion=egy,,$300 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=46590,,,,Normal,,
Andalusia,Michaelion,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 37 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=46668,,,,Normal,,
Foundation,Danzo,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 8 hours ago,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=46870,,,,Normal,,
Clownaland,Clowny,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 28 hours ago,rankings.php?subregion=congo,,$300 million,,Congo,Untapped,None,http://blocgame.com/rankings.php?subregion=congo,None,http://blocgame.com/stats.php?id=46942,,,,Normal,,
Funktahulia,Sweet Baby Doc,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 31 hours ago,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=47179,,,,Normal,,
Uzbekistanstan,Shaikh Zayer,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=congo,,$300 million,,Congo,Untapped,None,http://blocgame.com/rankings.php?subregion=congo,None,http://blocgame.com/stats.php?id=47207,,,,Normal,,
Cubania,General Fidelis,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=mex,,$300 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=47349,,,,Normal,,
Tuchankaa,Toquisador,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 17 hours ago,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=47573,,,,Normal,,
