country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,439k active personnel,73 ships,Advanced,19 factories,Elite,last online 10 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$31690 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,27 factories,Good,last online 16 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$29631 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,1 Tons,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,66k active personnel,49 ships,Almost Modern,12 factories,Elite,last online 15 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$27542 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,439k active personnel,84 ships,Advanced,19 factories,Good,last online 11 hours ago,rankings.php?subregion=mes,Wreckage brothers,$27399 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,2442 Mbbl,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,214k active personnel,50 ships,Advanced,18 factories,Standard,last online 52 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$27042 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,36 ships,Almost Modern,16 factories,Good,last online 29 hours ago,rankings.php?subregion=mex,BAMF,$26643 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,494k active personnel,51 ships,Persian Gulf War surplus,19 factories,Standard,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26288 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,55 ships,Advanced,23 factories,Standard,online now,rankings.php?subregion=pac,BAMF,$26208 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,305k active personnel,51 ships,Advanced,17 factories,Good,last online 47 hours ago,rankings.php?subregion=per,SPQR,$26120 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,158k active personnel,51 ships,Advanced,15 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$26023 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,237k active personnel,71 ships,Persian Gulf War surplus,14 factories,Standard,last online 12 hours ago,rankings.php?subregion=car,The Federal Colonies,$24989 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,,
