country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,232k active personnel,71 ships,Persian Gulf War surplus,14 factories,Standard,online now,rankings.php?subregion=car,The Federal Colonies,$23851 million,alliancestats.php?allianceid=1401,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,Untapped,,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,365k active personnel,56 ships,Advanced,16 factories,Good,last online 6 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23836 million,alliancestats.php?allianceid=1568,Gran Colombia,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,Untapped,,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,66 ships,Persian Gulf War surplus,15 factories,Elite,last online 31 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$23529 million,alliancestats.php?allianceid=1568,Southern Cone,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,Untapped,,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Advanced,14 factories,Elite,online now,rankings.php?subregion=con,Brotherhood of Zion,$23427 million,alliancestats.php?allianceid=1568,Southern Cone,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,Untapped,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1835,235k active personnel,45 ships,Persian Gulf War surplus,15 factories,Elite,last online 10 hours ago,rankings.php?subregion=egy,SPQR,$23002 million,alliancestats.php?allianceid=1835,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,Untapped,,2183 Mbbl,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1835,901k active personnel,58 ships,Advanced,21 factories,Elite,last online 21 hours ago,rankings.php?subregion=egy,SPQR,$22686 million,alliancestats.php?allianceid=1835,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,Near Depletion,,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,279k active personnel,78 ships,Almost Modern,14 factories,Elite,last online 8 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$22526 million,alliancestats.php?allianceid=1568,West Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,Plentiful,,,10%
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,644k active personnel,76 ships,Advanced,40 factories,Standard,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$22264 million,alliancestats.php?allianceid=1568,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,Untapped,4 Tons,,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,34 ships,Advanced,12 factories,Elite,last online 20 hours ago,rankings.php?subregion=chi,BAMF,$22112 million,alliancestats.php?allianceid=1393,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,Untapped,,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,445k active personnel,51 ships,Persian Gulf War surplus,19 factories,Elite,online now,rankings.php?subregion=ama,BAMF,$21830 million,alliancestats.php?allianceid=1393,Amazonia,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,Untapped,,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,43 ships,Advanced,18 factories,Standard,last online 15 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$21688 million,alliancestats.php?allianceid=1568,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,Untapped,3 Tons,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,26 ships,Persian Gulf War surplus,12 factories,Elite,online now,rankings.php?subregion=pac,Brotherhood of Nod,$21067 million,alliancestats.php?allianceid=1580,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,Untapped,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,17 factories,Good,last online 4 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20781 million,alliancestats.php?allianceid=1568,Congo,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,Untapped,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,458k active personnel,13 ships,Persian Gulf War surplus,20 factories,Good,last online 9 hours ago,rankings.php?subregion=chi,BAMF,$20780 million,alliancestats.php?allianceid=1393,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,Untapped,,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,253k active personnel,51 ships,Almost Modern,10 factories,Standard,last online 1 hours ago,rankings.php?subregion=ama,The High Council,$20648 million,alliancestats.php?allianceid=1595,Amazonia,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,Untapped,1 Tons,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,249k active personnel,52 ships,Advanced,13 factories,Good,online now,rankings.php?subregion=ind,The Federal Colonies,$20147 million,alliancestats.php?allianceid=1401,East Indies,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,Untapped,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,229k active personnel,31 ships,Advanced,11 factories,Elite,last online 5 hours ago,rankings.php?subregion=mex,The Federal Colonies,$20140 million,alliancestats.php?allianceid=1401,Mesoamerica,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,Untapped,,,45%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,111k active personnel,42 ships,Almost Modern,8 factories,Elite,last online 24 hours ago,rankings.php?subregion=car,The Federal Colonies,$19775 million,alliancestats.php?allianceid=1401,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,Untapped,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,5 factories,Elite,last online 6 hours ago,rankings.php?subregion=pac,The Federal Colonies,$18915 million,alliancestats.php?allianceid=1401,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,Untapped,,238 Mbbl,5%
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Almost Modern,17 factories,Standard,last online 14 hours ago,rankings.php?subregion=chi,BAMF,$18218 million,alliancestats.php?allianceid=1393,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,Untapped,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,249k active personnel,12 ships,Persian Gulf War surplus,14 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$17850 million,alliancestats.php?allianceid=1580,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,Untapped,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,238k active personnel,51 ships,Persian Gulf War surplus,13 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$17814 million,alliancestats.php?allianceid=1393,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,Untapped,1 Tons,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,454k active personnel,18 ships,Persian Gulf War surplus,21 factories,Standard,last online 9 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$17704 million,alliancestats.php?allianceid=1568,Atlas,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,Untapped,1 Tons,,
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,210k active personnel,51 ships,Persian Gulf War surplus,11 factories,Good,last online 14 hours ago,rankings.php?subregion=pac,BAMF,$17147 million,alliancestats.php?allianceid=1393,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,49696 km 2,http://blocgame.com/stats.php?id=52235,,,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,167k active personnel,27 ships,Persian Gulf War surplus,8 factories,Elite,last online 27 hours ago,rankings.php?subregion=ama,BAMF,$17255 million,alliancestats.php?allianceid=1393,Amazonia,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,Untapped,,,
