country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,417k active personnel,100 ships,Advanced,36 factories,Elite,last online 10 hours ago,rankings.php?subregion=ara,BAMF,$34291 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=ara,181749 km 2,http://blocgame.com/stats.php?id=52331,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,38k active personnel,47 ships,Persian Gulf War surplus,16 factories,Elite,last online 71 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$30603 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,33149 km 2,http://blocgame.com/stats.php?id=40233,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,358k active personnel,71 ships,Persian Gulf War surplus,18 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$30421 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,434k active personnel,51 ships,Persian Gulf War surplus,18 factories,Standard,last online 7 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27279 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,37 Mbbl,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,375k active personnel,67 ships,Persian Gulf War surplus,19 factories,Good,last online 7 hours ago,rankings.php?subregion=mes,Wreckage brothers,$26155 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,101442 km 2,http://blocgame.com/stats.php?id=52852,4165 Mbbl,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,196k active personnel,50 ships,Advanced,17 factories,Good,last online 3 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$24608 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,263k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 9 hours ago,rankings.php?subregion=per,BAMF,$24156 million,alliancestats.php?allianceid=1393,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,25 ships,Almost Modern,16 factories,Standard,last online 36 hours ago,rankings.php?subregion=mex,BAMF,$24018 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,22 factories,Elite,last online 6 hours ago,rankings.php?subregion=pac,BAMF,$23758 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,51 ships,Persian Gulf War surplus,14 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,$23522 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,317k active personnel,56 ships,Advanced,16 factories,Elite,last online 12 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23284 million,alliancestats.php?allianceid=1568,Gran Colombia,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,228k active personnel,71 ships,Persian Gulf War surplus,14 factories,Standard,last online 5 hours ago,rankings.php?subregion=car,The Federal Colonies,$23171 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,736k active personnel,55 ships,Advanced,21 factories,Elite,last online 2 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$23081 million,alliancestats.php?allianceid=1568,Egypt,Depleted,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,63 ships,Persian Gulf War surplus,15 factories,Elite,last online 24 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$22686 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Advanced,14 factories,Good,last online 16 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$22583 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,240k active personnel,45 ships,Persian Gulf War surplus,15 factories,Elite,last online 28 hours ago,rankings.php?subregion=egy,BAMF,$22276 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,2535 Mbbl,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,440k active personnel,51 ships,Persian Gulf War surplus,19 factories,Elite,last online 5 hours ago,rankings.php?subregion=ama,BAMF,$21951 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,239k active personnel,76 ships,Almost Modern,14 factories,Elite,last online 16 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$21932 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,10%
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,105k active personnel,28 ships,Advanced,12 factories,Elite,last online 15 hours ago,rankings.php?subregion=chi,BAMF,$21334 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,344k active personnel,47 ships,Advanced,15 factories,Elite,last online 20 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$21188 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,43 ships,Advanced,18 factories,Standard,last online 5 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$20922 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,3 Tons,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,253k active personnel,51 ships,Almost Modern,10 factories,Good,last online 7 hours ago,rankings.php?subregion=ama,The High Council,$20680 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,17 factories,Good,last online 6 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20582 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,57 Mbbl,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,25 ships,Persian Gulf War surplus,12 factories,Elite,last online 12 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$20480 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,658k active personnel,73 ships,Advanced,35 factories,Standard,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$20481 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=chi,118941 km 2,http://blocgame.com/stats.php?id=47945,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,458k active personnel,13 ships,Persian Gulf War surplus,20 factories,Elite,last online 7 hours ago,rankings.php?subregion=chi,BAMF,$20351 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,305k active personnel,51 ships,Persian Gulf War surplus,16 factories,Good,last online 14 hours ago,rankings.php?subregion=sub,BAMF,$20301 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,259k active personnel,52 ships,Advanced,12 factories,Good,last online 6 hours ago,rankings.php?subregion=ind,The Federal Colonies,$19593 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,229k active personnel,28 ships,Advanced,11 factories,Good,last online 19 hours ago,rankings.php?subregion=mex,The Federal Colonies,$19469 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,35%
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,249k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,last online 5 hours ago,rankings.php?subregion=pac,BAMF,$19322 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,50704 km 2,http://blocgame.com/stats.php?id=52235,,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,105k active personnel,40 ships,Almost Modern,8 factories,Elite,last online 15 hours ago,rankings.php?subregion=car,The Federal Colonies,$19071 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,20 ships,Advanced,5 factories,Elite,last online 24 hours ago,rankings.php?subregion=pac,The Federal Colonies,$18376 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,315 Mbbl,5%
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,5 ships,Almost Modern,16 factories,Standard,last online 15 hours ago,rankings.php?subregion=chi,BAMF,$17347 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,458k active personnel,18 ships,Persian Gulf War surplus,20 factories,Good,last online 6 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$17275 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,51 ships,Persian Gulf War surplus,13 factories,Good,last online 10 hours ago,rankings.php?subregion=pac,BAMF,$17145 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,390k active personnel,65 ships,Advanced,15 factories,Elite,last online 14 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$17048 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,24 Tons,http://blocgame.com/rankings.php?subregion=per,122025 km 2,http://blocgame.com/stats.php?id=52362,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,167k active personnel,25 ships,Persian Gulf War surplus,8 factories,Standard,last online 10 hours ago,rankings.php?subregion=ama,BAMF,$16714 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,
Puella-Magia,Emily,http://blocgame.com/alliancestats.php?allianceid=1580,326k active personnel,48 ships,Persian Gulf War surplus,12 factories,Elite,last online 41 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$16493 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,61438 km 2,http://blocgame.com/stats.php?id=35958,,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1835,188k active personnel,52 ships,Advanced,19 factories,Elite,online now,rankings.php?subregion=waf,SPQR,$16487 million,alliancestats.php?allianceid=1835,West Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,233k active personnel,25 ships,Persian Gulf War surplus,11 factories,Standard,last online 9 hours ago,rankings.php?subregion=mes,BAMF,$16365 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,24459 km 2,http://blocgame.com/stats.php?id=49652,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,219k active personnel,48 ships,Persian Gulf War surplus,9 factories,Elite,last online 10 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$16362 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,140k active personnel,0 ships,Advanced,13 factories,Poor,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,$16262 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,45979 km 2,http://blocgame.com/stats.php?id=44573,,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,248k active personnel,51 ships,Advanced,14 factories,Good,last online 1 hours ago,rankings.php?subregion=ara,BAMF,$16118 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ara,93110 km 2,http://blocgame.com/stats.php?id=53748,3660 Mbbl,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,157k active personnel,17 ships,Almost Modern,10 factories,Good,last online 19 hours ago,rankings.php?subregion=car,Wreckage brothers,$15850 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,59054 km 2,http://blocgame.com/stats.php?id=40242,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,239k active personnel,53 ships,Persian Gulf War surplus,10 factories,Elite,last online 7 hours ago,rankings.php?subregion=pac,BAMF,$15609 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,411 Mbbl,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,109k active personnel,24 ships,Persian Gulf War surplus,16 factories,Elite,last online 9 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$15673 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,,
Treehuggers,Treehugger,http://blocgame.com/alliancestats.php?allianceid=1594,329k active personnel,44 ships,Persian Gulf War surplus,21 factories,Elite,last online 1 hours ago,rankings.php?subregion=egy,The Cartel,$15494 million,alliancestats.php?allianceid=1594,Egypt,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,83104 km 2,http://blocgame.com/stats.php?id=42299,,
