country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,418k active personnel,71 ships,Advanced,19 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Zion,$31268 million,alliancestats.php?allianceid=1568,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,50 ships,Advanced,27 factories,Elite,last online 9 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$28559 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,3 Tons,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,474k active personnel,51 ships,Persian Gulf War surplus,19 factories,Poor,last online 10 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27103 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,439k active personnel,75 ships,Advanced,19 factories,Elite,online now,rankings.php?subregion=mes,Wreckage brothers,$26970 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,1737 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,52k active personnel,48 ships,Persian Gulf War surplus,12 factories,Elite,last online 24 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$26735 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,214k active personnel,50 ships,Advanced,18 factories,Good,last online 18 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$26123 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,34 ships,Almost Modern,16 factories,Good,last online 3 hours ago,rankings.php?subregion=mex,BAMF,$25654 million,alliancestats.php?allianceid=1393,Mesoamerica,,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,293k active personnel,51 ships,Advanced,17 factories,Good,last online 29 hours ago,rankings.php?subregion=per,SPQR,$25425 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,23 factories,Good,online now,rankings.php?subregion=pac,BAMF,$25284 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,158k active personnel,51 ships,Advanced,15 factories,Elite,last online 3 hours ago,rankings.php?subregion=saf,BAMF,$25094 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,225k active personnel,71 ships,Persian Gulf War surplus,14 factories,Good,last online 10 hours ago,rankings.php?subregion=car,The Federal Colonies,$24327 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,401k active personnel,57 ships,Advanced,16 factories,Good,last online 3 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$24140 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,67 ships,Persian Gulf War surplus,15 factories,Elite,last online 12 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$24145 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Advanced,15 factories,Elite,last online 3 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$24043 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1835,240k active personnel,49 ships,Persian Gulf War surplus,15 factories,Elite,last online 25 hours ago,rankings.php?subregion=egy,SPQR,$23549 million,alliancestats.php?allianceid=1835,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,1927 Mbbl,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,79 ships,Almost Modern,14 factories,Elite,last online 15 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$22931 million,alliancestats.php?allianceid=1568,West Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,10%
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,698k active personnel,76 ships,Advanced,40 factories,Standard,last online 9 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$22901 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,4 Tons,,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,201k active personnel,34 ships,Advanced,12 factories,Elite,last online 15 hours ago,rankings.php?subregion=chi,BAMF,$22606 million,alliancestats.php?allianceid=1393,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1835,906k active personnel,62 ships,Advanced,22 factories,Elite,last online 6 hours ago,rankings.php?subregion=egy,SPQR,$22267 million,alliancestats.php?allianceid=1835,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,43 ships,Advanced,18 factories,Poor,last online 46 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$22271 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,3 Tons,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,435k active personnel,51 ships,Advanced,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=ama,BAMF,$21666 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,26 ships,Persian Gulf War surplus,12 factories,Elite,last online 12 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$21527 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,444k active personnel,13 ships,Persian Gulf War surplus,21 factories,Good,last online 7 hours ago,rankings.php?subregion=chi,BAMF,$21090 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,17 factories,Good,last online 9 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20863 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,253k active personnel,51 ships,Almost Modern,10 factories,Good,last online 9 hours ago,rankings.php?subregion=ama,The High Council,$20742 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,1 Tons,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,229k active personnel,34 ships,Advanced,11 factories,Elite,last online 3 hours ago,rankings.php?subregion=mex,The Federal Colonies,$20582 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,,45%
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,221k active personnel,52 ships,Advanced,14 factories,Good,online now,rankings.php?subregion=ind,The Federal Colonies,$20541 million,alliancestats.php?allianceid=1401,East Indies,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,117k active personnel,45 ships,Almost Modern,8 factories,Elite,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,$20256 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,7 factories,Elite,last online 15 hours ago,rankings.php?subregion=pac,The Federal Colonies,$19328 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,174 Mbbl,5%
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Almost Modern,17 factories,Standard,last online 10 hours ago,rankings.php?subregion=chi,BAMF,$18817 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,261k active personnel,12 ships,Persian Gulf War surplus,14 factories,Good,last online 5 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$18275 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,238k active personnel,51 ships,Advanced,13 factories,Good,online now,rankings.php?subregion=pac,BAMF,$18276 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,462k active personnel,18 ships,Persian Gulf War surplus,22 factories,Standard,last online 7 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$18016 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,1 Tons,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,175k active personnel,29 ships,Persian Gulf War surplus,8 factories,Elite,last online 30 hours ago,rankings.php?subregion=ama,BAMF,$17640 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,302k active personnel,44 ships,Advanced,15 factories,Poor,last online 8 hours ago,rankings.php?subregion=per,Inter/pol/,$17543 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,94k active personnel,0 ships,Advanced,13 factories,Good,online now,rankings.php?subregion=car,The Federal Colonies,$17622 million,alliancestats.php?allianceid=1401,Caribbean,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45979 km 2,http://blocgame.com/stats.php?id=44573,,,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1393,229k active personnel,57 ships,Advanced,19 factories,Elite,last online 7 hours ago,rankings.php?subregion=waf,BAMF,$17265 million,alliancestats.php?allianceid=1393,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
