country,leader,alliance,army_size,navy,equipment,factories,training,last_online,gdp,oil_reserves,region/_text,uranium,manpower,airforce,territory,pageUrl,
Sloth,Speedwardo,The Last Phoenix,9,5,Korean War surplus,3,Elite,34,3578,0,East Africa,0,0,Mediocre,13390,http://blocgame.com/stats.php?id=56328,
United,allsmart,The Federal Colonies,120,11,Korean War surplus,5,Elite,11,3555,0,Gran Colombia,0,Untapped,Very Powerful,36086,http://blocgame.com/stats.php?id=57257,
Ketroyla,Erolvant,UoHN,91,7,Korean War surplus,3,Good,5,3508,0,Indochina,0,Untapped,Large,19406,http://blocgame.com/stats.php?id=55951,
Dominicanos,jrod183,Brotherhood of Nod,146,41,Korean War surplus,8,Poor,2,4108,0,Caribbean,0,Plentiful,Large,51505,http://blocgame.com/stats.php?id=56237,
IornFront,Firestar,0,5,4,Second World War surplus,3,Elite,67,3598,409,China,0,0,Powerful,16940,http://blocgame.com/stats.php?id=58206,
Ruye,Gingington,BAMF,29,2,Second World War surplus,3,Elite,4,3569,0,East Indies,0,0,Somewhat Large,19958,http://blocgame.com/stats.php?id=58408,
Masketto,svidjod,Wreckage brothers,139,6,Almost Modern,10,Elite,2,3496,0,Egypt,0,Plentiful,Very Powerful,71120,http://blocgame.com/stats.php?id=55437,
Bennington,William Wallace,UoHN,79,6,Korean War surplus,2,Elite,36,3510,0,Pacific Rim,0,Untapped,Large,13343,http://blocgame.com/stats.php?id=58167,
/r/Stanch,Stanch,0,10,1,Second World War surplus,3,Standard,125,3531,580,Amazonia,0,Plentiful,None,30765,http://blocgame.com/stats.php?id=57684,
Stargaze,The Head,0,1,3,First World War surplus,4,Undisciplined Rabble,8,3479,0,China,0,Depleted,Large,23860,http://blocgame.com/stats.php?id=58264,
Argon,Argus,Inter/pol/,102,9,Korean War surplus,5,Good,17,3050,7120,Atlas,0,0,Powerful,34552,http://blocgame.com/stats.php?id=57323,
East Siam,Joseph Orwell,Inter/pol/,31,5,Korean War surplus,5,Good,30,3334,584,Indochina,0,Untapped,Powerful,40998,http://blocgame.com/stats.php?id=57655,
Kalashnicovia,Big Richard,S.T.A.L.K.E.R.,9,5,Second World War surplus,3,Elite,32,3468,5939,Atlas,0,Untapped,Large,21606,http://blocgame.com/stats.php?id=57728,
Chimerica,Juan,Brotherhood of Zion,79,2,Vietnam War surplus,3,Good,154,3332,103,Mesoamerica,0,Untapped,Large,31923,http://blocgame.com/stats.php?id=51469,
Krasnyyikistan,JohnTheGreat,Socialist Arab Union,11,3,Korean War surplus,2,Good,8,3434,948,Arabia,0,Untapped,Large,14210,http://blocgame.com/stats.php?id=50209,
ublurg,MaximilianConti,Brotherhood of Nod,4,5,Vietnam War surplus,3,Standard,187,3332,0,China,0,Untapped,Large,17787,http://blocgame.com/stats.php?id=55362,
Rhodesovo,Jean Latrois,S.T.A.L.K.E.R.,31,11,Vietnam War surplus,3,Good,1,3364,0,Southern Africa,0,Near Depletion,Somewhat Large,17764,http://blocgame.com/stats.php?id=55524,
Autismo,Setup,S.T.A.L.K.E.R.,92,3,Korean War surplus,3,Good,12,3325,600,Caribbean,0,Untapped,Somewhat Large,20600,http://blocgame.com/stats.php?id=57745,
Jam,pbjam,Brotherhood of Nod,113,16,Korean War surplus,5,Good,7,3295,0,East Indies,0,Untapped,Very Powerful,25133,http://blocgame.com/stats.php?id=56490,
DynamicMemes,mememan69,Inter/pol/,52,12,Second World War surplus,3,Elite,3,3333,71,Southern Africa,0,Plentiful,Large,19432,http://blocgame.com/stats.php?id=57005,
Chanada,chad7405,BAMF,3,0,First World War surplus,4,Good,19,3341,0,Arabia,0,Plentiful,Large,33981,http://blocgame.com/stats.php?id=58742,
FURFAGGOTRY,Film,0,52,0,Korean War surplus,2,Good,10,3227,426,Gran Colombia,0,0,Somewhat Large,19500,http://blocgame.com/stats.php?id=56981,
Normies,Twiggy Spackle,BAMF,2,3,Second World War surplus,3,Undisciplined Rabble,2,3299,0,Persia,0,Depleted,None,8779,http://blocgame.com/stats.php?id=55806,
Azhdahagate,Azhdaha_Panzer,Brotherhood of Nod,255,40,Almost Modern,20,Poor,4,3158,0,Mesopotamia,0,Plentiful,Very Powerful,116034,http://blocgame.com/stats.php?id=52422,
PonyPenetrators,PonyPenetrator,EUN,130,20,Almost Modern,5,Elite,2,3161,0,China,0,Untapped,Very Powerful,13920,http://blocgame.com/stats.php?id=52348,
New Sealand,Amish Electrician,Inter/pol/,145,2,Second World War surplus,3,Standard,187,3128,0,Caribbean,0,Untapped,Large,30239,http://blocgame.com/stats.php?id=57797,
Awesomeria,killbodies,Brotherhood of Zion,95,13,Korean War surplus,7,Elite,0,3118,0,Southern Africa,0,Near Depletion,Mediocre,40570,http://blocgame.com/stats.php?id=57755,
Republic Dank,Dank de von Psstoyeur,Socialist Arab Union,40,0,Second World War surplus,3,Good,6,3221,0,Arabia,0,Untapped,Powerful,21845,http://blocgame.com/stats.php?id=58562,
French Africa,Philippe P�tain,Wreckage brothers,135,21,Vietnam War surplus,7,Elite,8,2961,0,Guinea,0,Untapped,Very Powerful,35614,http://blocgame.com/stats.php?id=58122,
Solomonopolis,Supreme Meme Solomon VII,0,8,0,Second World War surplus,3,Undisciplined Rabble,177,3152,0,Guinea,0,Untapped,Very Powerful,18759,http://blocgame.com/stats.php?id=57398,
Cebrene,Ares,Brotherhood of Nod,17,0,Second World War surplus,0,Undisciplined Rabble,107,3084,5346,Egypt,0,Untapped,Meagre,7564,http://blocgame.com/stats.php?id=50488,
Hardian,Al-Kor,Brotherhood of Nod,23,7,Korean War surplus,3,Elite,4,2818,5814,Mesopotamia,0,Near Depletion,Somewhat Large,16170,http://blocgame.com/stats.php?id=55913,
Bubbians,Bubbanator,BAMF,7,2,Second World War surplus,2,Good,176,3078,0,Egypt,0,Untapped,Meagre,9140,http://blocgame.com/stats.php?id=58104,
Bloodied Stools,cowds,The High Council,7,0,Korean War surplus,2,Elite,2,3097,0,Gran Colombia,0,0,Meagre,17450,http://blocgame.com/stats.php?id=56997,
Ugandisian,True Infinite,The High Council,36,12,Korean War surplus,3,Elite,1,3112,0,Pacific Rim,0,Depleted,Powerful,28895,http://blocgame.com/stats.php?id=58089,
Curry Ville,chettiar,Brotherhood of Nod,32,0,Second World War surplus,1,Elite,75,3104,0,The Subcontinent,0,Untapped,None,11120,http://blocgame.com/stats.php?id=57293,
Plob,plox,Socialist Arab Union,116,4,Second World War surplus,2,Standard,17,3033,2998,Arabia,0,Untapped,Mediocre,19493,http://blocgame.com/stats.php?id=58260,
Sengala,General Tyler,0,5,0,Korean War surplus,1,Elite,7,2559,0,Southern Africa,0,0,Mediocre,5823,http://blocgame.com/stats.php?id=56035,
Wolomon,2DankRets,The Golden Company,67,2,Korean War surplus,3,Good,25,3080,187,Guinea,0,0,Somewhat Large,14368,http://blocgame.com/stats.php?id=57395,
Free Hawaii,Cw3040,0,7,3,Second World War surplus,3,Standard,137,3057,0,Pacific Rim,0,Untapped,Meagre,21706,http://blocgame.com/stats.php?id=58038,
Libertem,Commander in Chief,IDA,5,0,Korean War surplus,0,Elite,129,3026,0,Pacific Rim,0,Plentiful,Mediocre,5617,http://blocgame.com/stats.php?id=56783,
Clownaland,Clowny,Brotherhood of Zion,154,2,Persian Gulf War surplus,6,Elite,3,2952,189,Congo,0,Untapped,Very Powerful,62215,http://blocgame.com/stats.php?id=46942,
eQna8,Dave_Smith,BAMF,184,15,Vietnam War surplus,13,Elite,0,2953,107,Congo,0,Plentiful,Very Powerful,98598,http://blocgame.com/stats.php?id=48695,
The,metalmallowz,0,127,13,Korean War surplus,5,Elite,1,2928,0,Persia,0,Plentiful,Very Powerful,49133,http://blocgame.com/stats.php?id=58004,
Tajikistan,Perrehkeet,0,44,0,Korean War surplus,2,Elite,40,3015,6,The Subcontinent,0,Untapped,Large,19602,http://blocgame.com/stats.php?id=58207,
Habibastan,Ahmed Habib,BAMF,145,9,Vietnam War surplus,9,Good,0,3613,1296,Egypt,0,0,Very Powerful,58198,http://blocgame.com/stats.php?id=5936,
Confederates,Sinborn,Brotherhood of Nod,7,7,Second World War surplus,3,Elite,12,2508,0,Egypt,0,0,Powerful,19406,http://blocgame.com/stats.php?id=55297,
Muricastan,UncleKalashnikov,Trump International,68,0,Korean War surplus,1,Elite,83,2908,0,Southern Africa,0,Untapped,Large,7355,http://blocgame.com/stats.php?id=48270,
HiredGun,FreeCharge,Wreckage brothers,199,49,Persian Gulf War surplus,10,Good,12,2848,0,Egypt,0,Untapped,Very Powerful,66714,http://blocgame.com/stats.php?id=53353,
Cecoe,JamesK,0,40,0,Second World War surplus,0,Good,19,2912,0,Southern Cone,0,Untapped,Meagre,9175,http://blocgame.com/stats.php?id=57441,
uitkyk,dede macaba,IDA,46,5,Second World War surplus,3,Good,15,2885,0,Congo,0,Near Depletion,Large,28731,http://blocgame.com/stats.php?id=58105,
Loznica,Straxinja,Kekolutionaries,103,9,Korean War surplus,3,Elite,20,2738,0,Egypt,0,Untapped,Very Powerful,15479,http://blocgame.com/stats.php?id=54918,
Klub,Man of the Moon,Wreckage brothers,179,9,Persian Gulf War surplus,6,Standard,2,2786,0,Guinea,0,Untapped,Very Powerful,46887,http://blocgame.com/stats.php?id=52854,
One Star,Neku,The High Council,68,15,Vietnam War surplus,5,Elite,10,2794,0,Persia,0,Untapped,Powerful,35196,http://blocgame.com/stats.php?id=57783,
Gondwansa,Chancellor Reninens,0,20,0,First World War surplus,0,Poor,52,2826,0,Southern Africa,0,Untapped,Meagre,13750,http://blocgame.com/stats.php?id=56003,
Kathar,Nariva,Inter/pol/,10,0,Korean War surplus,1,Standard,78,2376,112,Mesoamerica,0,Untapped,Small,13477,http://blocgame.com/stats.php?id=58426,
Freedom Treaty,Ursa Majoris,Inter/pol/,103,0,Second World War surplus,4,Good,29,2821,0,China,0,Untapped,Powerful,35059,http://blocgame.com/stats.php?id=57690,
Gringolandia,The Morally Superior: II,BAMF,8,0,Finest of the 19th century,3,Undisciplined Rabble,1,2751,0,Gran Colombia,0,Near Depletion,None,31204,http://blocgame.com/stats.php?id=57106,
Kutushland,unfeter101,Brotherhood of Nod,52,0,Second World War surplus,2,Elite,0,2768,0,The Subcontinent,0,Depleted,Small,28501,http://blocgame.com/stats.php?id=58396,
Syldavia,Bozalo,Brotherhood of Nod,6,0,First World War surplus,2,Standard,176,2785,486,Indochina,0,Untapped,None,16496,http://blocgame.com/stats.php?id=57972,
Kruland,megaspider01,Cult of the DEADFISH,45,0,Second World War surplus,2,Standard,24,2808,0,West Africa,0,Near Depletion,Small,13330,http://blocgame.com/stats.php?id=57321,
That One Place,That One Guy,S.T.A.L.K.E.R.,52,1,Vietnam War surplus,3,Elite,16,2810,3559,Persia,0,Untapped,Large,37190,http://blocgame.com/stats.php?id=56980,
Equinepolis,PoshTiara,UoHN,65,2,Second World War surplus,3,Elite,16,2806,0,Pacific Rim,0,Untapped,Small,23489,http://blocgame.com/stats.php?id=58637,
MightyDuckistan,Reginald D. Capote,The Golden Company,57,0,Korean War surplus,2,Elite,0,2695,0,Guinea,0,Depleted,Mediocre,16026,http://blocgame.com/stats.php?id=57447,
Decelea,Demeter,The High Council,5,0,First World War surplus,0,Undisciplined Rabble,107,2696,11960,Arabia,0,Untapped,None,4382,http://blocgame.com/stats.php?id=50489,
Mosul,Mosul,UoHN,129,14,Korean War surplus,7,Standard,14,2686,0,Mesopotamia,0,Untapped,Very Powerful,51271,http://blocgame.com/stats.php?id=56505,
Space Cops,Starfleet Command,The Golden Company,64,6,Korean War surplus,3,Good,3,2789,98,Guinea,0,Depleted,Large,8689,http://blocgame.com/stats.php?id=57394,
Graceland,Elvis,BAMF,30,2,Second World War surplus,3,Good,1,2679,329,East Africa,0,0,Somewhat Large,36936,http://blocgame.com/stats.php?id=7435,
jesucristo,jesucristo,Brotherhood of Nod,41,0,First World War surplus,2,Undisciplined Rabble,2,2624,0,Arabia,0,Untapped,Large,33313,http://blocgame.com/stats.php?id=58200,
Durkstan,Talib,Inter/pol/,190,12,Korean War surplus,8,Elite,5,2479,0,Atlas,0,Plentiful,Very Powerful,61012,http://blocgame.com/stats.php?id=56559,
Walmart,Jeddy,Inter/pol/,4,8,Korean War surplus,4,Elite,2,2595,0,China,0,0,Very Powerful,57741,http://blocgame.com/stats.php?id=57903,
Zambara,relower,Brotherhood of Nod,35,0,Second World War surplus,1,Standard,153,2697,266,China,0,Untapped,Somewhat Large,22097,http://blocgame.com/stats.php?id=58507,
king's landing,mannisbaratheon,Inter/pol/,25,16,Almost Modern,4,Elite,15,2659,109,The Subcontinent,0,0,Very Powerful,38403,http://blocgame.com/stats.php?id=55616,
Oreos,noidll,BAMF,145,8,Korean War surplus,7,Elite,0,2566,0,Pacific Rim,0,Untapped,Very Powerful,37662,http://blocgame.com/stats.php?id=58157,
Brick,Brick,Inter/pol/,111,6,Korean War surplus,3,Elite,3,2578,169,Southern Cone,0,Plentiful,Large,42591,http://blocgame.com/stats.php?id=57300,
Good Jobs,Mongoloid Manager,0,33,0,Korean War surplus,5,Good,5,2542,0,Indochina,0,Plentiful,Large,35297,http://blocgame.com/stats.php?id=57865,
Yoxtopistan,Yoxernator,UoHN,61,8,Vietnam War surplus,4,Elite,3,2620,7168,Egypt,0,Untapped,Very Powerful,14146,http://blocgame.com/stats.php?id=50922,
Communistutopia,Bill Broskis,BAMF,138,1,Korean War surplus,2,Good,0,2537,4319,Persia,0,Untapped,Mediocre,20263,http://blocgame.com/stats.php?id=49796,
New Eastasia,LogieBear,IDA,80,0,Korean War surplus,2,Good,10,2572,0,China,0,Untapped,Somewhat Large,21236,http://blocgame.com/stats.php?id=57041,
New Palestina,MacK0797,Brotherhood of Zion,120,1,Korean War surplus,4,Good,11,2590,2037,Mesopotamia,0,Untapped,Powerful,35246,http://blocgame.com/stats.php?id=58215,
Markovia,RDM HC,The Federal Colonies,10,7,Second World War surplus,3,Undisciplined Rabble,127,2638,0,Caribbean,0,Untapped,Meagre,23801,http://blocgame.com/stats.php?id=58369,
SaorStatEire,jaybyrne9,Brotherhood of Nod,45,0,Korean War surplus,3,Standard,185,2560,0,Caribbean,0,Untapped,Very Powerful,30300,http://blocgame.com/stats.php?id=50293,
Subcon,Sybalus,Brotherhood of Nod,44,7,Second World War surplus,2,Good,137,2600,255,East Africa,0,Untapped,Somewhat Large,13750,http://blocgame.com/stats.php?id=53099,
PolandThePower,PolandThePower44,BAMF,64,5,Second World War surplus,4,Elite,11,2577,3799,Mesopotamia,0,Plentiful,Powerful,20263,http://blocgame.com/stats.php?id=58217,
Conferan,Cryptox,The High Council,147,11,Korean War surplus,4,Standard,1,2509,0,East Indies,0,Untapped,Somewhat Large,16010,http://blocgame.com/stats.php?id=56710,
Devina,semi_equal,The Last Phoenix,206,13,Vietnam War surplus,8,Good,1,2503,0,Amazonia,0,Untapped,Very Powerful,41161,http://blocgame.com/stats.php?id=54734,
Jebawka,Shetay,UoHN,3,8,Vietnam War surplus,3,Good,13,2556,0,Mesopotamia,0,0,Small,9326,http://blocgame.com/stats.php?id=54304,
Cheeseburger,OneManKlan,0,48,1,Korean War surplus,3,Undisciplined Rabble,2,2564,538,China,0,Near Depletion,Large,20191,http://blocgame.com/stats.php?id=58246,
Bermuda,London J. Collins,BAMF,90,3,Korean War surplus,2,Elite,1,2479,75,Caribbean,0,Untapped,Powerful,47146,http://blocgame.com/stats.php?id=58252,
Esmair,muffjin,BAMF,124,26,Almost Modern,4,Good,3,2481,0,Indochina,0,Plentiful,Very Powerful,34026,http://blocgame.com/stats.php?id=40882,
Cheekistan,Josef Reimer,S.T.A.L.K.E.R.,70,2,Korean War surplus,3,Elite,100,2556,5235,Atlas,0,Untapped,Mediocre,21211,http://blocgame.com/stats.php?id=58547,
Pegasus,hoy18883,Wreckage brothers,11,0,Korean War surplus,2,Elite,64,2530,0,Arabia,0,0,Mediocre,8923,http://blocgame.com/stats.php?id=57829,
Ferma,President Jacobo Vincenzo,BAMF,56,1,Second World War surplus,4,Elite,4,2509,0,Southern Cone,0,Untapped,Powerful,29100,http://blocgame.com/stats.php?id=58784,
Jumbonesia,Napalm Caesar,The High Council,54,0,Second World War surplus,3,Elite,4,2486,0,Pacific Rim,0,Plentiful,Mediocre,15270,http://blocgame.com/stats.php?id=58350,
Hof'Koursh,TheGoodDoctor,Wreckage brothers,282,10,Almost Modern,10,Poor,1,2428,239,West Africa,2,0,Very Powerful,70583,http://blocgame.com/stats.php?id=55002,
New Siberia,DrywallToastCrunch,0,7,1,Second World War surplus,2,Undisciplined Rabble,131,2400,0,Guinea,0,Untapped,Large,10575,http://blocgame.com/stats.php?id=58077,
Herpderpastan,Herpderpmcderp,BAMF,240,17,Almost Modern,10,Elite,11,2287,0,Persia,0,Untapped,Very Powerful,43332,http://blocgame.com/stats.php?id=40615,
Magyarska,UngvarLaszlo,Inter/pol/,55,9,Korean War surplus,3,Good,2,2294,0,China,0,Untapped,Very Powerful,26422,http://blocgame.com/stats.php?id=57837,
4U9525,Bloomin,Wreckage brothers,53,2,Second World War surplus,3,Good,19,2392,136,China,0,Untapped,Large,20000,http://blocgame.com/stats.php?id=58527,
Translandia,5Six,Brotherhood of Zion,217,0,Persian Gulf War surplus,6,Elite,3,3123,239,Pacific Rim,0,Untapped,Very Powerful,50900,http://blocgame.com/stats.php?id=46112,
Cubna,Fishdel_Castro,The Golden Company,105,3,First World War surplus,3,Elite,4,2324,261,Guinea,0,Untapped,Small,36779,http://blocgame.com/stats.php?id=57396,
Foundation,Danzo,Brotherhood of Zion,209,11,Almost Modern,5,Elite,1,2252,0,China,0,Untapped,Very Powerful,81898,http://blocgame.com/stats.php?id=46870,
BURGEROPILY,Burger_boss,Brotherhood of Zion,20,0,Korean War surplus,1,Elite,10,2255,1330,Arabia,0,Untapped,Mediocre,16862,http://blocgame.com/stats.php?id=55903,
Good Sleep,Pupper,0,59,0,Korean War surplus,2,Good,8,2290,5663,Egypt,0,Near Depletion,Mediocre,23257,http://blocgame.com/stats.php?id=57001,
Space,Blank_Space___,Brotherhood of Zion,132,1,Korean War surplus,3,Standard,9,2263,63,China,0,Untapped,Meagre,16335,http://blocgame.com/stats.php?id=57090,
Dedham,dassiell,Inter/pol/,64,0,Second World War surplus,2,Poor,155,2292,0,Mesoamerica,0,Untapped,Meagre,19388,http://blocgame.com/stats.php?id=58580,
Latveria,Doom,0,19,1,Second World War surplus,2,Elite,0,2312,0,Mesopotamia,0,0,Meagre,10115,http://blocgame.com/stats.php?id=57009,
FIFA,Seff Blatter,Brotherhood of Nod,150,11,Korean War surplus,5,Elite,33,2130,26,Amazonia,0,Untapped,Powerful,41138,http://blocgame.com/stats.php?id=56829,
nandao,(insert racist name here),IDA,48,2,Korean War surplus,3,Elite,0,2290,0,China,0,Near Depletion,Mediocre,25280,http://blocgame.com/stats.php?id=58150,
Nautique,wayneeconomist,Inter/pol/,72,1,Second World War surplus,3,Elite,0,2199,452,The Subcontinent,0,Plentiful,Small,23257,http://blocgame.com/stats.php?id=58443,
Beaners,Judge Judy,UoHN,121,20,Vietnam War surplus,4,Good,13,2170,100,Mesoamerica,1,Untapped,Very Powerful,32153,http://blocgame.com/stats.php?id=55673,
isil,imbringingarabsback,BAMF,49,0,First World War surplus,3,Undisciplined Rabble,2,2152,0,Arabia,0,Plentiful,Very Powerful,36258,http://blocgame.com/stats.php?id=58315,
Umpauna,Sarsy Parsy,The High Council,106,5,Vietnam War surplus,3,Elite,7,2116,12106,Mesopotamia,0,Untapped,Meagre,16687,http://blocgame.com/stats.php?id=56092,
Boletaria,Geralt Dayne,Inter/pol/,138,5,Korean War surplus,3,Standard,4,2042,78,China,0,Untapped,Very Powerful,20000,http://blocgame.com/stats.php?id=56664,
Marijuana,Weed is Good the III,Brotherhood of Nod,114,11,Korean War surplus,3,Standard,55,2064,239,Caribbean,0,Untapped,Very Powerful,25757,http://blocgame.com/stats.php?id=56663,
Cigars,El Caballo,Brotherhood of Zion,168,0,Persian Gulf War surplus,4,Good,1,2033,0,Caribbean,0,Untapped,Very Powerful,49016,http://blocgame.com/stats.php?id=52087,
Judeau,Flynn MacMaster,IDA,31,3,Second World War surplus,2,Elite,9,2145,0,Pacific Rim,0,0,Mediocre,13210,http://blocgame.com/stats.php?id=58551,
Burma,Wyatt McCc,Inter/pol/,101,2,Korean War surplus,3,Good,59,2050,0,East Indies,0,Untapped,Large,24400,http://blocgame.com/stats.php?id=56151,
ayyland,jesusaves,Brotherhood of Nod,31,0,First World War surplus,2,Undisciplined Rabble,2,2091,0,Caribbean,0,0,Powerful,14527,http://blocgame.com/stats.php?id=56439,
Fury Road,Immortan Joe,BAMF,124,1,Second World War surplus,5,Good,8,2007,0,Arabia,0,Near Depletion,Very Powerful,30865,http://blocgame.com/stats.php?id=58541,
cured ebola,bigtop ranga,The High Council,99,9,Korean War surplus,3,Poor,53,2002,0,West Africa,0,Untapped,Very Powerful,27739,http://blocgame.com/stats.php?id=56450,
Azteca,Jakjon09,Kekolutionaries,61,3,Korean War surplus,2,Standard,18,2032,112,Mesoamerica,0,Untapped,Mediocre,31661,http://blocgame.com/stats.php?id=58499,
Pasties,Adorkable,Inter/pol/,94,1,Korean War surplus,3,Elite,1,1945,0,China,0,Untapped,Powerful,49018,http://blocgame.com/stats.php?id=58006,
WhiteArgentina,MickyVanilla,0,6,1,Second World War surplus,2,Poor,37,1932,0,Southern Cone,0,Untapped,Meagre,4296,http://blocgame.com/stats.php?id=56750,
Umbria,Shadowz,Inter/pol/,53,0,Second World War surplus,1,Standard,4,1988,107,Pacific Rim,0,0,Mediocre,23598,http://blocgame.com/stats.php?id=57901,
Russophia,Mikhail Putin,0,60,0,Second World War surplus,1,Standard,35,2246,15754,Arabia,0,Near Depletion,None,1124,http://blocgame.com/stats.php?id=54426,
Adrianopolis,XAdrianT,0,191,17,Vietnam War surplus,8,Elite,14,2262,0,Arabia,0,Untapped,Very Powerful,58152,http://blocgame.com/stats.php?id=55912,
Yummy Foods,iiruka,0,287,51,Almost Modern,16,Good,4,1840,0,Pacific Rim,0,Untapped,Very Powerful,100333,http://blocgame.com/stats.php?id=54376,
@Earth,Charm,Inter/pol/,2,1,First World War surplus,2,Standard,40,1880,196,Caribbean,0,Untapped,Somewhat Large,19952,http://blocgame.com/stats.php?id=58590,
Dewa,watertight,IDA,4,0,Second World War surplus,1,Standard,146,1852,0,East Indies,0,Untapped,Mediocre,13818,http://blocgame.com/stats.php?id=57732,
Bootypolalypse,TamedAchilles,Brotherhood of Nod,6,6,Vietnam War surplus,3,Standard,27,1589,6772,Mesopotamia,0,Plentiful,None,20872,http://blocgame.com/stats.php?id=57385,
DiamondDogs,Venom Snake,0,7,1,Second World War surplus,3,Elite,58,1955,10933,Atlas,0,Plentiful,Very Powerful,23466,http://blocgame.com/stats.php?id=58558,
kabdy,NitroBAY,The High Council,6,3,Second World War surplus,3,Poor,8,1919,0,Amazonia,0,Plentiful,Large,28753,http://blocgame.com/stats.php?id=58731,
Markoviakia,Luako,BAMF,0,0,Second World War surplus,1,Undisciplined Rabble,12,1861,0,West Africa,0,Untapped,None,6372,http://blocgame.com/stats.php?id=57239,
Izbalakstan,LordProtectorCatman,League of Gentlemen,6,0,Korean War surplus,2,Undisciplined Rabble,30,1813,1798,Mesopotamia,0,Untapped,Meagre,12685,http://blocgame.com/stats.php?id=53053,
Planistan,YouDontGetToBringFriends,Wreckage brothers,203,12,Almost Modern,5,Standard,1,1813,97,East Africa,0,0,Very Powerful,41106,http://blocgame.com/stats.php?id=54874,
Nova Byzantine,Sir Erwin Rommel,0,4,0,Korean War surplus,3,Standard,99,1776,0,Mesopotamia,0,Untapped,None,3263,http://blocgame.com/stats.php?id=55698,
Laredo,Roberto_Gonzalez,IDA,5,0,First World War surplus,2,Undisciplined Rabble,61,1776,0,Mesoamerica,0,Near Depletion,None,9743,http://blocgame.com/stats.php?id=58070,
Krashnplains,Nosur Ayvers,Wreckage brothers,4,1,Vietnam War surplus,2,Undisciplined Rabble,42,1794,0,Arabia,0,Untapped,Very Powerful,31250,http://blocgame.com/stats.php?id=53044,
Yascana,Linhoc,Carpe Diem,50,0,Second World War surplus,0,Standard,152,1820,0,China,0,Untapped,Small,16500,http://blocgame.com/stats.php?id=58291,
sand naggers,Evil,BAMF,118,12,Korean War surplus,6,Elite,0,1741,0,Persia,0,0,Very Powerful,36757,http://blocgame.com/stats.php?id=58130,
yomama,redsoldier3000,0,34,0,Korean War surplus,3,Elite,21,1824,0,The Subcontinent,0,0,Meagre,15526,http://blocgame.com/stats.php?id=58011,
zioland,zionhar,0,22,0,Second World War surplus,0,Good,13,1801,302,Pacific Rim,0,0,Meagre,5003,http://blocgame.com/stats.php?id=56893,
Ausdauer,Ricard Leopold,0,2,0,Second World War surplus,1,Undisciplined Rabble,12,1728,0,The Subcontinent,0,Plentiful,Small,1011,http://blocgame.com/stats.php?id=54072,
Deutsches Reich,Kaiser Wilhelm II,Inter/pol/,9,10,Second World War surplus,4,Elite,3,1831,0,China,0,Plentiful,Very Powerful,32411,http://blocgame.com/stats.php?id=56104,
New Taipei,Tornadess,0,4,0,First World War surplus,1,Undisciplined Rabble,139,1663,0,Pacific Rim,0,Untapped,None,9925,http://blocgame.com/stats.php?id=56978,
Chicken,Turkey,Inter/pol/,84,8,Vietnam War surplus,2,Elite,40,1609,0,China,0,Untapped,Very Powerful,63627,http://blocgame.com/stats.php?id=55275,
Agoristan,60E1CluBSteP127,EUN,81,10,Second World War surplus,3,Standard,0,1650,0,Mesopotamia,0,Untapped,Very Powerful,11550,http://blocgame.com/stats.php?id=54943,
Mohammed IV,Marbles_001,The Golden Company,9,1,Second World War surplus,3,Elite,130,1751,342,Guinea,0,Untapped,Small,16783,http://blocgame.com/stats.php?id=58722,
Iskut,ASV1,BAMF,79,0,Second World War surplus,2,Good,1,1643,13,Southern Cone,0,Near Depletion,Somewhat Large,11439,http://blocgame.com/stats.php?id=58457,
Tirbreninesau,Mackushstra,The Golden Company,79,1,First World War surplus,2,Standard,19,1681,217,Guinea,0,0,Meagre,25897,http://blocgame.com/stats.php?id=59037,
Heraclea,Dionysus,0,7,0,First World War surplus,0,Undisciplined Rabble,107,1613,4133,Mesopotamia,0,Untapped,Large,7715,http://blocgame.com/stats.php?id=50490,
GitRekt,GitGud,0,9,0,Second World War surplus,0,Poor,103,1695,47,Mesoamerica,0,Untapped,Meagre,16500,http://blocgame.com/stats.php?id=48160,
Camcost,hunthalo,Brotherhood of Nod,8,4,First World War surplus,3,Undisciplined Rabble,81,1600,0,Egypt,0,0,None,25206,http://blocgame.com/stats.php?id=56890,
Jeldestia,VinnieVlad,The High Council,62,0,Second World War surplus,1,Standard,0,1641,0,East Indies,0,Untapped,Large,33299,http://blocgame.com/stats.php?id=58355,
Crapostan,King Guamba,The Cartel,304,7,Almost Modern,8,Elite,11,1533,0,Mesopotamia,0,Untapped,Very Powerful,38735,http://blocgame.com/stats.php?id=44789,
TonsOfDamage,Phreak,UoHN,183,18,Vietnam War surplus,5,Elite,6,1562,0,Arabia,0,Untapped,Very Powerful,43064,http://blocgame.com/stats.php?id=55966,
Lain,Red Terror,Inter/pol/,104,12,Almost Modern,5,Good,0,1537,0,Egypt,0,Plentiful,Very Powerful,40564,http://blocgame.com/stats.php?id=54938,
Geli Kurd,Rando,Brotherhood of Zion,197,10,Advanced,4,Elite,2,1432,4191,Mesopotamia,0,Untapped,Very Powerful,63263,http://blocgame.com/stats.php?id=47768,
Anustown,Kisori,0,4,0,Second World War surplus,1,Standard,58,1647,3968,Atlas,0,Untapped,Somewhat Large,23346,http://blocgame.com/stats.php?id=58764,
Anwardan,Rhoe Polloso,0,7,0,Finest of the 19th century,1,Undisciplined Rabble,184,1593,0,Arabia,0,Untapped,None,16500,http://blocgame.com/stats.php?id=58815,
