country,leader,alliance,army_size,navy,equipment,factories,training,last_online,gdp,oil_reserves,region/_text,uranium,manpower,airforce,territory,pageUrl,
Alanies,Alany,Inter/pol/,132,15,Almost Modern,9,Elite,3,5399,8098,Mesopotamia,0,Plentiful,Large,39806,http://blocgame.com/stats.php?id=54617,
Omnia,Bropo,Brotherhood of Zion,58,8,Korean War surplus,9,Elite,2,5372,50,East Indies,0,0,Large,50891,http://blocgame.com/stats.php?id=57055,
New Pilipinas,Justin Manrique,The High Council,15,1,Korean War surplus,5,Good,4,5465,0,East Indies,0,Untapped,Somewhat Large,35240,http://blocgame.com/stats.php?id=56172,
Nougat,Nougat Empire,0,94,11,Almost Modern,3,Good,32,5375,0,East Africa,0,Untapped,Very Powerful,31457,http://blocgame.com/stats.php?id=51471,
Starlight,Shardok95120,UoHN,203,15,Almost Modern,9,Standard,1,5039,0,Pacific Rim,0,Untapped,Very Powerful,55826,http://blocgame.com/stats.php?id=55690,
The Lost,Vypr,S.T.A.L.K.E.R.,94,13,Vietnam War surplus,5,Elite,3,5355,0,Indochina,0,Untapped,Very Powerful,33140,http://blocgame.com/stats.php?id=40441,
Esboslavia,Swatbot26,Wreckage brothers,48,5,Korean War surplus,3,Elite,11,5383,0,Caribbean,0,0,Mediocre,20468,http://blocgame.com/stats.php?id=57376,
SPNR,Stefan Stamenkovic,0,99,13,Korean War surplus,4,Elite,1,5210,124,Indochina,0,Untapped,Very Powerful,17644,http://blocgame.com/stats.php?id=51722,
al-Masketta,kingcuck,Wreckage brothers,250,10,Persian Gulf War surplus,14,Elite,16,5216,0,Arabia,0,Untapped,Very Powerful,61853,http://blocgame.com/stats.php?id=53028,
Ceeyayey,Revios,Wreckage brothers,104,10,Korean War surplus,2,Standard,82,5148,0,Southern Cone,0,Untapped,Large,23821,http://blocgame.com/stats.php?id=55100,
FistPump,MasterChef,Brotherhood of Nod,143,8,Persian Gulf War surplus,4,Elite,9,5240,2215,Persia,0,Untapped,Very Powerful,21961,http://blocgame.com/stats.php?id=43623,
Chaouenne,pyrignis,The High Council,109,9,Vietnam War surplus,3,Good,29,5165,0,Atlas,0,Untapped,Very Powerful,13306,http://blocgame.com/stats.php?id=42019,
Arizona,Layez,BAMF,119,7,Korean War surplus,5,Good,8,5201,103,Mesoamerica,0,Untapped,Powerful,20202,http://blocgame.com/stats.php?id=56856,
Marslavia,Surveyvon,BAMF,133,0,Korean War surplus,4,Good,1,5169,0,West Africa,0,Plentiful,Very Powerful,15249,http://blocgame.com/stats.php?id=56758,
Albertistan,King Istan,BAMF,105,2,Vietnam War surplus,8,Good,0,4679,110,China,0,Depleted,Mediocre,41837,http://blocgame.com/stats.php?id=55877,
Argos,Arkadios,Brotherhood of Zion,123,7,Almost Modern,3,Undisciplined Rabble,107,5067,0,China,0,Untapped,Very Powerful,86471,http://blocgame.com/stats.php?id=43443,
Krymskii,comradekowalski,Inter/pol/,214,31,Almost Modern,7,Good,8,4989,6363,Atlas,0,Untapped,Powerful,38172,http://blocgame.com/stats.php?id=54142,
Pingaslavia,CowsRTasty,UoHN,139,25,Almost Modern,6,Elite,6,5019,219,Gran Colombia,1,Untapped,Very Powerful,42962,http://blocgame.com/stats.php?id=6730,
skrubrikei,coweymcnuggets,Brotherhood of Zion,112,4,Korean War surplus,5,Elite,3,5116,107,Pacific Rim,0,Untapped,Very Powerful,37796,http://blocgame.com/stats.php?id=48846,
The Deserted,Kamakazi Sunshine,The Cartel,335,35,Persian Gulf War surplus,21,Elite,11,5050,0,Pacific Rim,0,0,Very Powerful,125100,http://blocgame.com/stats.php?id=40459,
TakeControl,MasterPlan,Wreckage brothers,117,13,Vietnam War surplus,7,Elite,0,4937,0,China,0,Untapped,Powerful,38501,http://blocgame.com/stats.php?id=54871,
South yemen,wessam,Brotherhood of Nod,10,7,Vietnam War surplus,6,Elite,153,5059,1267,Arabia,0,Untapped,Very Powerful,24547,http://blocgame.com/stats.php?id=50446,
Bahavian,Captain LoveDucks,UoHN,196,5,Korean War surplus,9,Poor,62,4928,0,The Subcontinent,0,Untapped,Powerful,82458,http://blocgame.com/stats.php?id=54960,
