country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1567,223k active personnel,100 ships,Advanced,40 factories,Elite,online now,rankings.php?subregion=ara,ayyy lmao,$39067 million,alliancestats.php?allianceid=1567,Arabia,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=ara,184086 km 2,http://blocgame.com/stats.php?id=52331,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,71 ships,Advanced,18 factories,Elite,last online 9 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$30712 million,alliancestats.php?allianceid=1568,China,,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,434k active personnel,51 ships,Persian Gulf War surplus,18 factories,Poor,last online 41 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27264 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,397k active personnel,70 ships,Advanced,19 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,Wreckage brothers,$26446 million,alliancestats.php?allianceid=1599,Mesopotamia,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,103042 km 2,http://blocgame.com/stats.php?id=52852,3427 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,29k active personnel,47 ships,Persian Gulf War surplus,12 factories,Elite,last online 3 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$26064 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,200k active personnel,50 ships,Advanced,18 factories,Good,last online 1 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$25067 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,263k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 42 hours ago,rankings.php?subregion=per,SPQR,$24570 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,29 ships,Almost Modern,16 factories,Elite,last online 18 hours ago,rankings.php?subregion=mex,BAMF,$24497 million,alliancestats.php?allianceid=1393,Mesoamerica,Near Depletion,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,22 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$24238 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,51 ships,Advanced,14 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$24023 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
