country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,458k active personnel,73 ships,Advanced,20 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$31774 million,alliancestats.php?allianceid=1568,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,27 factories,Good,last online 14 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$30023 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,,1 Tons,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,66k active personnel,49 ships,Almost Modern,12 factories,Elite,last online 14 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$27864 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,439k active personnel,85 ships,Advanced,19 factories,Good,last online 7 hours ago,rankings.php?subregion=mes,Wreckage brothers,$27555 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,4491 Mbbl,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,150k active personnel,47 ships,Advanced,19 factories,Standard,last online 24 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$27397 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,135k active personnel,37 ships,Almost Modern,17 factories,Good,last online 4 hours ago,rankings.php?subregion=mex,BAMF,$27004 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,504k active personnel,51 ships,Persian Gulf War surplus,19 factories,Standard,online now,rankings.php?subregion=con,Brotherhood of Zion,$25554 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,307k active personnel,57 ships,Advanced,23 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$26544 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,313k active personnel,51 ships,Advanced,17 factories,Good,last online 9 hours ago,rankings.php?subregion=per,SPQR,$26364 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,162k active personnel,51 ships,Advanced,16 factories,Elite,last online 18 hours ago,rankings.php?subregion=saf,BAMF,$26365 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
