country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
North Marudu,AyipNorth,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 151 hours ago,rankings.php?subregion=ind,,$395 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60436,,,
PakatanBeraBera,kaizermalaya,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 150 hours ago,rankings.php?subregion=ind,,$393 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60467,,,
Doctorliasia,Lord Hillsworth,,24k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=pac,,$392 million,,Pacific Rim,Near Depletion,Mediocre,http://blocgame.com/rankings.php?subregion=pac,21318 km 2,http://blocgame.com/stats.php?id=60284,,,
guohai,matian,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 133 hours ago,rankings.php?subregion=chi,,$391 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60428,,426 Mbbl,
musfaz,musfaz,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 151 hours ago,rankings.php?subregion=sub,,$391 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=60490,,,
Madina,Madding,,14k active personnel,0 ships,First World War surplus,None,Good,last online 142 hours ago,rankings.php?subregion=ind,,$390 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,23930 km 2,http://blocgame.com/stats.php?id=59812,,,
Magnum Imperii,samraatg,http://blocgame.com/alliancestats.php?allianceid=1905,16k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 163 hours ago,rankings.php?subregion=sub,Holy Alliance,$389 million,alliancestats.php?allianceid=1905,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=60411,,135 Mbbl,
Gembira,erikturner,,9k active personnel,0 ships,First World War surplus,1 factory,Good,last online 52 hours ago,rankings.php?subregion=pac,,$389 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,16496 km 2,http://blocgame.com/stats.php?id=60486,,32 Mbbl,
Itech,itech,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 128 hours ago,rankings.php?subregion=pac,,$389 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60651,,,
MalayaRaya,Kitul,,25k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=pac,,$388 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60388,,75 Mbbl,
Gagak hitam,Fadhil,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 152 hours ago,rankings.php?subregion=ind,,$388 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60463,,,
NegaraJibby,IkhwanMuslim,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 140 hours ago,rankings.php?subregion=ind,,$388 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60609,,,
NegaraJibby,IkhwanMuslim,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 140 hours ago,rankings.php?subregion=ind,,$388 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60609,,,
Eternal Empire,kulupapaku,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 109 hours ago,rankings.php?subregion=ind,,$388 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60643,,,
Rentaka,Blackburn,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=ind,ASEANG,$388 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60688,,386 Mbbl,
