country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_prod,oil_reserves,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,71 ships,Advanced,Gandhi-like,20 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,54 Hundred Tons per month,$38510 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,284k active personnel,55 ships,Advanced,Gandhi-like,27 factories,Elite,last online 16 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,34 Hundred Tons per month,$37294 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,44 Mbbl per month,7382 Mbbl,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,479k active personnel,89 ships,Advanced,Gandhi-like,23 factories,Elite,last online 25 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,30 Hundred Tons per month,$34337 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,5 Mbbl per month,335 Mbbl,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,238k active personnel,53 ships,Advanced,Gandhi-like,22 factories,Standard,online now,rankings.php?subregion=sea,Brotherhood of Zion,50 Hundred Tons per month,$34258 million,alliancestats.php?allianceid=1568,Indochina,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,8 Mbbl per month,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,20 factories,Elite,last online 3 hours ago,rankings.php?subregion=mex,BAMF,30 Hundred Tons per month,$33795 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,15 Mbbl per month,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,337k active personnel,79 ships,Advanced,Gandhi-like,26 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,BAMF,71 Hundred Tons per month,$32500 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,2 Mbbl per month,,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,220k active personnel,33 ships,Advanced,Gandhi-like,20 factories,Elite,online now,rankings.php?subregion=con,Brotherhood of Zion,35 Hundred Tons per month,$32091 million,alliancestats.php?allianceid=1568,Southern Cone,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,4 Mbbl per month,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,964k active personnel,100 ships,Advanced,Gandhi-like,45 factories,Good,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,150 Hundred Tons per month,$31281 million,alliancestats.php?allianceid=1568,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,143334 km 2,http://blocgame.com/stats.php?id=47945,5 Mbbl per month,232 Mbbl,6 Tons,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,204k active personnel,80 ships,Advanced,Gandhi-like,15 factories,Elite,last online 6 hours ago,rankings.php?subregion=con,Brotherhood of Zion,28 Hundred Tons per month,$30925 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,68 ships,Advanced,Gandhi-like,17 factories,Good,last online 15 hours ago,rankings.php?subregion=egy,BAMF,25 Hundred Tons per month,$29369 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,47621 km 2,http://blocgame.com/stats.php?id=49204,35 Mbbl per month,,2 Tons,
