country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
zioland,zionhar,http://blocgame.com/alliancestats.php?allianceid=1393,44k active personnel,0 ships,Second World War surplus,None,Good,last online 61 hours ago,rankings.php?subregion=pac,BAMF,$2732 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Large,http://blocgame.com/rankings.php?subregion=pac,4004 km 2,http://blocgame.com/stats.php?id=56893,,,
The Reds,Sarge,http://blocgame.com/alliancestats.php?allianceid=1600,10k active personnel,0 ships,Korean War surplus,1 factory,Standard,last online 21 hours ago,rankings.php?subregion=car,Nazi,$2761 million,alliancestats.php?allianceid=1600,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,4833 km 2,http://blocgame.com/stats.php?id=52796,,,
Russophia,Mikhail Putin,http://blocgame.com/alliancestats.php?allianceid=1568,50k active personnel,0 ships,Second World War surplus,1 factory,Elite,last online 11 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,$2698 million,alliancestats.php?allianceid=1568,Arabia,Near Depletion,Mediocre,http://blocgame.com/rankings.php?subregion=ara,766 km 2,http://blocgame.com/stats.php?id=54426,,,
Empersand,Prophet Muhammad,http://blocgame.com/alliancestats.php?allianceid=1447,142k active personnel,5 ships,Second World War surplus,5 factories,Standard,last online 13 hours ago,rankings.php?subregion=ara,Socialist Arab Union,$2635 million,alliancestats.php?allianceid=1447,Arabia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ara,27917 km 2,http://blocgame.com/stats.php?id=59059,,,
Kindred,Pendraggon,http://blocgame.com/alliancestats.php?allianceid=1644,106k active personnel,3 ships,Korean War surplus,5 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,Inter/pol/,$2588 million,alliancestats.php?allianceid=1644,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,26986 km 2,http://blocgame.com/stats.php?id=58449,,49 Mbbl,
Tirbreninesau,Mackushstra,http://blocgame.com/alliancestats.php?allianceid=1756,5k active personnel,-1 ships,Second World War surplus,3 factories,Elite,last online 98 hours ago,rankings.php?subregion=gui,The Golden Company,$2626 million,alliancestats.php?allianceid=1756,Guinea,Untapped,None,http://blocgame.com/rankings.php?subregion=gui,17740 km 2,http://blocgame.com/stats.php?id=59037,,,
New Canaan,Joshua Graham,http://blocgame.com/alliancestats.php?allianceid=1835,58k active personnel,3 ships,Second World War surplus,2 factories,Good,last online 34 hours ago,rankings.php?subregion=mes,Roman Republic,$2613 million,alliancestats.php?allianceid=1835,Mesopotamia,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=mes,44291 km 2,http://blocgame.com/stats.php?id=59416,,8934 Mbbl,
Schutzstaffel,seigE,,14k active personnel,-1 ships,Second World War surplus,2 factories,Standard,last online 113 hours ago,rankings.php?subregion=gui,,$2564 million,,Guinea,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gui,16594 km 2,http://blocgame.com/stats.php?id=57681,,,
Adrianopolis,XAdrianT,http://blocgame.com/alliancestats.php?allianceid=1568,239k active personnel,22 ships,Almost Modern,10 factories,Elite,last online 13 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,$2571 million,alliancestats.php?allianceid=1568,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68422 km 2,http://blocgame.com/stats.php?id=55912,,2530 Mbbl,
trumpistan,bushtrump,http://blocgame.com/alliancestats.php?allianceid=1835,88k active personnel,0 ships,Second World War surplus,4 factories,Elite,last online 1 hours ago,rankings.php?subregion=gra,Roman Republic,$3112 million,alliancestats.php?allianceid=1835,Gran Colombia,Depleted,Small,http://blocgame.com/rankings.php?subregion=gra,34452 km 2,http://blocgame.com/stats.php?id=59406,,501 Mbbl,
