country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,358k active personnel,71 ships,Persian Gulf War surplus,17 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$29635 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,,
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,444k active personnel,99 ships,Advanced,31 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,BAMF,$29656 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,164594 km 2,http://blocgame.com/stats.php?id=52331,2 Tons,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,60k active personnel,45 ships,Persian Gulf War surplus,16 factories,Elite,last online 10 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$29130 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233,,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,376k active personnel,51 ships,Persian Gulf War surplus,18 factories,Standard,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27055 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,142 Mbbl,
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,69k active personnel,46 ships,Advanced,21 factories,Elite,last online 2 hours ago,rankings.php?subregion=atl,Wreckage brothers,$23784 million,alliancestats.php?allianceid=1599,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,96225 km 2,http://blocgame.com/stats.php?id=53422,3 Tons,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,180k active personnel,50 ships,Advanced,17 factories,Good,last online 5 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$23349 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,235k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 2 hours ago,rankings.php?subregion=per,BAMF,$23089 million,alliancestats.php?allianceid=1393,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,127k active personnel,31 ships,Almost Modern,15 factories,Good,last online 2 hours ago,rankings.php?subregion=mex,BAMF,$22713 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,297k active personnel,53 ships,Persian Gulf War surplus,21 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$22558 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,454k active personnel,52 ships,Persian Gulf War surplus,21 factories,Elite,online now,rankings.php?subregion=egy,Brotherhood of Zion,$22438 million,alliancestats.php?allianceid=1568,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,261k active personnel,54 ships,Advanced,16 factories,Elite,last online 6 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$22360 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,226k active personnel,64 ships,Persian Gulf War surplus,14 factories,Good,last online 3 hours ago,rankings.php?subregion=car,The Federal Colonies,$22264 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,,
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,98k active personnel,51 ships,Persian Gulf War surplus,14 factories,Elite,last online 2 hours ago,rankings.php?subregion=saf,BAMF,$22248 million,alliancestats.php?allianceid=1393,Southern Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,369k active personnel,54 ships,Persian Gulf War surplus,15 factories,Elite,last online 5 hours ago,rankings.php?subregion=mes,Wreckage brothers,$21994 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852,,2189 Mbbl,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,440k active personnel,51 ships,Persian Gulf War surplus,18 factories,Elite,last online 2 hours ago,rankings.php?subregion=ama,BAMF,$21900 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,145 Mbbl,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,176k active personnel,61 ships,Persian Gulf War surplus,14 factories,Elite,last online 9 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$21533 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Persian Gulf War surplus,14 factories,Elite,last online 20 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$21440 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,230k active personnel,41 ships,Persian Gulf War surplus,15 factories,Good,last online 17 hours ago,rankings.php?subregion=egy,BAMF,$21261 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,3015 Mbbl,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,197k active personnel,73 ships,Almost Modern,14 factories,Elite,last online 6 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$20988 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,10%
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,208k active personnel,51 ships,Almost Modern,10 factories,Good,online now,rankings.php?subregion=ama,The High Council,$20861 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,1 Tons,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,344k active personnel,40 ships,Advanced,15 factories,Elite,last online 24 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$20768 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270,,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,297k active personnel,51 ships,Persian Gulf War surplus,15 factories,Standard,last online 9 hours ago,rankings.php?subregion=sub,BAMF,$20562 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,36 ships,Advanced,18 factories,Good,last online 18 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$20408 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,3 Tons,,
