country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium
Death1812,Death1812,http://blocgame.com/alliancestats.php?allianceid=1576,216k active personnel,59 ships,Persian Gulf War surplus,12 factories,Standard,last online 29 hours ago,rankings.php?subregion=con,The Last Phoenix,$18536 million,alliancestats.php?allianceid=1576,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,35225 km 2,http://blocgame.com/stats.php?id=50027,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,240k active personnel,51 ships,Persian Gulf War surplus,14 factories,Good,last online 5 hours ago,rankings.php?subregion=egy,BAMF,$18266 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,43821 km 2,http://blocgame.com/stats.php?id=49204,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Persian Gulf War surplus,12 factories,Elite,last online 3 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$18184 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,241k active personnel,34 ships,Persian Gulf War surplus,10 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$18160 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,50704 km 2,http://blocgame.com/stats.php?id=52235,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,410k active personnel,13 ships,Almost Modern,19 factories,Elite,last online 7 hours ago,rankings.php?subregion=chi,BAMF,$17959 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,196k active personnel,18 ships,Persian Gulf War surplus,12 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,BAMF,$17459 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27793 km 2,http://blocgame.com/stats.php?id=46030,634 Mbbl,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,17 ships,Persian Gulf War surplus,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$17373 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,88 Mbbl,
Ardon,Frontrox,http://blocgame.com/alliancestats.php?allianceid=1393,140k active personnel,14 ships,Almost Modern,7 factories,Good,last online 4 hours ago,rankings.php?subregion=ind,BAMF,$17340 million,alliancestats.php?allianceid=1393,East Indies,,Powerful,http://blocgame.com/rankings.php?subregion=ind,22437 km 2,http://blocgame.com/stats.php?id=43237,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,275k active personnel,19 ships,Advanced,16 factories,Elite,last online 3 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$17273 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,3 Tons
Svoboda,morro111,http://blocgame.com/alliancestats.php?allianceid=1568,10k active personnel,23 ships,Almost Modern,8 factories,Elite,last online 6 hours ago,rankings.php?subregion=eaf,Brotherhood of Zion,$13986 million,alliancestats.php?allianceid=1568,East Africa,,None,http://blocgame.com/rankings.php?subregion=eaf,19241 km 2,http://blocgame.com/stats.php?id=54397,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,266k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,online now,rankings.php?subregion=sub,BAMF,$16944 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,41364 km 2,http://blocgame.com/stats.php?id=49792,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,50 ships,Persian Gulf War surplus,12 factories,Good,last online 5 hours ago,rankings.php?subregion=ind,The Federal Colonies,$16961 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,292k active personnel,51 ships,Persian Gulf War surplus,13 factories,Elite,last online 6 hours ago,rankings.php?subregion=per,BAMF,$16848 million,alliancestats.php?allianceid=1393,Persia,Untapped,Large,http://blocgame.com/rankings.php?subregion=per,44316 km 2,http://blocgame.com/stats.php?id=40078,77 Mbbl,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,209k active personnel,12 ships,Advanced,9 factories,Elite,online now,rankings.php?subregion=mex,The Federal Colonies,$16585 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,170k active personnel,50 ships,Persian Gulf War surplus,14 factories,Elite,last online 3 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$19643 million,alliancestats.php?allianceid=1568,Indochina,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,217k active personnel,42 ships,Advanced,13 factories,Good,last online 2 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$16226 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,69488 km 2,http://blocgame.com/stats.php?id=47662,,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,113k active personnel,32 ships,Almost Modern,8 factories,Elite,last online 4 hours ago,rankings.php?subregion=car,The Federal Colonies,$15701 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,
Newfoundland,Gohlper,http://blocgame.com/alliancestats.php?allianceid=1644,67k active personnel,22 ships,Persian Gulf War surplus,8 factories,Elite,last online 22 hours ago,rankings.php?subregion=car,Inter/pol/,$15614 million,alliancestats.php?allianceid=1644,Caribbean,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,25128 km 2,http://blocgame.com/stats.php?id=52486,,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,6k active personnel,22 ships,Almost Modern,8 factories,Elite,last online 25 hours ago,rankings.php?subregion=eaf,Inter/pol/,$12769 million,alliancestats.php?allianceid=1644,East Africa,,None,http://blocgame.com/rankings.php?subregion=eaf,38992 km 2,http://blocgame.com/stats.php?id=49249,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,102k active personnel,11 ships,Persian Gulf War surplus,5 factories,Elite,last online 15 hours ago,rankings.php?subregion=pac,The Federal Colonies,$15280 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,21 ships,Persian Gulf War surplus,19 factories,Good,last online 23 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$15284 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,133263 km 2,http://blocgame.com/stats.php?id=49526,3052 Mbbl,
Savannah,Watersfall,http://blocgame.com/alliancestats.php?allianceid=1576,35k active personnel,25 ships,Almost Modern,12 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,The Last Phoenix,$14446 million,alliancestats.php?allianceid=1576,Pacific Rim,,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,55648 km 2,http://blocgame.com/stats.php?id=49817,,
Dovelantis,Kenneth Hon,http://blocgame.com/alliancestats.php?allianceid=1576,236k active personnel,30 ships,Almost Modern,12 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,The Last Phoenix,$15175 million,alliancestats.php?allianceid=1576,Pacific Rim,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=pac,34681 km 2,http://blocgame.com/stats.php?id=51767,,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1644,250k active personnel,26 ships,Persian Gulf War surplus,10 factories,Elite,online now,rankings.php?subregion=chi,Inter/pol/,$15075 million,alliancestats.php?allianceid=1644,China,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=chi,35918 km 2,http://blocgame.com/stats.php?id=39065,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,158k active personnel,20 ships,Persian Gulf War surplus,10 factories,Elite,last online 10 hours ago,rankings.php?subregion=mes,BAMF,$15026 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24854 km 2,http://blocgame.com/stats.php?id=49652,489 Mbbl,1 Tons
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,84k active personnel,50 ships,Persian Gulf War surplus,13 factories,Elite,last online 3 hours ago,rankings.php?subregion=saf,BAMF,$18294 million,alliancestats.php?allianceid=1393,Southern Africa,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,18 ships,Persian Gulf War surplus,16 factories,Good,last online 14 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$14860 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,2648 Mbbl,1 Tons
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,249k active personnel,44 ships,Persian Gulf War surplus,10 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,The Federal Colonies,$14601 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35604 km 2,http://blocgame.com/stats.php?id=48914,3561 Mbbl,1 Tons
Versail,Chairman,http://blocgame.com/alliancestats.php?allianceid=1644,9k active personnel,3 ships,Persian Gulf War surplus,4 factories,Elite,last online 2 hours ago,rankings.php?subregion=car,Inter/pol/,$11840 million,alliancestats.php?allianceid=1644,Caribbean,Untapped,Large,http://blocgame.com/rankings.php?subregion=car,20416 km 2,http://blocgame.com/stats.php?id=45646,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,224k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$14114 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,54 Mbbl,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,280k active personnel,51 ships,Persian Gulf War surplus,18 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$16129 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,67437 km 2,http://blocgame.com/stats.php?id=53451,,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1835,9k active personnel,22 ships,Persian Gulf War surplus,6 factories,Elite,last online 10 hours ago,rankings.php?subregion=ara,Non Aligned Movement,$11515 million,alliancestats.php?allianceid=1835,Arabia,,Powerful,http://blocgame.com/rankings.php?subregion=ara,23467 km 2,http://blocgame.com/stats.php?id=52484,,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1393,194k active personnel,51 ships,Persian Gulf War surplus,18 factories,Good,online now,rankings.php?subregion=waf,BAMF,$13575 million,alliancestats.php?allianceid=1393,West Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,95688 km 2,http://blocgame.com/stats.php?id=44479,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,196k active personnel,65 ships,Almost Modern,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$13427 million,alliancestats.php?allianceid=1568,West Africa,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,74752 km 2,http://blocgame.com/stats.php?id=4816,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,124k active personnel,15 ships,Almost Modern,8 factories,Elite,last online 6 hours ago,rankings.php?subregion=ama,BAMF,$13406 million,alliancestats.php?allianceid=1393,Amazonia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,35120 km 2,http://blocgame.com/stats.php?id=53650,,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=1401,219k active personnel,2 ships,Advanced,8 factories,Elite,last online 7 hours ago,rankings.php?subregion=mes,The Federal Colonies,$13271 million,alliancestats.php?allianceid=1401,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,25953 km 2,http://blocgame.com/stats.php?id=39070,,
karkkarkia,karkkark,http://blocgame.com/alliancestats.php?allianceid=1580,319k active personnel,20 ships,Persian Gulf War surplus,13 factories,Standard,online now,rankings.php?subregion=sea,Brotherhood of Nod,$13183 million,alliancestats.php?allianceid=1580,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,79131 km 2,http://blocgame.com/stats.php?id=52816,,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,202k active personnel,20 ships,Persian Gulf War surplus,6 factories,Good,last online 11 hours ago,rankings.php?subregion=atl,BAMF,$12996 million,alliancestats.php?allianceid=1393,Atlas,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,31052 km 2,http://blocgame.com/stats.php?id=2570,,
Pickles,Pickles,http://blocgame.com/alliancestats.php?allianceid=1382,49k active personnel,27 ships,Almost Modern,7 factories,Elite,last online 2 hours ago,rankings.php?subregion=sea,Non-Aligned Movement,$12948 million,alliancestats.php?allianceid=1382,Indochina,,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,26882 km 2,http://blocgame.com/stats.php?id=42911,,
