country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,183k active personnel,62 ships,Advanced,Gandhi-like,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,$34600 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,464k active personnel,79 ships,Advanced,Gandhi-like,21 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Zion,$32750 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,1 Tons,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,Gandhi-like,27 factories,Standard,last online 24 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$32865 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,,9318 Mbbl,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,Gandhi-like,19 factories,Good,last online 2 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$30134 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,150k active personnel,44 ships,Almost Modern,Gandhi-like,18 factories,Elite,last online 35 hours ago,rankings.php?subregion=mex,BAMF,$29667 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,312k active personnel,65 ships,Advanced,Gandhi-like,24 factories,Elite,last online 11 hours ago,rankings.php?subregion=pac,BAMF,$29034 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,471k active personnel,95 ships,Advanced,Gandhi-like,19 factories,Good,last online 8 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28574 million,alliancestats.php?allianceid=1599,Mesopotamia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,11 ships,Advanced,Gandhi-like,18 factories,Good,last online 20 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$28035 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,354k active personnel,31 ships,Advanced,Gandhi-like,17 factories,Elite,last online 18 hours ago,rankings.php?subregion=per,SPQR,$27856 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,1868 Mbbl,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,70 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27530 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Good,online now,rankings.php?subregion=car,The Federal Colonies,$26874 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,377 Mbbl,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,275k active personnel,59 ships,Advanced,Nice,16 factories,Elite,last online 16 hours ago,rankings.php?subregion=egy,BAMF,$26398 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,699k active personnel,84 ships,Advanced,Gandhi-like,40 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$26380 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,4 Tons,318 Mbbl,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,45 ships,Advanced,Gandhi-like,19 factories,Poor,last online 22 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$25461 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,3 Tons,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,7k active personnel,37 ships,Almost Modern,Good,9 factories,Standard,last online 163 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$24836 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,21675 km 2,http://blocgame.com/stats.php?id=40233,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,27 ships,Advanced,Gandhi-like,12 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$23912 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,58 ships,Advanced,Gandhi-like,15 factories,Good,last online 2 hours ago,rankings.php?subregion=ind,The Federal Colonies,$23307 million,alliancestats.php?allianceid=1401,East Indies,,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,319k active personnel,86 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 8 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$23084 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,15%
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,332k active personnel,62 ships,Advanced,Questionable,19 factories,Good,online now,rankings.php?subregion=gra,Brotherhood of Zion,$22876 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,137k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 22 hours ago,rankings.php?subregion=car,The Federal Colonies,$22898 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,44 ships,Advanced,Gandhi-like,12 factories,Elite,last online 2 hours ago,rankings.php?subregion=mex,The Federal Colonies,$22875 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,142 Mbbl,45%
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,519k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,24 factories,Standard,last online 8 hours ago,rankings.php?subregion=chi,BAMF,$22372 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,415 Mbbl,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,20 factories,Good,last online 7 hours ago,rankings.php?subregion=chi,BAMF,$22506 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Good,last online 5 hours ago,rankings.php?subregion=pac,The Federal Colonies,$22123 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,,5%
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,253k active personnel,55 ships,Advanced,Normal,21 factories,Elite,last online 7 hours ago,rankings.php?subregion=ara,BAMF,$22081 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,101239 km 2,http://blocgame.com/stats.php?id=53748,5 Tons,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,239k active personnel,51 ships,Almost Modern,Gandhi-like,10 factories,Elite,last online 16 hours ago,rankings.php?subregion=ama,The High Council,$21513 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,1 Tons,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,405k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Standard,last online 3 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$21102 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,62k active personnel,0 ships,Advanced,Angelic,13 factories,Elite,last online 3 hours ago,rankings.php?subregion=car,The Federal Colonies,$21181 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,,294 Mbbl,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,51 ships,Advanced,Gandhi-like,14 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$20742 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,445k active personnel,57 ships,Advanced,Gandhi-like,19 factories,Elite,last online 8 hours ago,rankings.php?subregion=ama,BAMF,$20519 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,318k active personnel,12 ships,Advanced,Gandhi-like,14 factories,Good,last online 21 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$20461 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,,2645 Mbbl,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,201k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Good,last online 14 hours ago,rankings.php?subregion=ama,BAMF,$20162 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,359k active personnel,35 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 85 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$19989 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,1 Tons,58 Mbbl,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,513k active personnel,18 ships,Advanced,Gandhi-like,24 factories,Elite,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$19659 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,1 Tons,3870 Mbbl,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,308k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,17 factories,Elite,last online 17 hours ago,rankings.php?subregion=sub,BAMF,$19689 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,124k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 11 hours ago,rankings.php?subregion=per,The Federal Colonies,$18954 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,,213 Mbbl,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1595,245k active personnel,51 ships,Advanced,Gandhi-like,20 factories,Poor,online now,rankings.php?subregion=waf,The High Council,$18769 million,alliancestats.php?allianceid=1595,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
