country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,358k active personnel,71 ships,Persian Gulf War surplus,17 factories,Elite,last online 12 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$29537 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,,
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,462k active personnel,99 ships,Advanced,31 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,BAMF,$29495 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,162642 km 2,http://blocgame.com/stats.php?id=52331,2 Tons,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,54k active personnel,44 ships,Persian Gulf War surplus,16 factories,Elite,last online 20 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$28939 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233,,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,356k active personnel,51 ships,Persian Gulf War surplus,18 factories,Standard,last online 12 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27016 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,156 Mbbl,
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,185k active personnel,46 ships,Advanced,21 factories,Elite,last online 2 hours ago,rankings.php?subregion=atl,Wreckage brothers,$24063 million,alliancestats.php?allianceid=1599,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,98177 km 2,http://blocgame.com/stats.php?id=53422,3 Tons,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,50 ships,Advanced,17 factories,Good,last online 5 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$23176 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,225k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 11 hours ago,rankings.php?subregion=per,BAMF,$22940 million,alliancestats.php?allianceid=1393,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,127k active personnel,37 ships,Almost Modern,15 factories,Good,last online 1 hours ago,rankings.php?subregion=mex,BAMF,$22540 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,292k active personnel,53 ships,Persian Gulf War surplus,21 factories,Standard,last online 6 hours ago,rankings.php?subregion=pac,BAMF,$22398 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,409k active personnel,52 ships,Persian Gulf War surplus,21 factories,Elite,last online 16 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$22322 million,alliancestats.php?allianceid=1568,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,,
