country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,oil_reserves,region/_text,uranium,manpower,airforce,region,territory,pageUrl
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,505k active personnel,100 ships,Advanced,31 factories,Elite,last online 8 hours ago,rankings.php?subregion=ara,BAMF,$30632 million,alliancestats.php?allianceid=1393,4460 Mbbl,Arabia,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,161651 km 2,http://blocgame.com/stats.php?id=52331
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,71 ships,Persian Gulf War surplus,17 factories,Elite,last online 4 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$29282 million,alliancestats.php?allianceid=1568,,China,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,44k active personnel,44 ships,Persian Gulf War surplus,15 factories,Elite,last online 16 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$28497 million,alliancestats.php?allianceid=1568,,Congo,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,356k active personnel,51 ships,Persian Gulf War surplus,18 factories,Standard,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26971 million,alliancestats.php?allianceid=1568,,Southern Cone,,,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,50 ships,Persian Gulf War surplus,17 factories,Standard,last online 2 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$22741 million,alliancestats.php?allianceid=1568,,Indochina,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 11 hours ago,rankings.php?subregion=per,BAMF,$22549 million,alliancestats.php?allianceid=1393,2039 Mbbl,Persia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,123k active personnel,45 ships,Almost Modern,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=mex,BAMF,$22107 million,alliancestats.php?allianceid=1393,,Mesoamerica,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,409k active personnel,52 ships,Persian Gulf War surplus,21 factories,Elite,last online 10 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$22032 million,alliancestats.php?allianceid=1568,6666 Mbbl,Egypt,,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,292k active personnel,53 ships,Persian Gulf War surplus,21 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$21998 million,alliancestats.php?allianceid=1393,,Pacific Rim,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,248k active personnel,51 ships,Advanced,16 factories,Elite,last online 15 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$21890 million,alliancestats.php?allianceid=1568,,Gran Colombia,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,236k active personnel,64 ships,Persian Gulf War surplus,14 factories,Elite,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,$21823 million,alliancestats.php?allianceid=1401,462 Mbbl,Caribbean,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289
