country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_prod,oil_reserves,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,71 ships,Advanced,Gandhi-like,20 factories,Elite,last online 5 hours ago,rankings.php?subregion=saf,BAMF,54 Hundred Tons per month,$38960 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,296k active personnel,58 ships,Advanced,Gandhi-like,27 factories,Elite,last online 7 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,34 Hundred Tons per month,$37776 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,44 Mbbl per month,7162 Mbbl,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,484k active personnel,90 ships,Advanced,Gandhi-like,23 factories,Elite,last online 14 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,30 Hundred Tons per month,$34391 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,5 Mbbl per month,310 Mbbl,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,238k active personnel,53 ships,Advanced,Gandhi-like,22 factories,Good,last online 10 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,50 Hundred Tons per month,$34722 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,8 Mbbl per month,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,20 factories,Good,last online 4 hours ago,rankings.php?subregion=mex,BAMF,30 Hundred Tons per month,$34284 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,15 Mbbl per month,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,337k active personnel,80 ships,Advanced,Gandhi-like,27 factories,Good,last online 2 hours ago,rankings.php?subregion=pac,BAMF,71 Hundred Tons per month,$32959 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,2 Mbbl per month,,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,250k active personnel,39 ships,Advanced,Gandhi-like,20 factories,Elite,last online 9 hours ago,rankings.php?subregion=con,Brotherhood of Zion,35 Hundred Tons per month,$32523 million,alliancestats.php?allianceid=1568,Southern Cone,,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,4 Mbbl per month,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,1004k active personnel,100 ships,Advanced,Gandhi-like,45 factories,Good,last online 7 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,150 Hundred Tons per month,$31134 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,143334 km 2,http://blocgame.com/stats.php?id=47945,5 Mbbl per month,207 Mbbl,6 Tons,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,204k active personnel,81 ships,Advanced,Gandhi-like,15 factories,Elite,last online 16 hours ago,rankings.php?subregion=con,Brotherhood of Zion,28 Hundred Tons per month,$31305 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,70 ships,Advanced,Gandhi-like,17 factories,Good,last online 2 hours ago,rankings.php?subregion=egy,BAMF,25 Hundred Tons per month,$29714 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,47621 km 2,http://blocgame.com/stats.php?id=49204,35 Mbbl per month,,2 Tons,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,317k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Standard,last online 11 hours ago,rankings.php?subregion=car,The Federal Colonies,22 Hundred Tons per month,$29346 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,1 Mbbl per month,328 Mbbl,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,304k active personnel,55 ships,Advanced,Gandhi-like,20 factories,Elite,last online 5 hours ago,rankings.php?subregion=car,Brotherhood of Zion,39 Hundred Tons per month,$29073 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,18 Mbbl per month,,3 Tons,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,589k active personnel,100 ships,Advanced,Gandhi-like,22 factories,Good,last online 31 hours ago,rankings.php?subregion=mes,Wreckage brothers,63 Hundred Tons per month,$28200 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,130 Mbbl per month,,1 Tons,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,23 factories,Standard,last online 44 hours ago,rankings.php?subregion=chi,BAMF,30 Hundred Tons per month,$27094 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,10 Mbbl per month,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,44 ships,Advanced,Gandhi-like,12 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,32 Hundred Tons per month,$26558 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,359k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Good,last online 3 hours ago,rankings.php?subregion=ind,The Federal Colonies,25 Hundred Tons per month,$25385 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,5 Mbbl per month,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Elite,last online 16 hours ago,rankings.php?subregion=pac,The Federal Colonies,11 Hundred Tons per month,$25364 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,10 Mbbl per month,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,54 ships,Advanced,Gandhi-like,12 factories,Elite,online now,rankings.php?subregion=mex,The Federal Colonies,18 Hundred Tons per month,$25037 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,7 Mbbl per month,,,45%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,115k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 3 hours ago,rankings.php?subregion=car,The Federal Colonies,10 Hundred Tons per month,$24921 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23475 km 2,http://blocgame.com/stats.php?id=45853,,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,194k active personnel,0 ships,Advanced,Gandhi-like,15 factories,Standard,last online 23 hours ago,rankings.php?subregion=car,The Federal Colonies,70 Hundred Tons per month,$24758 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,,294 Mbbl,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,462k active personnel,63 ships,Advanced,Gandhi-like,21 factories,Good,last online 1 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,86 Hundred Tons per month,$24409 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,20 Mbbl per month,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,528k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,25 factories,Poor,last online 7 hours ago,rankings.php?subregion=chi,BAMF,78 Hundred Tons per month,$23772 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,6 Mbbl per month,121 Mbbl,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,298k active personnel,69 ships,Advanced,Gandhi-like,15 factories,Good,last online 2 hours ago,rankings.php?subregion=pac,BAMF,24 Hundred Tons per month,$23246 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,7 Mbbl per month,,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,221k active personnel,39 ships,Advanced,Gandhi-like,11 factories,Good,last online 16 hours ago,rankings.php?subregion=ama,BAMF,33 Hundred Tons per month,$22939 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,14 Mbbl per month,,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,93 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Elite,last online 41 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,150 Hundred Tons per month,$22551 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,10 Mbbl per month,,,15%
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,244k active personnel,71 ships,Almost Modern,Gandhi-like,10 factories,Elite,last online 32 hours ago,rankings.php?subregion=ama,The High Council,30 Hundred Tons per month,$22502 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,9 Mbbl per month,,2 Tons,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,348k active personnel,12 ships,Advanced,Gandhi-like,15 factories,Good,online now,rankings.php?subregion=mes,Brotherhood of Nod,25 Hundred Tons per month,$21924 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65440 km 2,http://blocgame.com/stats.php?id=56860,75 Mbbl per month,1510 Mbbl,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,224k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,online now,rankings.php?subregion=per,The Federal Colonies,5 Hundred Tons per month,$21846 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,27 Mbbl per month,2797 Mbbl,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,597k active personnel,91 ships,Advanced,Nice,22 factories,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,100 Hundred Tons per month,$20389 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,159228 km 2,http://blocgame.com/stats.php?id=52362,200 Mbbl per month,3755 Mbbl,13 Tons,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,447k active personnel,69 ships,Advanced,Gandhi-like,19 factories,Elite,online now,rankings.php?subregion=ama,BAMF,64 Hundred Tons per month,$21520 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,105627 km 2,http://blocgame.com/stats.php?id=45527,16 Mbbl per month,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,419k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Good,online now,rankings.php?subregion=congo,Brotherhood of Zion,30 Hundred Tons per month,$20996 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,9 Mbbl per month,,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,332k active personnel,36 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,online now,rankings.php?subregion=chi,The High Council,38 Hundred Tons per month,$21337 million,alliancestats.php?allianceid=1595,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,49825 km 2,http://blocgame.com/stats.php?id=44539,,42 Mbbl,1 Tons,45%
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,498k active personnel,51 ships,Advanced,Gandhi-like,22 factories,Elite,last online 6 hours ago,rankings.php?subregion=per,Brotherhood of Nod,102 Hundred Tons per month,$20991 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,109 Mbbl per month,3134 Mbbl,4 Tons,
