country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,414k active personnel,100 ships,Advanced,36 factories,Elite,online now,rankings.php?subregion=ara,BAMF,$33977 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=ara,181415 km 2,http://blocgame.com/stats.php?id=52331,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,78k active personnel,47 ships,Persian Gulf War surplus,16 factories,Elite,last online 29 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$30309 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,358k active personnel,71 ships,Persian Gulf War surplus,18 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Zion,$30256 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,434k active personnel,51 ships,Persian Gulf War surplus,18 factories,Standard,online now,rankings.php?subregion=con,Brotherhood of Zion,$27273 million,alliancestats.php?allianceid=1568,Southern Cone,,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,58 Mbbl,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,196k active personnel,50 ships,Advanced,17 factories,Good,last online 4 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$24357 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,261k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,online now,rankings.php?subregion=per,BAMF,$23953 million,alliancestats.php?allianceid=1393,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,25 ships,Almost Modern,15 factories,Standard,last online 8 hours ago,rankings.php?subregion=mex,BAMF,$23754 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,22 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$23518 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,130k active personnel,51 ships,Persian Gulf War surplus,14 factories,Elite,last online 4 hours ago,rankings.php?subregion=saf,BAMF,$23278 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,301k active personnel,56 ships,Advanced,16 factories,Elite,last online 1 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23124 million,alliancestats.php?allianceid=1568,Gran Colombia,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,
