country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,189k active personnel,1 ships,5%,First World War surplus,Gandhi-like,5 factories,Poor,last online 3 hours ago,35 Hundred Tons per month,61 Mbbl per month,Central Planning,$1842 million,4563 Mbbl; 61 Mbbl,Near Depletion,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,24 Hundred Tons per month,2 Mbbl per month,Central Planning,$1508 million,388 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The High Council,50k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1477 million,219 Mbbl,,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,,First World War surplus,Good,2 factories,Elite,last online 8 hours ago,22 Hundred Tons per month,20 Mbbl per month,Central Planning,$1446 million,679 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,27471 km 2,http://blocgame.com/stats.php?id=63909,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,online now,22 Hundred Tons per month,6 Mbbl per month,Central Planning,$1438 million,6754 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Morovistan,Gustave Bergher,The High Council,39k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 2 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1432 million,3596 Mbbl; 13 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Jebawka,Shetay,The Order,78k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Poor,last online 12 hours ago,11 Hundred Tons per month,9 Mbbl per month,Free Market,$1245 million,2769 Mbbl,Untapped,Small,Arabia,United States,24365 km 2,http://blocgame.com/stats.php?id=54304,
temasik,lawrence,,14k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,online now,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1239 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
Feffiopia,Serloks,Divine League,79k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 11 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1232 million,203 Mbbl,,Mediocre,The Subcontinent,Soviet Union,22834 km 2,http://blocgame.com/stats.php?id=46505,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Questionable,1 factory,Standard,online now,29 Hundred Tons per month,2 Mbbl per month,Central Planning,$1231 million,188 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
