country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Khebab,Al Khebab,http://blocgame.com/alliancestats.php?allianceid=2058,15k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 53 hours ago,rankings.php?subregion=ara,Al-Qassam Brigades,6 Hundred Tons per month,6 Mbbl per month,$686 million,alliancestats.php?allianceid=2058,2703 Mbbl; 6 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,40968 km 2,http://blocgame.com/stats.php?id=63695,
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,49k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=sub,The Order,12 Hundred Tons per month,1 Mbbl per month,$667 million,alliancestats.php?allianceid=2045,226 Mbbl; 1 Mbbl,The Subcontinent,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sub,34332 km 2,http://blocgame.com/stats.php?id=389,
al-Bahrayn,dbdb,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=mes,The Order,6 Hundred Tons per month,6 Mbbl per month,$602 million,alliancestats.php?allianceid=2045,1020 Mbbl; 6 Mbbl,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,30107 km 2,http://blocgame.com/stats.php?id=59775,
Morovistan,Gustave Bergher,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,First World War surplus,Angelic,None,Standard,last online 1 hours ago,rankings.php?subregion=mes,The High Council,9 Hundred Tons per month,6 Mbbl per month,$602 million,alliancestats.php?allianceid=2039,3836 Mbbl; 6 Mbbl,Mesopotamia,,Meagre,http://blocgame.com/rankings.php?subregion=mes,23591 km 2,http://blocgame.com/stats.php?id=62905,
Kukulala,Unkel,http://blocgame.com/alliancestats.php?allianceid=2039,20k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=sea,The High Council,8 Hundred Tons per month,4 Mbbl per month,$594 million,alliancestats.php?allianceid=2039,481 Mbbl,Indochina,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sea,33563 km 2,http://blocgame.com/stats.php?id=60796,1 Tons
FlySoGood,ycheez,http://blocgame.com/alliancestats.php?allianceid=2048,47k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,9 Hundred Tons per month,9 Mbbl per month,$575 million,alliancestats.php?allianceid=2048,2055 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,31239 km 2,http://blocgame.com/stats.php?id=54541,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=2048,29k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,7 Hundred Tons per month,8 Mbbl per month,$565 million,alliancestats.php?allianceid=2048,1602 Mbbl; 8 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,33209 km 2,http://blocgame.com/stats.php?id=49295,
Tamarlania,Vagrant,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,1 ships,First World War surplus,Good,3 factories,Elite,online now,rankings.php?subregion=mes,The High Council,3 Hundred Tons per month,28 Mbbl per month,$561 million,alliancestats.php?allianceid=2039,5169 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30665 km 2,http://blocgame.com/stats.php?id=61626,
Memiaya,MrRoth,http://blocgame.com/alliancestats.php?allianceid=2038,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=car,Che Guevara League,13 Hundred Tons per month,2 Mbbl per month,$560 million,alliancestats.php?allianceid=2038,429 Mbbl; 2 Mbbl,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,35712 km 2,http://blocgame.com/stats.php?id=62980,
German Empire,Frederick the Great,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=egy,SPQR,9 Hundred Tons per month,5 Mbbl per month,$557 million,alliancestats.php?allianceid=2064,4513 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,27600 km 2,http://blocgame.com/stats.php?id=63053,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,11 Hundred Tons per month,5 Mbbl per month,$554 million,alliancestats.php?allianceid=2048,5419 Mbbl; 5 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,29860 km 2,http://blocgame.com/stats.php?id=4816,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=2048,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 2 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,10 Hundred Tons per month,2 Mbbl per month,$552 million,alliancestats.php?allianceid=2048,116 Mbbl; 2 Mbbl,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,34990 km 2,http://blocgame.com/stats.php?id=53068,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=2042,52k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,rankings.php?subregion=pac,Interpol,22 Hundred Tons per month,,$552 million,alliancestats.php?allianceid=2042,,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,28721 km 2,http://blocgame.com/stats.php?id=54376,
Junoma,VicReyes,http://blocgame.com/alliancestats.php?allianceid=2048,20k active personnel,0 ships,First World War surplus,Angelic,None,Elite,online now,rankings.php?subregion=con,Brotherhood of Zion,6 Hundred Tons per month,1 Mbbl per month,$549 million,alliancestats.php?allianceid=2048,424 Mbbl; 1 Mbbl,Southern Cone,Untapped,Small,http://blocgame.com/rankings.php?subregion=con,31241 km 2,http://blocgame.com/stats.php?id=40349,
Magical Horses,Tzafety,http://blocgame.com/alliancestats.php?allianceid=2050,33k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=ara,Divine League,10 Hundred Tons per month,11 Mbbl per month,$549 million,alliancestats.php?allianceid=2050,2942 Mbbl; 11 Mbbl,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,33824 km 2,http://blocgame.com/stats.php?id=51070,
Cyleia,Silas Adar,http://blocgame.com/alliancestats.php?allianceid=2045,18k active personnel,0 ships,First World War surplus,Nice,None,Elite,online now,rankings.php?subregion=mex,The Order,4 Hundred Tons per month,4 Mbbl per month,$548 million,alliancestats.php?allianceid=2045,766 Mbbl; 4 Mbbl,Mesoamerica,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mex,28384 km 2,http://blocgame.com/stats.php?id=62784,
South Uganda,Dr. Idi Amin,http://blocgame.com/alliancestats.php?allianceid=2048,36k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 5 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,16 Hundred Tons per month,2 Mbbl per month,$548 million,alliancestats.php?allianceid=2048,386 Mbbl; 2 Mbbl,Southern Africa,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=saf,30461 km 2,http://blocgame.com/stats.php?id=63128,
Turbanistan,eromer2,http://blocgame.com/alliancestats.php?allianceid=2045,18k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=sub,The Order,7 Hundred Tons per month,1 Mbbl per month,$543 million,alliancestats.php?allianceid=2045,527 Mbbl; 1 Mbbl,The Subcontinent,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sub,30082 km 2,http://blocgame.com/stats.php?id=63007,
Russophia,Mikhail Putin,http://blocgame.com/alliancestats.php?allianceid=2064,3k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 9 hours ago,rankings.php?subregion=ara,SPQR,2 Hundred Tons per month,4 Mbbl per month,$541 million,alliancestats.php?allianceid=2064,4 Mbbl,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,16667 km 2,http://blocgame.com/stats.php?id=54426,
Reim,Azrael,http://blocgame.com/alliancestats.php?allianceid=2039,49k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Good,last online 2 hours ago,rankings.php?subregion=pac,The High Council,11 Hundred Tons per month,4 Mbbl per month,$540 million,alliancestats.php?allianceid=2039,492 Mbbl; 4 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,32917 km 2,http://blocgame.com/stats.php?id=41073,
Darkstone,Trakel,http://blocgame.com/alliancestats.php?allianceid=2039,61k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=ara,The High Council,7 Hundred Tons per month,7 Mbbl per month,$540 million,alliancestats.php?allianceid=2039,724 Mbbl; 7 Mbbl,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,28160 km 2,http://blocgame.com/stats.php?id=57176,
Uzbekistanstan,Shaikh Zayer,http://blocgame.com/alliancestats.php?allianceid=2045,32k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=congo,The Order,9 Hundred Tons per month,1 Mbbl per month,$536 million,alliancestats.php?allianceid=2045,480 Mbbl,Congo,,Meagre,http://blocgame.com/rankings.php?subregion=congo,29347 km 2,http://blocgame.com/stats.php?id=47207,
Lewd Place,Cute Girl,http://blocgame.com/alliancestats.php?allianceid=2041,42k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 1 hours ago,rankings.php?subregion=car,Lithuanian Coalition,12 Hundred Tons per month,6 Mbbl per month,$536 million,alliancestats.php?allianceid=2041,956 Mbbl,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,31320 km 2,http://blocgame.com/stats.php?id=61620,
Hatmistan,Pertti II,http://blocgame.com/alliancestats.php?allianceid=2058,29k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 7 hours ago,rankings.php?subregion=atl,Al-Qassam Brigades,5 Hundred Tons per month,3 Mbbl per month,$534 million,alliancestats.php?allianceid=2058,2126 Mbbl; 3 Mbbl,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,30995 km 2,http://blocgame.com/stats.php?id=46162,
bakhang,cukobi,http://blocgame.com/alliancestats.php?allianceid=2045,31k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 4 hours ago,rankings.php?subregion=atl,The Order,9 Hundred Tons per month,2 Mbbl per month,$530 million,alliancestats.php?allianceid=2045,1069 Mbbl; 2 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,30352 km 2,http://blocgame.com/stats.php?id=60485,
Vanan,Esler,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 1 hours ago,rankings.php?subregion=congo,The Order,10 Hundred Tons per month,2 Mbbl per month,$528 million,alliancestats.php?allianceid=2045,339 Mbbl; 2 Mbbl,Congo,Untapped,Small,http://blocgame.com/rankings.php?subregion=congo,31238 km 2,http://blocgame.com/stats.php?id=63339,
Arina,Hakir,http://blocgame.com/alliancestats.php?allianceid=2042,29k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=ama,Interpol,4 Hundred Tons per month,1 Mbbl per month,$527 million,alliancestats.php?allianceid=2042,213 Mbbl; 1 Mbbl,Amazonia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ama,30995 km 2,http://blocgame.com/stats.php?id=54480,
Ambon,Chalkface,http://blocgame.com/alliancestats.php?allianceid=2045,44k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Standard,last online 3 hours ago,rankings.php?subregion=pac,The Order,5 Hundred Tons per month,3 Mbbl per month,$526 million,alliancestats.php?allianceid=2045,427 Mbbl; 3 Mbbl,Pacific Rim,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=pac,27330 km 2,http://blocgame.com/stats.php?id=42744,
Utopiastan,SilmAlpha,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=gui,The High Council,12 Hundred Tons per month,2 Mbbl per month,$525 million,alliancestats.php?allianceid=2039,683 Mbbl; 2 Mbbl,Guinea,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gui,33552 km 2,http://blocgame.com/stats.php?id=56876,
Kuto,AKMB,http://blocgame.com/alliancestats.php?allianceid=2052,46k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 3 hours ago,rankings.php?subregion=per,The Federal Colonies,9 Hundred Tons per month,6 Mbbl per month,$522 million,alliancestats.php?allianceid=2052,5150 Mbbl; 6 Mbbl,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,29887 km 2,http://blocgame.com/stats.php?id=40095,
Jemut,iwaniman/Ferozz,,38k active personnel,0 ships,First World War surplus,Nice,2 factories,Elite,last online 1 hours ago,rankings.php?subregion=ind,,9 Hundred Tons per month,7 Mbbl per month,$520 million,,402 Mbbl; 7 Mbbl,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,30605 km 2,http://blocgame.com/stats.php?id=61811,
Ballzinga,Carejo,http://blocgame.com/alliancestats.php?allianceid=2045,31k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,online now,rankings.php?subregion=gui,The Order,6 Hundred Tons per month,1 Mbbl per month,$520 million,alliancestats.php?allianceid=2045,357 Mbbl,Guinea,,Meagre,http://blocgame.com/rankings.php?subregion=gui,29319 km 2,http://blocgame.com/stats.php?id=63397,
The NLR,Darknight,http://blocgame.com/alliancestats.php?allianceid=2050,36k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 1 hours ago,rankings.php?subregion=congo,Divine League,21 Hundred Tons per month,2 Mbbl per month,$519 million,alliancestats.php?allianceid=2050,92 Mbbl; 2 Mbbl,Congo,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=congo,31282 km 2,http://blocgame.com/stats.php?id=49701,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=2049,20k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 7 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,6 Hundred Tons per month,3 Mbbl per month,$518 million,alliancestats.php?allianceid=2049,243 Mbbl; 3 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,27776 km 2,http://blocgame.com/stats.php?id=41268,
Kek Slovakia,Fidel Kekstro,http://blocgame.com/alliancestats.php?allianceid=2045,27k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,online now,rankings.php?subregion=pac,The Order,4 Hundred Tons per month,2 Mbbl per month,$518 million,alliancestats.php?allianceid=2045,362 Mbbl; 2 Mbbl,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,31063 km 2,http://blocgame.com/stats.php?id=63462,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=2052,51k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 4 hours ago,rankings.php?subregion=car,The Federal Colonies,24 Hundred Tons per month,2 Mbbl per month,$515 million,alliancestats.php?allianceid=2052,265 Mbbl,Caribbean,,Small,http://blocgame.com/rankings.php?subregion=car,31769 km 2,http://blocgame.com/stats.php?id=43375,
Nuwe Rhodesia,dudeskis,http://blocgame.com/alliancestats.php?allianceid=2045,8k active personnel,0 ships,Finest of the 19th century,Normal,None,Elite,last online 1 hours ago,rankings.php?subregion=gra,The Order,4 Hundred Tons per month,3 Mbbl per month,$512 million,alliancestats.php?allianceid=2045,170 Mbbl,Gran Colombia,Depleted,Meagre,http://blocgame.com/rankings.php?subregion=gra,30995 km 2,http://blocgame.com/stats.php?id=6338,
Spooktune,Spookwave,http://blocgame.com/alliancestats.php?allianceid=2048,32k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 4 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,8 Hundred Tons per month,3 Mbbl per month,$511 million,alliancestats.php?allianceid=2048,466 Mbbl; 3 Mbbl,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,30995 km 2,http://blocgame.com/stats.php?id=62983,
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=2058,47k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,online now,rankings.php?subregion=egy,Al-Qassam Brigades,5 Hundred Tons per month,3 Mbbl per month,$510 million,alliancestats.php?allianceid=2058,5887 Mbbl; 3 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,31696 km 2,http://blocgame.com/stats.php?id=52836,
Conrad,Waled,,17k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 8 hours ago,rankings.php?subregion=egy,,8 Hundred Tons per month,8 Mbbl per month,$510 million,,5092 Mbbl; 8 Mbbl,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,23790 km 2,http://blocgame.com/stats.php?id=62640,
Lemonstan,Lemon,http://blocgame.com/alliancestats.php?allianceid=2049,35k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 9 hours ago,rankings.php?subregion=per,Brotherhood of Nod,7 Hundred Tons per month,7 Mbbl per month,$508 million,alliancestats.php?allianceid=2049,5075 Mbbl; 7 Mbbl,Persia,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=per,29887 km 2,http://blocgame.com/stats.php?id=40048,
TheDarkSide,LordVader,http://blocgame.com/alliancestats.php?allianceid=2052,35k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 2 hours ago,rankings.php?subregion=ind,The Federal Colonies,8 Hundred Tons per month,1 Mbbl per month,$508 million,alliancestats.php?allianceid=2052,294 Mbbl; 1 Mbbl,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,34429 km 2,http://blocgame.com/stats.php?id=63139,
Byzantium,The Wolf,http://blocgame.com/alliancestats.php?allianceid=2059,51k active personnel,0 ships,First World War surplus,Good,None,Poor,last online 4 hours ago,rankings.php?subregion=mes,The United Nations,11 Hundred Tons per month,7 Mbbl per month,$506 million,alliancestats.php?allianceid=2059,4655 Mbbl,Mesopotamia,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30830 km 2,http://blocgame.com/stats.php?id=41125,
place in asia,Fomalhaut,http://blocgame.com/alliancestats.php?allianceid=2045,41k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 8 hours ago,rankings.php?subregion=pac,The Order,4 Hundred Tons per month,4 Mbbl per month,$505 million,alliancestats.php?allianceid=2045,204 Mbbl; 4 Mbbl,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,27818 km 2,http://blocgame.com/stats.php?id=63538,
Asians,bigyihsuan,http://blocgame.com/alliancestats.php?allianceid=2039,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 2 hours ago,rankings.php?subregion=pac,The High Council,4 Hundred Tons per month,2 Mbbl per month,$501 million,alliancestats.php?allianceid=2039,479 Mbbl; 2 Mbbl,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=41551,
Stuleja,Płetwonurkov,http://blocgame.com/alliancestats.php?allianceid=2041,35k active personnel,0 ships,First World War surplus,Questionable,None,Elite,last online 1 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,11 Hundred Tons per month,7 Mbbl per month,$501 million,alliancestats.php?allianceid=2041,124 Mbbl,Southern Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=saf,30995 km 2,http://blocgame.com/stats.php?id=61524,
Violent Vegans,SnakeBombs,http://blocgame.com/alliancestats.php?allianceid=2042,38k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 4 hours ago,rankings.php?subregion=atl,Interpol,9 Hundred Tons per month,5 Mbbl per month,$500 million,alliancestats.php?allianceid=2042,4801 Mbbl; 5 Mbbl,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,31486 km 2,http://blocgame.com/stats.php?id=48869,
Southern Africa,TheMaster_ZA,http://blocgame.com/alliancestats.php?allianceid=2045,45k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 5 hours ago,rankings.php?subregion=saf,The Order,5 Hundred Tons per month,2 Mbbl per month,$498 million,alliancestats.php?allianceid=2045,235 Mbbl; 2 Mbbl,Southern Africa,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=saf,31113 km 2,http://blocgame.com/stats.php?id=48410,
Nueva Occitania,Aurelio de Tolosa,http://blocgame.com/alliancestats.php?allianceid=2045,31k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=gra,The Order,5 Hundred Tons per month,2 Mbbl per month,$498 million,alliancestats.php?allianceid=2045,250 Mbbl; 2 Mbbl,Gran Colombia,Untapped,Small,http://blocgame.com/rankings.php?subregion=gra,30514 km 2,http://blocgame.com/stats.php?id=63119,
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=2052,46k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,rankings.php?subregion=car,The Federal Colonies,8 Hundred Tons per month,3 Mbbl per month,$496 million,alliancestats.php?allianceid=2052,484 Mbbl; 3 Mbbl,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,27979 km 2,http://blocgame.com/stats.php?id=58369,
sandakania,Ryan Kentang,http://blocgame.com/alliancestats.php?allianceid=2048,28k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=ind,Brotherhood of Zion,7 Hundred Tons per month,2 Mbbl per month,$496 million,alliancestats.php?allianceid=2048,481 Mbbl,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,31319 km 2,http://blocgame.com/stats.php?id=60600,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 3 hours ago,rankings.php?subregion=ara,The High Council,18 Hundred Tons per month,9 Mbbl per month,$494 million,alliancestats.php?allianceid=2039,4495 Mbbl; 9 Mbbl,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,32356 km 2,http://blocgame.com/stats.php?id=40238,
Kachan,Chłodna Kaczka,http://blocgame.com/alliancestats.php?allianceid=2041,34k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 30 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,7 Hundred Tons per month,15 Mbbl per month,$494 million,alliancestats.php?allianceid=2041,3449 Mbbl; 15 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,31232 km 2,http://blocgame.com/stats.php?id=62963,
Contra Mundi,Johnny,http://blocgame.com/alliancestats.php?allianceid=2049,17k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Standard,last online 9 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,9 Hundred Tons per month,7 Mbbl per month,$493 million,alliancestats.php?allianceid=2049,4400 Mbbl,Mesopotamia,Plentiful,None,http://blocgame.com/rankings.php?subregion=mes,29848 km 2,http://blocgame.com/stats.php?id=62976,
Wafflonia,Stellarwaffle,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=egy,SPQR,9 Hundred Tons per month,6 Mbbl per month,$491 million,alliancestats.php?allianceid=2064,3746 Mbbl; 6 Mbbl,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,28135 km 2,http://blocgame.com/stats.php?id=63064,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=2045,33k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=sub,The Order,9 Hundred Tons per month,3 Mbbl per month,$489 million,alliancestats.php?allianceid=2045,283 Mbbl,The Subcontinent,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sub,31158 km 2,http://blocgame.com/stats.php?id=45527,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=2052,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=per,The Federal Colonies,5 Hundred Tons per month,4 Mbbl per month,$489 million,alliancestats.php?allianceid=2052,2256 Mbbl; 4 Mbbl,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,30762 km 2,http://blocgame.com/stats.php?id=48914,
Walmart,Jeddy,http://blocgame.com/alliancestats.php?allianceid=2042,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=chi,Interpol,9 Hundred Tons per month,5 Mbbl per month,$489 million,alliancestats.php?allianceid=2042,262 Mbbl; 5 Mbbl,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,30667 km 2,http://blocgame.com/stats.php?id=57903,1 Tons
Ferma,President Jacobo Vincenzo,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,13 Hundred Tons per month,,$489 million,alliancestats.php?allianceid=2048,178 Mbbl,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,27656 km 2,http://blocgame.com/stats.php?id=58784,
Vilnus,Jurij Owsienko,http://blocgame.com/alliancestats.php?allianceid=2041,47k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 8 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,12 Hundred Tons per month,17 Mbbl per month,$489 million,alliancestats.php?allianceid=2041,2956 Mbbl; 17 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,31299 km 2,http://blocgame.com/stats.php?id=61610,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=2049,33k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 7 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,8 Hundred Tons per month,4 Mbbl per month,$488 million,alliancestats.php?allianceid=2049,2136 Mbbl; 4 Mbbl,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,27818 km 2,http://blocgame.com/stats.php?id=39070,
Wielkopl,taikuh,http://blocgame.com/alliancestats.php?allianceid=2038,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 1 hours ago,rankings.php?subregion=car,Che Guevara League,14 Hundred Tons per month,,$488 million,alliancestats.php?allianceid=2038,,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,30217 km 2,http://blocgame.com/stats.php?id=42376,
Shatmapants,Penguin,http://blocgame.com/alliancestats.php?allianceid=2038,35k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 4 hours ago,rankings.php?subregion=car,Che Guevara League,8 Hundred Tons per month,4 Mbbl per month,$488 million,alliancestats.php?allianceid=2038,373 Mbbl; 4 Mbbl,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,31506 km 2,http://blocgame.com/stats.php?id=58425,
