country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Much War,Dan The Magic Man,The Order,53k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 16 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$479 million,3367 Mbbl; 10 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,37073 km 2,http://blocgame.com/stats.php?id=61645,
Kota Tinggi,ainyzrul,Che Guevara League,21k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 13 hours ago,9 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$479 million,330 Mbbl,Untapped,Meagre,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63120,
Eneficus,Eneficusian Firestar,,10k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Elite,online now,4 Hundred Tons per month,,Central Planning,$479 million,370 Mbbl,Untapped,Meagre,China,Neutral,13613 km 2,http://blocgame.com/stats.php?id=64046,
Butt Munch Land,Butt Munch,,8k active personnel,0 ships,,First World War surplus,Normal,None,Undisciplined Rabble,last online 1 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$478 million,51 Mbbl; 1 Mbbl,Untapped,None,Mesoamerica,Neutral,7880 km 2,http://blocgame.com/stats.php?id=58540,
Chagondowidi,Tom Spanks,,10k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 33 hours ago,5 Hundred Tons per month,,Free Market,$478 million,265 Mbbl,Untapped,Meagre,Congo,United States,13477 km 2,http://blocgame.com/stats.php?id=64136,
The Sound,Lord Orochimaru,The High Council,34k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 57 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$477 million,400 Mbbl; 2 Mbbl,,Meagre,East Indies,Soviet Union,20911 km 2,http://blocgame.com/stats.php?id=55197,
Krovator Land,Kassim Fuentes,The High Council,30k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Poor,last online 4 hours ago,7 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$477 million,291 Mbbl; 3 Mbbl,Untapped,Mediocre,Caribbean,United States,26523 km 2,http://blocgame.com/stats.php?id=60722,
Jeoson Korea,Jwong-wal il,,7k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,None,Poor,last online 142 hours ago,2 Hundred Tons per month,,Mixed Economy,$477 million,,Untapped,None,China,Neutral,13477 km 2,http://blocgame.com/stats.php?id=61438,
dingoland,dudleydukeofdingos,,9k active personnel,0 ships,,First World War surplus,Nice,None,Elite,last online 48 hours ago,7 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$477 million,3432 Mbbl; 2 Mbbl,,None,Egypt,Neutral,15667 km 2,http://blocgame.com/stats.php?id=62266,
WeWuz,OfficerDarrenWilson,SPQR,25k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 89 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$474 million,4515 Mbbl,Untapped,None,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63547,
Jerunco,analie,,7k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 167 hours ago,2 Hundred Tons per month,,Central Planning,$474 million,,Untapped,None,Mesopotamia,Neutral,13477 km 2,http://blocgame.com/stats.php?id=63907,
hokoo,ovaltine,Brotherhood of Nod,50k active personnel,0 ships,,First World War surplus,Angelic,1 factory,Elite,last online 12 hours ago,16 Hundred Tons per month,23 Mbbl per month,Free Market,$473 million,2884 Mbbl; 23 Mbbl,Untapped,Large,Arabia,United States,33496 km 2,http://blocgame.com/stats.php?id=61111,
Librava,Danyalez,,6k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,None,Standard,last online 161 hours ago,2 Hundred Tons per month,,Mixed Economy,$472 million,,Untapped,None,West Africa,United States,16335 km 2,http://blocgame.com/stats.php?id=60725,
Bahamat,Gamersauce,The Khilafah,58k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 11 hours ago,7 Hundred Tons per month,2 Mbbl per month,Free Market,$472 million,284 Mbbl,Plentiful,Meagre,The Subcontinent,United States,23594 km 2,http://blocgame.com/stats.php?id=64061,
Canuckistan!!,Cosmic Canuck,Brotherhood of Nod,8k active personnel,0 ships,,First World War surplus,Normal,None,Good,last online 121 hours ago,3 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$471 million,4113 Mbbl; 4 Mbbl,Untapped,Mediocre,Persia,Neutral,16438 km 2,http://blocgame.com/stats.php?id=49526,
Fortuynism,Fortuyn,,26k active personnel,0 ships,,First World War surplus,Questionable,None,Standard,last online 172 hours ago,2 Hundred Tons per month,,Mixed Economy,$471 million,425 Mbbl,Untapped,Meagre,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=58179,
Rudenia,Supreme Leader,Brotherhood of Zion,38k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,8 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$470 million,4057 Mbbl,,Meagre,Arabia,Soviet Union,25971 km 2,http://blocgame.com/stats.php?id=47765,
Persifio,Muizzuddin,,29k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 13 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$469 million,758 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=61664,
Japseye,Cornholio,,6k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 95 hours ago,4 Hundred Tons per month,1 Mbbl per month,Free Market,$469 million,281 Mbbl; 1 Mbbl,Untapped,None,Amazonia,United States,13477 km 2,http://blocgame.com/stats.php?id=63711,
SAMAN TERORISM,steker1,,10k active personnel,0 ships,,First World War surplus,Angelic,None,Poor,last online 80 hours ago,2 Hundred Tons per month,,Central Planning,$469 million,,Untapped,None,The Subcontinent,Neutral,11231 km 2,http://blocgame.com/stats.php?id=63933,
new aussie land,benj,The Order,39k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Poor,last online 89 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$468 million,294 Mbbl; 1 Mbbl,Untapped,None,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=52750,
Satan kingdom,alistan1987,,3k active personnel,0 ships,,First World War surplus,Good,None,Undisciplined Rabble,last online 4 hours ago,2 Hundred Tons per month,,Mixed Economy,$468 million,,Untapped,None,East Indies,Neutral,6436 km 2,http://blocgame.com/stats.php?id=60809,
Nahrin,Mahzuz Al-Qanun,PIRATES,34k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Elite,last online 5 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$468 million,153 Mbbl; 2 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62160,1 Tons
Arganava,Abdul Hamid Muhammad,,18k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 5 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$468 million,71 Mbbl; 1 Mbbl,Untapped,Meagre,East Indies,Neutral,16172 km 2,http://blocgame.com/stats.php?id=62223,
Djengling,DjangoLeBurr,Followers of Guadian,19k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 3 hours ago,9 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$468 million,55 Mbbl,Untapped,Meagre,Gran Colombia,United States,20133 km 2,http://blocgame.com/stats.php?id=63724,
Dengue,Kraken,The Khilafah,40k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Standard,last online 14 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$468 million,3079 Mbbl; 3 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=64008,
Inferia,Alexkovisk,Divine League,10k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 54 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$467 million,200 Mbbl; 1 Mbbl,Untapped,None,Mesoamerica,Neutral,15689 km 2,http://blocgame.com/stats.php?id=60789,
