country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Sucanti,Draban,The Order,48k active personnel,0 ships,First World War surplus,Nice,2 factories,Standard,online now,9 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$394 million,354 Mbbl,Untapped,Meagre,Pacific Rim,United States,26798 km 2,http://www.blocgame.com/stats.php?id=49810
Ansari,Abad,The Khilafah,59k active personnel,0 ships,First World War surplus,Isolated,2 factories,Good,online now,15 Hundred Tons per month,2 Mbbl per month,Free Market,$401 million,46 Mbbl,Untapped,Small,Congo,United States,29071 km 2,http://www.blocgame.com/stats.php?id=50625
Agonda,Agonda,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Normal,2 factories,Standard,online now,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$395 million,121 Mbbl; 3 Mbbl,Untapped,Meagre,China,Soviet Union,26360 km 2,http://www.blocgame.com/stats.php?id=51268
Zerram,Bilgorin,The Order,44k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,online now,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$350 million,391 Mbbl; 3 Mbbl,Untapped,None,Guinea,Soviet Union,30406 km 2,http://www.blocgame.com/stats.php?id=65344
Bombay,Bombay,Interpol,52k active personnel,0 ships,First World War surplus,Nice,2 factories,Standard,online now,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$419 million,3625 Mbbl; 5 Mbbl,Untapped,Meagre,Arabia,Soviet Union,27986 km 2,http://www.blocgame.com/stats.php?id=51989
Grettistan,Grett,Brotherhood of Nod,39k active personnel,0 ships,First World War surplus,Nice,2 factories,Elite,online now,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$443 million,181 Mbbl; 3 Mbbl,Untapped,Meagre,Southern Africa,Soviet Union,29038 km 2,http://www.blocgame.com/stats.php?id=51214
Wussan,Handri,SPQR,41k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$394 million,992 Mbbl; 6 Mbbl,Untapped,None,Persia,Soviet Union,26868 km 2,http://www.blocgame.com/stats.php?id=50197
Magahion,Hira,Socialist Arab Union,47k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$359 million,50 Mbbl; 1 Mbbl,Untapped,None,East Africa,Soviet Union,26567 km 2,http://www.blocgame.com/stats.php?id=65308
Channary,Kardal,The Order,43k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,12 Hundred Tons per month,2 Mbbl per month,Free Market,$461 million,91 Mbbl; 2 Mbbl,Untapped,Meagre,Caribbean,United States,28187 km 2,http://www.blocgame.com/stats.php?id=50479
Opandos,KllK,The Order,55k active personnel,0 ships,First World War surplus,Nice,2 factories,Standard,online now,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$378 million,150 Mbbl; 3 Mbbl,Untapped,None,Indochina,Soviet Union,36457 km 2,http://www.blocgame.com/stats.php?id=50208
