country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,137k active personnel,9 ships,Korean War surplus,Gandhi-like,7 factories,Elite,online now,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$7666 million,261 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,59k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,last online 9 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$7395 million,9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Conferan,Cryptox,The Order,219k active personnel,15 ships,Vietnam War surplus,Gandhi-like,6 factories,Good,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$6396 million,248 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,82521 km 2,http://blocgame.com/stats.php?id=56710,,
Shambala,Feranon,Brotherhood of Nod,98k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$6130 million,443 Mbbl; 5 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,
Platypus Island,Mark0Polo,SPQR,9k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 119 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$6079 million,21 Mbbl,Untapped,Meagre,Indochina,Soviet Union,46845 km 2,http://blocgame.com/stats.php?id=63909,,
TheDarkSide,LordVader,Misanthropics,63k active personnel,11 ships,Almost Modern,Gandhi-like,5 factories,Undisciplined Rabble,last online 4 hours ago,24 Hundred Tons per month,4 Mbbl per month,Central Planning,$5971 million,352 Mbbl; 4 Mbbl,Untapped,Very Powerful,East Indies,Neutral,51227 km 2,http://blocgame.com/stats.php?id=63139,,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Elite,online now,12 Hundred Tons per month,8 Mbbl per month,Free Market,$5933 million,313 Mbbl; 8 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Sovngarde,Farron47,The Order,6k active personnel,15 ships,Korean War surplus,Normal,2 factories,Undisciplined Rabble,last online 2 hours ago,35 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$5784 million,166 Mbbl; 8 Mbbl,Near Depletion,None,East Indies,Neutral,34863 km 2,http://blocgame.com/stats.php?id=62626,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,15 ships,Korean War surplus,Gandhi-like,6 factories,Elite,online now,40 Hundred Tons per month,,Free Market,$5687 million,,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,6 Tons
Morovistan,Gustave Bergher,SPQR,2k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 26 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$5554 million,4545 Mbbl; 19 Mbbl,Near Depletion,Very Powerful,Mesopotamia,Soviet Union,28547 km 2,http://blocgame.com/stats.php?id=62905,,
Aminichina,doublepedaldylan,The Order,53k active personnel,5 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 47 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$5527 million,875 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,35803 km 2,http://blocgame.com/stats.php?id=56720,,
Tamarlania,Vagrant,The Order,143k active personnel,52 ships,Korean War surplus,Gandhi-like,8 factories,Elite,last online 13 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$5373 million,1543 Mbbl,Untapped,Powerful,Mesopotamia,United States,63983 km 2,http://blocgame.com/stats.php?id=61626,5%,
Coccoladia,Ernesto Caprone,The Federal Colonies,79k active personnel,9 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 10 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$5337 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 5 hours ago,61 Hundred Tons per month,6 Mbbl per month,Free Market,$5314 million,189 Mbbl,Untapped,Powerful,Congo,United States,42530 km 2,http://blocgame.com/stats.php?id=47207,,
Ferma,President Jacobo Vincenzo,The Order,9k active personnel,7 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,last online 1 hours ago,25 Hundred Tons per month,,Free Market,$5253 million,266 Mbbl,,Meagre,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Cubania,General Fidelis,The Order,130k active personnel,4 ships,Vietnam War surplus,Gandhi-like,8 factories,Good,last online 13 hours ago,60 Hundred Tons per month,18 Mbbl per month,Central Planning,$5080 million,18 Mbbl,Untapped,Very Powerful,Mesoamerica,Soviet Union,61756 km 2,http://blocgame.com/stats.php?id=47349,,
SettingMoon,Hawk,The Order,36k active personnel,12 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 16 hours ago,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$5055 million,182 Mbbl; 5 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,18007 km 2,http://blocgame.com/stats.php?id=62839,,
Cirno,jc99,The Federal Colonies,199k active personnel,12 ships,Korean War surplus,Gandhi-like,8 factories,Poor,last online 8 hours ago,34 Hundred Tons per month,2 Mbbl per month,Central Planning,$5037 million,144 Mbbl,Plentiful,Very Powerful,Caribbean,Soviet Union,41625 km 2,http://blocgame.com/stats.php?id=43375,,
Hitlerwasright,Louis C Cuck,The Order,138k active personnel,11 ships,Vietnam War surplus,Gandhi-like,6 factories,Good,last online 7 hours ago,35 Hundred Tons per month,25 Mbbl per month,Free Market,$5037 million,8845 Mbbl,Plentiful,Very Powerful,Arabia,United States,33337 km 2,http://blocgame.com/stats.php?id=59621,,
Brutish Empire,DarkyDonno,Brotherhood of Nod,99k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Elite,online now,33 Hundred Tons per month,14 Mbbl per month,Central Planning,$4917 million,304 Mbbl; 14 Mbbl,Untapped,Large,China,Soviet Union,32549 km 2,http://blocgame.com/stats.php?id=57265,,
Lorigan,Lorigan,Interpol,168k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 3 hours ago,29 Hundred Tons per month,10 Mbbl per month,Central Planning,$4881 million,63 Mbbl; 10 Mbbl,Untapped,Powerful,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
DFWEFWEF,dmc5,Interpol,67k active personnel,10 ships,Korean War surplus,Normal,5 factories,Elite,online now,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$4835 million,7949 Mbbl; 6 Mbbl,Untapped,Large,Arabia,Soviet Union,65104 km 2,http://blocgame.com/stats.php?id=55118,,
Asians,bigyihsuan,The Order,83k active personnel,2 ships,Second World War surplus,Mad Dog,3 factories,Good,last online 14 hours ago,10 Hundred Tons per month,5 Mbbl per month,Free Market,$4828 million,17 Mbbl,Untapped,Somewhat Large,Pacific Rim,United States,8474 km 2,http://blocgame.com/stats.php?id=41551,,
VinnyNation,VinnyRuler,Brotherhood of Nod,71k active personnel,3 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 24 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$4816 million,90 Mbbl; 7 Mbbl,Untapped,Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Tanah Malaya,Syahmi1089,PIRATES,70k active personnel,11 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,15 Hundred Tons per month,11 Mbbl per month,Free Market,$4788 million,1109 Mbbl,Untapped,Very Powerful,Arabia,United States,21409 km 2,http://blocgame.com/stats.php?id=60385,,
