country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
Khebab,Al Khebab,http://blocgame.com/alliancestats.php?allianceid=2058,41k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 30 hours ago,rankings.php?subregion=ara,Al-Qassam Brigades,$674 million,alliancestats.php?allianceid=2058,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,41798 km 2,http://blocgame.com/stats.php?id=63695,2715 Mbbl; 6 Mbbl,,,Normal,6 Hundred Tons per month,6 Mbbl per month
FlySoGood,ycheez,http://blocgame.com/alliancestats.php?allianceid=2048,49k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$577 million,alliancestats.php?allianceid=2048,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,30644 km 2,http://blocgame.com/stats.php?id=54541,2072 Mbbl,,,Good,8 Hundred Tons per month,8 Mbbl per month
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,41k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=sub,The Order,$565 million,alliancestats.php?allianceid=2045,The Subcontinent,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sub,31474 km 2,http://blocgame.com/stats.php?id=389,91 Mbbl; 1 Mbbl,,,Normal,12 Hundred Tons per month,1 Mbbl per month
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=2048,48k active personnel,0 ships,First World War surplus,1 factory,Good,last online 6 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$553 million,alliancestats.php?allianceid=2048,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,34990 km 2,http://blocgame.com/stats.php?id=53068,119 Mbbl; 1 Mbbl,,,Nice,10 Hundred Tons per month,1 Mbbl per month
Morovistan,Gustave Bergher,http://blocgame.com/alliancestats.php?allianceid=2049,18k active personnel,0 ships,First World War surplus,None,Good,online now,rankings.php?subregion=mes,Brotherhood of Nod,$552 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,23423 km 2,http://blocgame.com/stats.php?id=62905,3848 Mbbl; 6 Mbbl,,,Angelic,8 Hundred Tons per month,6 Mbbl per month
South Uganda,Dr. Idi Amin,http://blocgame.com/alliancestats.php?allianceid=2048,38k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$541 million,alliancestats.php?allianceid=2048,Southern Africa,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=saf,30188 km 2,http://blocgame.com/stats.php?id=63128,390 Mbbl; 2 Mbbl,,,Questionable,14 Hundred Tons per month,2 Mbbl per month
Darkstone,Trakel,http://blocgame.com/alliancestats.php?allianceid=2039,60k active personnel,0 ships,First World War surplus,1 factory,Good,last online 1 hours ago,rankings.php?subregion=ara,The High Council,$533 million,alliancestats.php?allianceid=2039,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,27330 km 2,http://blocgame.com/stats.php?id=57176,735 Mbbl; 4 Mbbl,,,Nice,7 Hundred Tons per month,4 Mbbl per month
Uzbekistanstan,Shaikh Zayer,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 7 hours ago,rankings.php?subregion=congo,The Order,$531 million,alliancestats.php?allianceid=2045,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,29942 km 2,http://blocgame.com/stats.php?id=47207,482 Mbbl,,,Good,9 Hundred Tons per month,1 Mbbl per month
Tamarlania,Vagrant,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,1 ships,First World War surplus,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,The High Council,$530 million,alliancestats.php?allianceid=2039,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30665 km 2,http://blocgame.com/stats.php?id=61626,5205 Mbbl,,,Normal,2 Hundred Tons per month,18 Mbbl per month
TheDarkSide,LordVader,http://blocgame.com/alliancestats.php?allianceid=2052,35k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=ind,The Federal Colonies,$525 million,alliancestats.php?allianceid=2052,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,34229 km 2,http://blocgame.com/stats.php?id=63139,296 Mbbl; 1 Mbbl,,,Questionable,6 Hundred Tons per month,1 Mbbl per month
Ballzinga,Carejo,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,Finest of the 19th century,None,Good,online now,rankings.php?subregion=gui,The Order,$525 million,alliancestats.php?allianceid=2045,Guinea,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gui,29914 km 2,http://blocgame.com/stats.php?id=63397,359 Mbbl; 1 Mbbl,,,Good,5 Hundred Tons per month,1 Mbbl per month
German Empire,Frederick the Great,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=egy,SPQR,$522 million,alliancestats.php?allianceid=2064,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,27600 km 2,http://blocgame.com/stats.php?id=63053,4523 Mbbl,,,Good,5 Hundred Tons per month,5 Mbbl per month
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=2058,47k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=egy,Al-Qassam Brigades,$514 million,alliancestats.php?allianceid=2058,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,31460 km 2,http://blocgame.com/stats.php?id=52836,5893 Mbbl; 3 Mbbl,,,Good,5 Hundred Tons per month,3 Mbbl per month
The NLR,Darknight,http://blocgame.com/alliancestats.php?allianceid=2050,39k active personnel,0 ships,First World War surplus,1 factory,Good,last online 2 hours ago,rankings.php?subregion=congo,Divine League,$513 million,alliancestats.php?allianceid=2050,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,30665 km 2,http://blocgame.com/stats.php?id=49701,96 Mbbl; 2 Mbbl,,,Good,19 Hundred Tons per month,2 Mbbl per month
Kek Slovakia,Fidel Kekstro,http://blocgame.com/alliancestats.php?allianceid=2045,25k active personnel,0 ships,First World War surplus,1 factory,Good,last online 2 hours ago,rankings.php?subregion=pac,The Order,$511 million,alliancestats.php?allianceid=2045,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,30865 km 2,http://blocgame.com/stats.php?id=63462,366 Mbbl; 2 Mbbl,,,Normal,3 Hundred Tons per month,2 Mbbl per month
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=2052,39k active personnel,0 ships,First World War surplus,1 factory,Good,last online 8 hours ago,rankings.php?subregion=car,The Federal Colonies,$509 million,alliancestats.php?allianceid=2052,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,31293 km 2,http://blocgame.com/stats.php?id=43375,269 Mbbl,,,Good,22 Hundred Tons per month,2 Mbbl per month
al-Bahrayn,dbdb,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,None,Good,last online 2 hours ago,rankings.php?subregion=mes,The Order,$504 million,alliancestats.php?allianceid=2045,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,27330 km 2,http://blocgame.com/stats.php?id=59775,1032 Mbbl; 6 Mbbl,,,Nice,6 Hundred Tons per month,6 Mbbl per month
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=2049,20k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,online now,rankings.php?subregion=pac,Brotherhood of Nod,$503 million,alliancestats.php?allianceid=2049,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,27576 km 2,http://blocgame.com/stats.php?id=41268,248 Mbbl; 2 Mbbl,,,Good,5 Hundred Tons per month,2 Mbbl per month
sandakania,Ryan Kentang,http://blocgame.com/alliancestats.php?allianceid=2048,28k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=ind,Brotherhood of Zion,$501 million,alliancestats.php?allianceid=2048,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,31158 km 2,http://blocgame.com/stats.php?id=60600,485 Mbbl; 2 Mbbl,,,Good,7 Hundred Tons per month,2 Mbbl per month
Byzantium,The Wolf,http://blocgame.com/alliancestats.php?allianceid=2059,39k active personnel,0 ships,First World War surplus,None,Good,last online 2 hours ago,rankings.php?subregion=mes,The United Nations,$498 million,alliancestats.php?allianceid=2059,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30830 km 2,http://blocgame.com/stats.php?id=41125,4669 Mbbl,,,Good,10 Hundred Tons per month,7 Mbbl per month
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=2048,29k active personnel,0 ships,First World War surplus,1 factory,Good,last online 5 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$497 million,alliancestats.php?allianceid=2048,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,30380 km 2,http://blocgame.com/stats.php?id=49295,1595 Mbbl; 7 Mbbl,,,Good,6 Hundred Tons per month,7 Mbbl per month
Southern Africa,TheMaster_ZA,http://blocgame.com/alliancestats.php?allianceid=2045,39k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 9 hours ago,rankings.php?subregion=saf,The Order,$495 million,alliancestats.php?allianceid=2045,Southern Africa,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=saf,30830 km 2,http://blocgame.com/stats.php?id=48410,239 Mbbl; 2 Mbbl,,,Normal,4 Hundred Tons per month,2 Mbbl per month
Contra Mundi,Johnny,http://blocgame.com/alliancestats.php?allianceid=2049,37k active personnel,0 ships,Finest of the 19th century,None,Good,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$494 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,30186 km 2,http://blocgame.com/stats.php?id=62976,4414 Mbbl,,,Good,9 Hundred Tons per month,7 Mbbl per month
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=2039,37k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=ara,The High Council,$493 million,alliancestats.php?allianceid=2039,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,32136 km 2,http://blocgame.com/stats.php?id=40238,4513 Mbbl; 9 Mbbl,,,Normal,16 Hundred Tons per month,9 Mbbl per month
Scrubistan,Fernando_Shiros,http://blocgame.com/alliancestats.php?allianceid=2049,45k active personnel,0 ships,First World War surplus,1 factory,Good,last online 1 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$493 million,alliancestats.php?allianceid=2049,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,30663 km 2,http://blocgame.com/stats.php?id=59122,4848 Mbbl; 7 Mbbl,,,Questionable,12 Hundred Tons per month,7 Mbbl per month
Kachan,Chłodna Kaczka,http://blocgame.com/alliancestats.php?allianceid=2041,36k active personnel,0 ships,First World War surplus,None,Elite,last online 7 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,$492 million,alliancestats.php?allianceid=2041,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,31232 km 2,http://blocgame.com/stats.php?id=62963,3479 Mbbl; 15 Mbbl,,,Good,7 Hundred Tons per month,15 Mbbl per month
Shatmapants,Penguin,http://blocgame.com/alliancestats.php?allianceid=2038,39k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 5 hours ago,rankings.php?subregion=car,Che Guevara League,$491 million,alliancestats.php?allianceid=2038,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,31267 km 2,http://blocgame.com/stats.php?id=58425,381 Mbbl; 4 Mbbl,,,Questionable,7 Hundred Tons per month,4 Mbbl per month
Vilnus,Jurij Owsienko,http://blocgame.com/alliancestats.php?allianceid=2041,43k active personnel,0 ships,First World War surplus,None,Good,last online 10 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,$491 million,alliancestats.php?allianceid=2041,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,31299 km 2,http://blocgame.com/stats.php?id=61610,2990 Mbbl; 17 Mbbl,,,Nice,12 Hundred Tons per month,17 Mbbl per month
Smyrno,Mallow,http://blocgame.com/alliancestats.php?allianceid=2045,30k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=ara,The Order,$491 million,alliancestats.php?allianceid=2045,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,29846 km 2,http://blocgame.com/stats.php?id=62960,4826 Mbbl; 4 Mbbl,,,Normal,3 Hundred Tons per month,4 Mbbl per month
Puella-Magia,Emily,http://blocgame.com/alliancestats.php?allianceid=2073,37k active personnel,0 ships,First World War surplus,None,Elite,last online 1 hours ago,rankings.php?subregion=per,Comintern,$490 million,alliancestats.php?allianceid=2073,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,30421 km 2,http://blocgame.com/stats.php?id=35958,928 Mbbl; 9 Mbbl,,,Nice,6 Hundred Tons per month,9 Mbbl per month
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=2052,30k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=per,The Federal Colonies,$488 million,alliancestats.php?allianceid=2052,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,30762 km 2,http://blocgame.com/stats.php?id=48914,2264 Mbbl; 4 Mbbl,,,Nice,4 Hundred Tons per month,4 Mbbl per month
Mangkok,MangkukHayun,http://blocgame.com/alliancestats.php?allianceid=2039,53k active personnel,0 ships,Finest of the 19th century,1 factory,Good,online now,rankings.php?subregion=ind,The High Council,$488 million,alliancestats.php?allianceid=2039,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,29915 km 2,http://blocgame.com/stats.php?id=62210,193 Mbbl,,,Nice,3 Hundred Tons per month,3 Mbbl per month
kasturi,mt.lekiu,,38k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 3 hours ago,rankings.php?subregion=congo,,$487 million,,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,31095 km 2,http://blocgame.com/stats.php?id=60887,379 Mbbl; 2 Mbbl,,,Good,7 Hundred Tons per month,2 Mbbl per month
Efren,Deling,http://blocgame.com/alliancestats.php?allianceid=2038,19k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 9 hours ago,rankings.php?subregion=mex,Che Guevara League,$486 million,alliancestats.php?allianceid=2038,Mesoamerica,Depleted,Meagre,http://blocgame.com/rankings.php?subregion=mex,31655 km 2,http://blocgame.com/stats.php?id=62725,7 Mbbl,,,Pariah,5 Hundred Tons per month,4 Mbbl per month
Rararaland,Whiskertoes,http://blocgame.com/alliancestats.php?allianceid=2045,25k active personnel,0 ships,First World War surplus,None,Elite,last online 13 hours ago,rankings.php?subregion=ara,The Order,$485 million,alliancestats.php?allianceid=2045,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,27165 km 2,http://blocgame.com/stats.php?id=49272,4754 Mbbl; 1 Mbbl,,,Normal,3 Hundred Tons per month,1 Mbbl per month
Magical Horses,Tzafety,http://blocgame.com/alliancestats.php?allianceid=2050,33k active personnel,0 ships,First World War surplus,None,Elite,online now,rankings.php?subregion=ara,Divine League,$483 million,alliancestats.php?allianceid=2050,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,30995 km 2,http://blocgame.com/stats.php?id=51070,2961 Mbbl; 9 Mbbl,,,Questionable,9 Hundred Tons per month,9 Mbbl per month
Syphirious,Doxal,http://blocgame.com/alliancestats.php?allianceid=2042,39k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=mes,Interpol,$483 million,alliancestats.php?allianceid=2042,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,30830 km 2,http://blocgame.com/stats.php?id=59670,3491 Mbbl; 12 Mbbl,,,Good,12 Hundred Tons per month,12 Mbbl per month
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=2048,39k active personnel,0 ships,First World War surplus,1 factory,Good,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$482 million,alliancestats.php?allianceid=2048,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,30351 km 2,http://blocgame.com/stats.php?id=47945,544 Mbbl; 3 Mbbl,,,Good,12 Hundred Tons per month,3 Mbbl per month
