country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
white shadow,White Shadow,The Divine Council,40k active personnel,0 ships,Second World War surplus,Nice,1 factory,Standard,last online 1 hours ago,21 Hundred Tons per month,10 Mbbl per month,Central Planning,$418 million,1948 Mbbl; 10 Mbbl,Untapped,Mediocre,Persia,Soviet Union,26383 km 2,http://blocgame.com/stats.php?id=55012,,
Zelena Zemya,Nikolay,Interpol,2k active personnel,0 ships,Finest of the 19th century,Angelic,None,Elite,last online 143 hours ago,3 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$418 million,2711 Mbbl,Untapped,None,Persia,Neutral,13058 km 2,http://blocgame.com/stats.php?id=63758,,
Azhdahagate,Azhdaha_Panzer,Brotherhood of Nod,39k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Standard,online now,20 Hundred Tons per month,10 Mbbl per month,Free Market,$417 million,3365 Mbbl,Untapped,Mediocre,Mesopotamia,United States,33548 km 2,http://blocgame.com/stats.php?id=52422,,
basetrade,basetrade,,18k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 17 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$417 million,1018 Mbbl; 2 Mbbl,Untapped,None,Atlas,United States,20000 km 2,http://blocgame.com/stats.php?id=64329,,
doot doot,blusky,,0k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$417 million,3785 Mbbl,,Small,Egypt,United States,23017 km 2,http://blocgame.com/stats.php?id=64465,,
Military101,Militaryruler,,35k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,online now,2 Hundred Tons per month,,Central Planning,$416 million,,Untapped,None,Atlas,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64273,,
Jem,Jemma,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 163 hours ago,2 Hundred Tons per month,,Central Planning,$416 million,,Untapped,None,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64472,,
icenation,icenation,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 17 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$413 million,1213 Mbbl; 2 Mbbl,Untapped,None,Atlas,United States,13613 km 2,http://blocgame.com/stats.php?id=64337,,
Qara Qoyunlu,Pole,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 124 hours ago,2 Hundred Tons per month,,Central Planning,$413 million,,Untapped,None,Southern Cone,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64487,,
Monsanto,Yuris,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 124 hours ago,2 Hundred Tons per month,,Free Market,$413 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64494,,
Perez,Niola,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Central Planning,$413 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64527,,
Hussenia,Vilhalm,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Central Planning,$413 million,,Untapped,None,Gran Colombia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64528,,
Colomba,Musol,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Mixed Economy,$413 million,,Untapped,None,Gran Colombia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64530,,
Treso,Jkrowl,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Free Market,$413 million,,Untapped,None,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64534,,
Roarspekistan,roar,Che Guevara League,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 4 hours ago,6 Hundred Tons per month,1 Mbbl per month,Central Planning,$412 million,437 Mbbl; 1 Mbbl,Untapped,None,Gran Colombia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=59084,,
Zanujiah,Al-Zanuj,Brotherhood of Nod,30k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 105 hours ago,6 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$411 million,1979 Mbbl; 8 Mbbl,Untapped,Somewhat Large,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61655,,
Niorgana,Jorge Harzia,The Order,34k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 47 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$409 million,429 Mbbl,Untapped,Somewhat Large,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=63970,,
melayuraya,bangsamelayu,,78k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 11 hours ago,8 Hundred Tons per month,8 Mbbl per month,Central Planning,$408 million,170 Mbbl; 8 Mbbl,Untapped,Mediocre,The Subcontinent,Neutral,22574 km 2,http://blocgame.com/stats.php?id=63546,,
Coltarin,Binbunny,,8k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 62 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$407 million,2017 Mbbl,Untapped,Mediocre,Arabia,United States,15850 km 2,http://blocgame.com/stats.php?id=40460,,
BIOR KELANTOK,Krul,The Divine Council,55k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 3 hours ago,8 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$405 million,287 Mbbl,Untapped,Somewhat Large,Pacific Rim,United States,16172 km 2,http://blocgame.com/stats.php?id=61489,,
