country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,100k active personnel,8 ships,Korean War surplus,Angelic,6 factories,Good,last online 3 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$4469 million,28 Mbbl; 21 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,63033 km 2,http://blocgame.com/stats.php?id=63909,,
TheDarkSide,LordVader,Misanthropics,83k active personnel,8 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,last online 2 hours ago,27 Hundred Tons per month,4 Mbbl per month,Central Planning,$4465 million,825 Mbbl; 4 Mbbl,Near Depletion,Very Powerful,East Indies,Soviet Union,68352 km 2,http://blocgame.com/stats.php?id=63139,,
Sovngarde,Farron47,The Order,106k active personnel,12 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 2 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$4329 million,502 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,48356 km 2,http://blocgame.com/stats.php?id=62626,,
Raja Udang,Mario,PIRATES,84k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 32 hours ago,20 Hundred Tons per month,13 Mbbl per month,Free Market,$4207 million,416 Mbbl; 13 Mbbl,Near Depletion,Somewhat Large,Pacific Rim,Neutral,37190 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,SPQR,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 59 hours ago,23 Hundred Tons per month,19 Mbbl per month,Central Planning,$4195 million,5134 Mbbl; 19 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
USSR,CommissarBrian,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 16 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$4185 million,19 Mbbl; 8 Mbbl,Untapped,Large,China,Soviet Union,48847 km 2,http://blocgame.com/stats.php?id=54182,,
Jemut,iwaniman/Ferozz,PIRATES,110k active personnel,8 ships,Korean War surplus,Good,6 factories,Elite,last online 5 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$4092 million,33 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45619 km 2,http://blocgame.com/stats.php?id=61811,,
Tuonela,Beelzebub,The Order,98k active personnel,4 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 4 hours ago,43 Hundred Tons per month,3 Mbbl per month,Central Planning,$4052 million,284 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,45310 km 2,http://blocgame.com/stats.php?id=389,,
LOCAI,Agumentic,Brotherhood of Nod,79k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Good,online now,12 Hundred Tons per month,6 Mbbl per month,Free Market,$4039 million,178 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
Markovia,RDM HC,The Federal Colonies,118k active personnel,8 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 9 hours ago,36 Hundred Tons per month,17 Mbbl per month,Free Market,$3865 million,350 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,42564 km 2,http://blocgame.com/stats.php?id=58369,,
Ken no Taiyou,Hikari,The Order,69k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,9 Hundred Tons per month,35 Mbbl per month,Mixed Economy,$3771 million,2421 Mbbl; 35 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
Uzbekistanstan,Shaikh Zayer,The Order,99k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,57 Hundred Tons per month,5 Mbbl per month,Free Market,$3758 million,250 Mbbl,Untapped,Very Powerful,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Mirah,Filzah,The Order,127k active personnel,12 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 7 hours ago,26 Hundred Tons per month,12 Mbbl per month,Central Planning,$3718 million,375 Mbbl; 12 Mbbl,Untapped,Very Powerful,China,Soviet Union,29729 km 2,http://blocgame.com/stats.php?id=64191,,
Conferan,Cryptox,The Order,119k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 14 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3661 million,271 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,54575 km 2,http://blocgame.com/stats.php?id=56710,,
Rome Reloaded,Tiberius Ceaser,SPQR,54k active personnel,6 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$3647 million,4642 Mbbl,Near Depletion,Powerful,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
