country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,online now,3 Hundred Tons per month,43 Mbbl per month,Free Market,$978 million,5371 Mbbl,Untapped,Somewhat Large,1 Tons,Mesopotamia,United States,36232 km 2,http://blocgame.com/stats.php?id=61626
Tuonela,Beelzebub,The Order,53k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 5 hours ago,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$888 million,326 Mbbl; 2 Mbbl,Untapped,Mediocre,,The Subcontinent,Soviet Union,37195 km 2,http://blocgame.com/stats.php?id=389
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,11 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$840 million,3774 Mbbl; 11 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905
Kritch,Zorn,Brotherhood of Nod,44k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,11 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$832 million,560 Mbbl; 2 Mbbl,Untapped,Small,,The Subcontinent,Soviet Union,34076 km 2,http://blocgame.com/stats.php?id=63155
Derse Moon,Jack Noir,The Order,78k active personnel,6 ships,First World War surplus,Good,5 factories,Elite,last online 5 hours ago,40 Hundred Tons per month,40 Mbbl per month,Free Market,$831 million,20554 Mbbl,,Very Powerful,,Egypt,United States,55590 km 2,http://blocgame.com/stats.php?id=62965
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,online now,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$789 million,216 Mbbl; 2 Mbbl,,Meagre,,Pacific Rim,Soviet Union,35170 km 2,http://blocgame.com/stats.php?id=63083
Memiaya,MrRoth,Che Guevara League,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,online now,15 Hundred Tons per month,2 Mbbl per month,Central Planning,$788 million,575 Mbbl; 2 Mbbl,Untapped,Large,1 Tons,Caribbean,Soviet Union,45699 km 2,http://blocgame.com/stats.php?id=62980
Lyranistan,Lyranistan,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 4 hours ago,17 Hundred Tons per month,12 Mbbl per month,Central Planning,$756 million,2797 Mbbl; 12 Mbbl,Untapped,Large,,Mesopotamia,Soviet Union,39228 km 2,http://blocgame.com/stats.php?id=56860
Russophia,Mikhail Putin,SPQR,8k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,online now,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$749 million,4 Mbbl,Untapped,None,,Arabia,Soviet Union,13890 km 2,http://blocgame.com/stats.php?id=54426
Uzbekistanstan,Shaikh Zayer,The Order,25k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,14 Hundred Tons per month,3 Mbbl per month,Free Market,$741 million,557 Mbbl,Plentiful,Mediocre,,Congo,United States,36651 km 2,http://blocgame.com/stats.php?id=47207
Platypus Island,Mark0Polo,SPQR,49k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$734 million,834 Mbbl; 7 Mbbl,Untapped,Mediocre,,Indochina,Soviet Union,23816 km 2,http://blocgame.com/stats.php?id=63909
LOCAI,Agumentic,Brotherhood of Zion,21k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,4 Hundred Tons per month,2 Mbbl per month,Free Market,$732 million,228 Mbbl; 2 Mbbl,Untapped,Mediocre,,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$718 million,4478 Mbbl,Untapped,Somewhat Large,,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053
Khebab,Al Khebab,Al-Qassam Brigades,7k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 129 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$707 million,2214 Mbbl; 6 Mbbl,Untapped,Meagre,,Arabia,Soviet Union,33462 km 2,http://blocgame.com/stats.php?id=63695
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,6 Hundred Tons per month,7 Mbbl per month,Central Planning,$700 million,976 Mbbl; 7 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775
Mzab,Cuma Thurman,Brotherhood of Zion,46k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$700 million,4621 Mbbl; 6 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,34384 km 2,http://blocgame.com/stats.php?id=63775
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$697 million,300 Mbbl; 3 Mbbl,Untapped,Small,,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268
South Uganda,Dr. Idi Amin,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 4 hours ago,23 Hundred Tons per month,4 Mbbl per month,Central Planning,$697 million,448 Mbbl; 4 Mbbl,Untapped,Somewhat Large,,Southern Africa,Soviet Union,34970 km 2,http://blocgame.com/stats.php?id=63128
Kyranistan,Michael Hussain,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Isolated,None,Good,online now,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$676 million,8733 Mbbl; 6 Mbbl,Untapped,Mediocre,,Persia,Soviet Union,31565 km 2,http://blocgame.com/stats.php?id=61263
Newsoka,E Mark,The High Council,18k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 2 hours ago,12 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$674 million,394 Mbbl,Untapped,Meagre,,Indochina,United States,23122 km 2,http://blocgame.com/stats.php?id=63105
Khuzestan,Georgy Zhukov,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 13 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$673 million,2631 Mbbl; 5 Mbbl,Untapped,Mediocre,,Persia,Soviet Union,36081 km 2,http://blocgame.com/stats.php?id=48914
