aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
2k active personnel,16-titties,,38k active personnel,,Unspecifistan,http://blocgame.com/news.php?page=10
30k active personnel,Addin-territory,PIRATES,9k active personnel,,Vorgorn,http://blocgame.com/news.php?page=4
8k active personnel,Allaah,,11k active personnel,,Atikana,http://blocgame.com/news.php?page=9
49k active personnel,Almania,Brotherhood of Nod,9k active personnel,,Ikeland,http://blocgame.com/news.php?page=3
17k active personnel,Amazonian Union,Brotherhood of Zion,15k active personnel,,Jarhead,http://blocgame.com/news.php?page=9
34k active personnel,Argon,Interpol,16k active personnel,The Order,Jovian,http://blocgame.com/news.php?page=2
25k active personnel,Arsinoe,SPQR,15k active personnel,,Deveaux,http://blocgame.com/news.php?page=9
39k active personnel,awanghitam,The High Council,5k active personnel,,Gorland,http://blocgame.com/news.php?page=4
53k active personnel,Awesomeria,Brotherhood of Zion,1k active personnel,African Union,Burgaria,http://blocgame.com/news.php?page=5
50k active personnel,Baghdad Iraqi,The High Council,23k active personnel,Brotherhood of Nod,Skhimm,http://blocgame.com/news.php?page=7
20k active personnel,Ballz,,25k active personnel,,Gomp,http://blocgame.com/news.php?page=6
32k active personnel,Birdland,Brotherhood of Nod,6k active personnel,,Armados,http://blocgame.com/news.php?page=8
26k active personnel,Black Gold,The Order,0k active personnel,,Oilpotamia,http://blocgame.com/news.php?page=6
26k active personnel,Black Widow,The Order,6k active personnel,,ARABOBIA,http://blocgame.com/news.php?page=7
30k active personnel,BongoBongoBongo,The Order,54k active personnel,,Tarsonis,http://blocgame.com/news.php?page=6
31k active personnel,Boomtown,The High Council,30k active personnel,,Raizar,http://blocgame.com/news.php?page=2
25k active personnel,BOOP,,34k active personnel,,Sannari,http://blocgame.com/news.php?page=2
10k active personnel,Borderia,The United Nations,18k active personnel,Brotherhood of Zion,Trump Towers,http://blocgame.com/news.php?page=5
9k active personnel,Boukachkistan,,5k active personnel,,Islamic Nations,http://blocgame.com/news.php?page=5
37k active personnel,bro dude,Brotherhood of Zion,21k active personnel,Al-Qassam Brigades,Sepidajistan,http://blocgame.com/news.php?page=6
25k active personnel,Brutish Empire,Comintern,12k active personnel,,Falk,http://blocgame.com/news.php?page=5
90k active personnel,Caballos,The United Nations,4k active personnel,,DonateLandss,http://blocgame.com/news.php?page=7
39k active personnel,Cascoia,Brotherhood of Zion,11k active personnel,Brotherhood of Nod,Polandistan,http://blocgame.com/news.php?page=1
8k active personnel,Chistriania,The United Nations,3k active personnel,,El Janero,http://blocgame.com/news.php?page=9
31k active personnel,Chongministan,The Order,13k active personnel,,Dirty Juice,http://blocgame.com/news.php?page=2
