country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,95k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Standard,online now,37 Hundred Tons per month,21 Mbbl per month,Central Planning,$2268 million,510 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Kyranistan,Michael Hussain,Comintern,50k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 5 hours ago,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$2064 million,5955 Mbbl; 11 Mbbl,Near Depletion,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Tuonela,Beelzebub,The Order,70k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$2055 million,360 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Morovistan,Gustave Bergher,The Divine Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,17 Hundred Tons per month,13 Mbbl per month,Central Planning,$1997 million,3414 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Tamarlania,Vagrant,The Divine Council,178k active personnel,9 ships,First World War surplus,Nice,5 factories,Good,last online 4 hours ago,53 Hundred Tons per month,61 Mbbl per month,Free Market,$1989 million,4572 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,46728 km 2,http://blocgame.com/stats.php?id=61626,5%,
Femtonesia,1101,Comintern,3k active personnel,2 ships,First World War surplus,Good,2 factories,Elite,online now,40 Hundred Tons per month,6 Mbbl per month,Central Planning,$1950 million,146 Mbbl; 6 Mbbl,Depleted,Small,Pacific Rim,Soviet Union,40350 km 2,http://blocgame.com/stats.php?id=63083,,
Raja Udang,Mario,PIRATES,50k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$1900 million,254 Mbbl; 7 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,40329 km 2,http://blocgame.com/stats.php?id=61754,,
temasik,lawrence,SPQR,39k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$1896 million,955 Mbbl; 3 Mbbl,Near Depletion,Mediocre,East Indies,Soviet Union,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,25 Hundred Tons per month,11 Mbbl per month,Central Planning,$1816 million,6634 Mbbl,,Somewhat Large,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 30 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1804 million,4314 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
