country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
TheDarkSide,LordVader,The Fallen,101k active personnel,3 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,last online 6 hours ago,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$4097 million,939 Mbbl; 3 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,81804 km 2,http://blocgame.com/stats.php?id=63139,,
Raja Udang,Mario,PIRATES,12k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 60 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$4003 million,61 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,37190 km 2,http://blocgame.com/stats.php?id=61754,,
Platypus Island,Mark0Polo,SPQR,275k active personnel,8 ships,Korean War surplus,Gandhi-like,5 factories,Poor,last online 1 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3969 million,21 Mbbl,,Very Powerful,Indochina,Soviet Union,46176 km 2,http://blocgame.com/stats.php?id=63909,,
Morovistan,Gustave Bergher,Wreckage Brothers,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 22 hours ago,22 Hundred Tons per month,18 Mbbl per month,Central Planning,$3757 million,5301 Mbbl; 18 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,94k active personnel,9 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 3 hours ago,33 Hundred Tons per month,8 Mbbl per month,Central Planning,$3714 million,557 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,47137 km 2,http://blocgame.com/stats.php?id=62626,,
Conferan,Cryptox,Wreckage Brothers,113k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3688 million,334 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,54575 km 2,http://blocgame.com/stats.php?id=56710,,
USSR,CommissarBrian,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Good,last online 1 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$3669 million,91 Mbbl; 8 Mbbl,Plentiful,Mediocre,China,Soviet Union,48847 km 2,http://blocgame.com/stats.php?id=54182,,
Jemut,iwaniman/Ferozz,PIRATES,100k active personnel,8 ships,Second World War surplus,Pariah,5 factories,Good,last online 2 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$3661 million,186 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45108 km 2,http://blocgame.com/stats.php?id=61811,,
Tuonela,Beelzebub,The Order,97k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,40 Hundred Tons per month,3 Mbbl per month,Central Planning,$3620 million,311 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,45310 km 2,http://blocgame.com/stats.php?id=389,,
Skekenhouse,Kraast,The Order,121k active personnel,5 ships,Korean War surplus,Good,4 factories,Standard,online now,38 Hundred Tons per month,16 Mbbl per month,Central Planning,$3555 million,5533 Mbbl; 16 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,67191 km 2,http://blocgame.com/stats.php?id=62962,,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,3 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,12 Hundred Tons per month,6 Mbbl per month,Free Market,$3529 million,232 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
Mirah,Filzah,The Order,127k active personnel,10 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 1 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$3529 million,483 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,29729 km 2,http://blocgame.com/stats.php?id=64191,,
Aasyria,David al-Assad,The Order,118k active personnel,8 ships,Second World War surplus,Gandhi-like,4 factories,Poor,online now,35 Hundred Tons per month,17 Mbbl per month,Central Planning,$3352 million,3955 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Ken no Taiyou,Hikari,The Order,63k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,9 Hundred Tons per month,35 Mbbl per month,Central Planning,$3333 million,2736 Mbbl; 35 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
