country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Skekenhouse,Kraast,The Order,75k active personnel,1 ships,Korean War surplus,Angelic,3 factories,Standard,online now,35 Hundred Tons per month,16 Mbbl per month,Central Planning,$2669 million,4709 Mbbl; 16 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,56679 km 2,http://blocgame.com/stats.php?id=62962,,
Raja Udang,Mario,PIRATES,25k active personnel,2 ships,Second World War surplus,Angelic,3 factories,Elite,last online 6 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$2662 million,127 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,36135 km 2,http://blocgame.com/stats.php?id=61754,,
Rome Reloaded,Tiberius Ceaser,SPQR,46k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$2651 million,4870 Mbbl,Near Depletion,Somewhat Large,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
Conferan,Cryptox,The Divine Council,118k active personnel,3 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$2611 million,359 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,50509 km 2,http://blocgame.com/stats.php?id=56710,1 Tons,
Hitlerwasright,Louis C Cuck,The Order,58k active personnel,0 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 7 hours ago,35 Hundred Tons per month,25 Mbbl per month,Free Market,$2600 million,10095 Mbbl,Plentiful,Large,Arabia,United States,33237 km 2,http://blocgame.com/stats.php?id=59621,,
Coccoladia,Ernesto Caprone,The Federal Colonies,38k active personnel,1 ships,Second World War surplus,Angelic,2 factories,Standard,online now,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$2556 million,58 Mbbl; 2 Mbbl,Untapped,Large,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
USSR,CommissarBrian,The Order,79k active personnel,0 ships,Korean War surplus,Gandhi-like,5 factories,Poor,last online 7 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$2551 million,155 Mbbl; 8 Mbbl,Untapped,Small,China,Soviet Union,47029 km 2,http://blocgame.com/stats.php?id=54182,,
Markovia,RDM HC,The Federal Colonies,118k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,25 Hundred Tons per month,13 Mbbl per month,Free Market,$2545 million,493 Mbbl; 13 Mbbl,Untapped,Powerful,Caribbean,United States,40901 km 2,http://blocgame.com/stats.php?id=58369,,
Morjei,FlairWoW,The Divine Council,74k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Standard,last online 3 hours ago,37 Hundred Tons per month,5 Mbbl per month,Central Planning,$2514 million,379 Mbbl; 5 Mbbl,Untapped,Powerful,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,,
Shambala,Feranon,Brotherhood of Nod,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$2507 million,75 Mbbl; 5 Mbbl,Untapped,Large,Pacific Rim,Soviet Union,29711 km 2,http://blocgame.com/stats.php?id=41268,,5%
Brutish Empire,DarkyDonno,SPQR,99k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,25 Hundred Tons per month,10 Mbbl per month,Central Planning,$2488 million,60 Mbbl; 10 Mbbl,,Large,China,Soviet Union,33209 km 2,http://blocgame.com/stats.php?id=57265,,
Alamo,linksith,SPQR,68k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$2473 million,4346 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,,
Femtonesia,1101,Comintern,6k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 144 hours ago,42 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2467 million,6 Mbbl,Untapped,Mediocre,Pacific Rim,Neutral,27217 km 2,http://blocgame.com/stats.php?id=63083,,
Lorigan,Lorigan,The Divine Council,69k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 25 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$2463 million,137 Mbbl; 8 Mbbl,Untapped,Somewhat Large,Amazonia,Soviet Union,39396 km 2,http://blocgame.com/stats.php?id=59787,,
