country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,80k active personnel,5 ships,Second World War surplus,Axis of Evil,7 factories,Good,last online 1 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$5366 million,21 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,73174 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,115k active personnel,9 ships,Korean War surplus,Angelic,6 factories,Elite,online now,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$5319 million,309 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,49257 km 2,http://blocgame.com/stats.php?id=389,,
Jemut,iwaniman/Ferozz,PIRATES,116k active personnel,8 ships,Korean War surplus,Questionable,7 factories,Elite,last online 3 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$5308 million,279 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,53470 km 2,http://blocgame.com/stats.php?id=61811,,
Markovia,RDM HC,The Federal Colonies,139k active personnel,11 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,37 Hundred Tons per month,17 Mbbl per month,Free Market,$4895 million,166 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,44019 km 2,http://blocgame.com/stats.php?id=58369,,
USSR,CommissarBrian,The Order,48k active personnel,0 ships,Korean War surplus,Gandhi-like,9 factories,Good,last online 2 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$4889 million,125 Mbbl; 9 Mbbl,Untapped,Powerful,China,Soviet Union,47876 km 2,http://blocgame.com/stats.php?id=54182,,
Morovistan,Gustave Bergher,SPQR,98k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Poor,last online 21 hours ago,23 Hundred Tons per month,19 Mbbl per month,Central Planning,$4704 million,4925 Mbbl; 19 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
LOCAI,Agumentic,Brotherhood of Nod,79k active personnel,6 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 9 hours ago,12 Hundred Tons per month,7 Mbbl per month,Free Market,$4698 million,109 Mbbl; 7 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Lorigan,Lorigan,,113k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 31 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4477 million,239 Mbbl; 8 Mbbl,Untapped,Large,Amazonia,Soviet Union,44071 km 2,http://blocgame.com/stats.php?id=59787,,
Sovngarde,Farron47,The Order,5k active personnel,13 ships,Korean War surplus,Nice,4 factories,Good,last online 3 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$4441 million,379 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,42257 km 2,http://blocgame.com/stats.php?id=62626,,
Uzbekistanstan,Shaikh Zayer,The Order,119k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 47 hours ago,57 Hundred Tons per month,5 Mbbl per month,Free Market,$4313 million,195 Mbbl,Untapped,Very Powerful,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
