country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,75k active personnel,2 ships,Second World War surplus,Gandhi-like,4 factories,Poor,last online 2 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2489 million,426 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Asians,bigyihsuan,The Divine Council,58k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,10 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2384 million,396 Mbbl; 5 Mbbl,Untapped,Small,Pacific Rim,United States,23786 km 2,http://blocgame.com/stats.php?id=41551,,
Kyranistan,Michael Hussain,Comintern,58k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$2235 million,5911 Mbbl; 11 Mbbl,Depleted,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Tuonela,Beelzebub,The Order,54k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,29 Hundred Tons per month,2 Mbbl per month,Central Planning,$2199 million,352 Mbbl; 2 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,40565 km 2,http://blocgame.com/stats.php?id=389,,
Morovistan,Gustave Bergher,The Divine Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2165 million,3362 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Tamarlania,Vagrant,The Divine Council,178k active personnel,9 ships,First World War surplus,Normal,5 factories,Good,last online 3 hours ago,56 Hundred Tons per month,61 Mbbl per month,Free Market,$2089 million,4666 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,47922 km 2,http://blocgame.com/stats.php?id=61626,5%,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 9 hours ago,40 Hundred Tons per month,5 Mbbl per month,Free Market,$2088 million,430 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Almania,Almanich,Brotherhood of Nod,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,2 Hundred Tons per month,,Central Planning,$2081 million,171 Mbbl,Untapped,Very Powerful,China,Soviet Union,52660 km 2,http://blocgame.com/stats.php?id=51725,,
temasik,lawrence,SPQR,39k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2072 million,939 Mbbl; 4 Mbbl,,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Raja Udang,Mario,PIRATES,62k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2064 million,226 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,40329 km 2,http://blocgame.com/stats.php?id=61754,,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,10 Hundred Tons per month,4 Mbbl per month,Free Market,$1955 million,375 Mbbl; 4 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
German Empire,Frederick the Great,SPQR,56k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1953 million,4286 Mbbl,Plentiful,Powerful,Egypt,Soviet Union,27613 km 2,http://blocgame.com/stats.php?id=63053,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1951 million,263 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
constania,Comrade,The Divine Council,51k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$1927 million,84 Mbbl; 7 Mbbl,Untapped,Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,26 Hundred Tons per month,11 Mbbl per month,Central Planning,$1914 million,6590 Mbbl,Plentiful,Large,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
