country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Ekodebota,tfwqtp2tlgf|;3,Interpol,114k active personnel,11 ships,Vietnam War surplus,Gandhi-like,5 factories,Undisciplined Rabble,last online 1 hours ago,41 Hundred Tons per month,19 Mbbl per month,Central Planning,$4290 million,10458 Mbbl; 19 Mbbl,Plentiful,Very Powerful,Atlas,Soviet Union,48510 km 2,http://blocgame.com/stats.php?id=53422,,1 Tons
SettingMoon,Hawk,The Order,36k active personnel,10 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 4 hours ago,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$4278 million,242 Mbbl; 5 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,18007 km 2,http://blocgame.com/stats.php?id=62839,,
Aminichina,doublepedaldylan,The Order,53k active personnel,5 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$4252 million,861 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,28858 km 2,http://blocgame.com/stats.php?id=56720,,
Conferan,Cryptox,The Order,178k active personnel,11 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$4241 million,153 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,61230 km 2,http://blocgame.com/stats.php?id=56710,,
Kosan,Whitearcher8,The Order,136k active personnel,6 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,30 Hundred Tons per month,10 Mbbl per month,Central Planning,$4220 million,6229 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
Brutish Empire,DarkyDonno,Brotherhood of Nod,99k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Elite,online now,30 Hundred Tons per month,12 Mbbl per month,Central Planning,$4219 million,58 Mbbl; 12 Mbbl,Plentiful,Large,China,Soviet Union,32549 km 2,http://blocgame.com/stats.php?id=57265,,
Niggerito,Jejomar Binay,SPQR,130k active personnel,5 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 6 hours ago,42 Hundred Tons per month,5 Mbbl per month,Free Market,$4193 million,119 Mbbl,Untapped,Very Powerful,East Indies,United States,53168 km 2,http://blocgame.com/stats.php?id=63087,,
Johor,Helmi Omar,PIRATES,40k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$4184 million,303 Mbbl; 6 Mbbl,Untapped,Large,Pacific Rim,Neutral,18581 km 2,http://blocgame.com/stats.php?id=60442,,
KingBding,King B,The Order,58k active personnel,7 ships,Korean War surplus,Gandhi-like,3 factories,Poor,last online 4 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$4173 million,131 Mbbl; 3 Mbbl,Untapped,Very Powerful,Southern Africa,Soviet Union,25241 km 2,http://blocgame.com/stats.php?id=63205,,
Reim,Azrael,SPQR,118k active personnel,11 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 5 hours ago,35 Hundred Tons per month,11 Mbbl per month,Central Planning,$4163 million,357 Mbbl; 11 Mbbl,Plentiful,Very Powerful,Pacific Rim,Soviet Union,61628 km 2,http://blocgame.com/stats.php?id=41073,,
temasik,lawrence,SPQR,16k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 8 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$4145 million,341 Mbbl,,Mediocre,East Indies,United States,7951 km 2,http://blocgame.com/stats.php?id=62827,,
Ken no Taiyou,Hikari,The Order,66k active personnel,10 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 5 hours ago,13 Hundred Tons per month,33 Mbbl per month,Mixed Economy,$4137 million,1789 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,32399 km 2,http://blocgame.com/stats.php?id=64029,,
Tanah Malaya,Syahmi1089,PIRATES,70k active personnel,9 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 13 hours ago,15 Hundred Tons per month,9 Mbbl per month,Free Market,$4136 million,1224 Mbbl,Untapped,Very Powerful,Arabia,United States,21409 km 2,http://blocgame.com/stats.php?id=60385,,
Honduras,Inferno666,Pact of Red October,22k active personnel,3 ships,Korean War surplus,Angelic,3 factories,Elite,last online 25 hours ago,28 Hundred Tons per month,13 Mbbl per month,Central Planning,$4124 million,111 Mbbl; 13 Mbbl,Untapped,None,Mesoamerica,Soviet Union,42822 km 2,http://blocgame.com/stats.php?id=60291,,
Asians,bigyihsuan,The Order,97k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Standard,last online 1 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$4091 million,77 Mbbl; 5 Mbbl,Plentiful,Mediocre,Pacific Rim,United States,7452 km 2,http://blocgame.com/stats.php?id=41551,,
Crimea,Hayro Khan,The Order,98k active personnel,5 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 6 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$4063 million,4189 Mbbl; 12 Mbbl,Untapped,Very Powerful,Atlas,Soviet Union,31017 km 2,http://blocgame.com/stats.php?id=2570,,
Ivalice,Nighthawk571,Interpol,74k active personnel,3 ships,Vietnam War surplus,Angelic,5 factories,Elite,last online 7 hours ago,36 Hundred Tons per month,28 Mbbl per month,Central Planning,$4056 million,2470 Mbbl; 28 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,49746 km 2,http://blocgame.com/stats.php?id=63060,,
Salama�a,Bacardi,The Order,71k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 35 hours ago,23 Hundred Tons per month,8 Mbbl per month,Central Planning,$4044 million,,Untapped,Large,Southern Cone,Soviet Union,30408 km 2,http://blocgame.com/stats.php?id=63383,,1 Tons
Zanyslavia,Zany Animal,The Order,58k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,27 Hundred Tons per month,13 Mbbl per month,Central Planning,$4030 million,2297 Mbbl; 13 Mbbl,Plentiful,Large,Persia,Soviet Union,27310 km 2,http://blocgame.com/stats.php?id=41452,,
Mirah,Filzah,The Order,5k active personnel,14 ships,Korean War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 3 hours ago,26 Hundred Tons per month,12 Mbbl per month,Central Planning,$3969 million,140 Mbbl; 12 Mbbl,Untapped,Very Powerful,China,Soviet Union,28227 km 2,http://blocgame.com/stats.php?id=64191,,
Harezland,Adam harez,The Order,19k active personnel,3 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$3963 million,19 Mbbl; 10 Mbbl,Depleted,Large,Pacific Rim,Neutral,15007 km 2,http://blocgame.com/stats.php?id=60587,,
Psilocybis,Lysergix,Brotherhood of Nod,40k active personnel,9 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 9 hours ago,15 Hundred Tons per month,9 Mbbl per month,Central Planning,$3931 million,4727 Mbbl; 9 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62795,,
Puerto Libre,Jose Ramon Rodriguez III,The Federal Colonies,78k active personnel,8 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 15 hours ago,20 Hundred Tons per month,13 Mbbl per month,Free Market,$3925 million,49 Mbbl,Untapped,Very Powerful,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=61883,,1 Tons
whitmanistan,slim,The Order,130k active personnel,11 ships,Vietnam War surplus,Gandhi-like,6 factories,Good,last online 15 hours ago,18 Hundred Tons per month,10 Mbbl per month,Free Market,$3881 million,6673 Mbbl; 10 Mbbl,Untapped,Powerful,Mesopotamia,United States,62438 km 2,http://blocgame.com/stats.php?id=36344,,
Junovia,dontworryaboutit,Interpol,76k active personnel,9 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 120 hours ago,24 Hundred Tons per month,7 Mbbl per month,Free Market,$3877 million,122 Mbbl; 7 Mbbl,Untapped,Powerful,Pacific Rim,Neutral,20884 km 2,http://blocgame.com/stats.php?id=63088,,
Kilij,Yatagan,The Order,99k active personnel,10 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,25 Hundred Tons per month,15 Mbbl per month,Free Market,$3867 million,4823 Mbbl; 15 Mbbl,Untapped,Large,Mesopotamia,Neutral,26660 km 2,http://blocgame.com/stats.php?id=63687,,
Aryana,Williarsk,PIRATES,35k active personnel,5 ships,Second World War surplus,Axis of Evil,2 factories,Elite,last online 2 hours ago,32 Hundred Tons per month,3 Mbbl per month,Central Planning,$3854 million,102 Mbbl; 3 Mbbl,,Very Powerful,Gran Colombia,Soviet Union,26875 km 2,http://blocgame.com/stats.php?id=2313,,
Giant Mechs,OiledDNA,The Order,80k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 6 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$3852 million,347 Mbbl; 5 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,25790 km 2,http://blocgame.com/stats.php?id=60735,,
Alamo,linksith,SPQR,20k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 13 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$3819 million,4143 Mbbl,Untapped,Powerful,Mesopotamia,United States,15670 km 2,http://blocgame.com/stats.php?id=40536,,
Deagle Nation!,Jace Connors,Brotherhood of Nod,148k active personnel,7 ships,Korean War surplus,Gandhi-like,8 factories,Standard,last online 7 hours ago,35 Hundred Tons per month,42 Mbbl per month,Central Planning,$3781 million,3930 Mbbl; 42 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,63202 km 2,http://blocgame.com/stats.php?id=63100,,
Eleuthera,Gamb,Dictators United,58k active personnel,1 ships,Korean War surplus,Isolated,4 factories,Elite,online now,29 Hundred Tons per month,17 Mbbl per month,Central Planning,$3760 million,17 Mbbl,Plentiful,Very Powerful,Caribbean,Soviet Union,23662 km 2,http://blocgame.com/stats.php?id=63029,,
Skekenhouse,Kraast,The Order,104k active personnel,7 ships,Korean War surplus,Gandhi-like,5 factories,Standard,last online 3 hours ago,50 Hundred Tons per month,41 Mbbl per month,Central Planning,$3755 million,5114 Mbbl; 41 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,69477 km 2,http://blocgame.com/stats.php?id=62962,,
Opallia,Opal,The Order,114k active personnel,11 ships,Korean War surplus,Questionable,3 factories,Good,online now,37 Hundred Tons per month,6 Mbbl per month,Free Market,$3742 million,291 Mbbl,Untapped,Large,Mesoamerica,United States,50060 km 2,http://blocgame.com/stats.php?id=63666,,1 Tons
Violent Vegans,SnakeBombs,Interpol,112k active personnel,6 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 3 hours ago,43 Hundred Tons per month,18 Mbbl per month,Mixed Economy,$3721 million,5560 Mbbl; 18 Mbbl,Untapped,Very Powerful,Atlas,Soviet Union,49738 km 2,http://blocgame.com/stats.php?id=48869,,
Pan-demo-nium,Raja,The Order,89k active personnel,8 ships,Second World War surplus,Nice,6 factories,Standard,online now,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$3719 million,190 Mbbl; 2 Mbbl,Plentiful,Large,The Subcontinent,Soviet Union,26676 km 2,http://blocgame.com/stats.php?id=63195,,
DFWEFWEF,dmc5,Interpol,75k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$3699 million,6861 Mbbl; 6 Mbbl,Plentiful,Large,Arabia,Soviet Union,55123 km 2,http://blocgame.com/stats.php?id=55118,,
Tamil Kingdom,Chola I,The Order,228k active personnel,20 ships,Almost Modern,Gandhi-like,7 factories,Standard,last online 1 hours ago,50 Hundred Tons per month,7 Mbbl per month,Central Planning,$3697 million,1166 Mbbl; 7 Mbbl,Plentiful,Powerful,The Subcontinent,Soviet Union,77341 km 2,http://blocgame.com/stats.php?id=60964,,
Eisen,Balthazaar,The Order,86k active personnel,9 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 5 hours ago,28 Hundred Tons per month,11 Mbbl per month,Central Planning,$3675 million,129 Mbbl; 11 Mbbl,Untapped,Very Powerful,China,Soviet Union,67840 km 2,http://blocgame.com/stats.php?id=53566,,
