country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,last online 15 hours ago,4 Hundred Tons per month,57 Mbbl per month,Free Market,$1280 million,5169 Mbbl,Untapped,Somewhat Large,1 Tons,Mesopotamia,United States,38547 km 2,http://blocgame.com/stats.php?id=61626
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,17 Hundred Tons per month,2 Mbbl per month,Central Planning,$1223 million,406 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,13 Hundred Tons per month,13 Mbbl per month,Mixed Economy,$982 million,3726 Mbbl; 13 Mbbl,Untapped,Small,,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905
Kritch,Zorn,Brotherhood of Nod,74k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 8 hours ago,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$973 million,612 Mbbl; 3 Mbbl,Plentiful,Small,,The Subcontinent,Soviet Union,38312 km 2,http://blocgame.com/stats.php?id=63155
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Standard,online now,17 Hundred Tons per month,2 Mbbl per month,Central Planning,$957 million,208 Mbbl; 2 Mbbl,Untapped,Meagre,,Pacific Rim,Soviet Union,37416 km 2,http://blocgame.com/stats.php?id=63083
South Uganda,Dr. Idi Amin,Brotherhood of Zion,53k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,23 Hundred Tons per month,4 Mbbl per month,Central Planning,$913 million,484 Mbbl; 4 Mbbl,Untapped,Somewhat Large,,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128
bakhang,cukobi,The Order,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 1 hours ago,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$927 million,1451 Mbbl; 6 Mbbl,Untapped,Mediocre,,Atlas,Neutral,40085 km 2,http://blocgame.com/stats.php?id=60485
Derse Moon,Jack Noir,The Order,38k active personnel,8 ships,Second World War surplus,Good,5 factories,Elite,online now,40 Hundred Tons per month,40 Mbbl per month,Free Market,$896 million,21417 Mbbl,Untapped,Very Powerful,,Egypt,United States,60501 km 2,http://blocgame.com/stats.php?id=62965
Platypus Island,Mark0Polo,SPQR,51k active personnel,0 ships,First World War surplus,Angelic,2 factories,Elite,last online 1 hours ago,12 Hundred Tons per month,9 Mbbl per month,Central Planning,$932 million,797 Mbbl; 9 Mbbl,Untapped,Mediocre,,Indochina,Soviet Union,23982 km 2,http://blocgame.com/stats.php?id=63909
ZAMENTA,ShAh FAr HAn,The Order,68k active personnel,1 ships,First World War surplus,Nice,2 factories,Standard,last online 5 hours ago,9 Hundred Tons per month,7 Mbbl per month,Central Planning,$851 million,359 Mbbl; 7 Mbbl,,Mediocre,,Pacific Rim,Soviet Union,39122 km 2,http://blocgame.com/stats.php?id=61998
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$860 million,128 Mbbl; 3 Mbbl,Untapped,Small,,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 23 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$863 million,4453 Mbbl,Untapped,Somewhat Large,,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 10 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$885 million,4 Mbbl,Untapped,None,,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426
Conferan,Cryptox,The High Council,79k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$827 million,557 Mbbl,Untapped,Large,,East Indies,Soviet Union,37659 km 2,http://blocgame.com/stats.php?id=56710
Asians,bigyihsuan,The High Council,31k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 21 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$863 million,378 Mbbl; 2 Mbbl,Plentiful,None,,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551
Markovia,RDM HC,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$836 million,462 Mbbl; 4 Mbbl,Untapped,Mediocre,,Caribbean,United States,35854 km 2,http://blocgame.com/stats.php?id=58369
Savannah,Watersfall,The United Nations,78k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$814 million,57 Mbbl,Plentiful,Small,,Pacific Rim,Soviet Union,34261 km 2,http://blocgame.com/stats.php?id=49817
Memiaya,MrRoth,Che Guevara League,44k active personnel,0 ships,Second World War surplus,Normal,1 factory,Good,online now,18 Hundred Tons per month,3 Mbbl per month,Central Planning,$820 million,562 Mbbl; 3 Mbbl,Untapped,Large,1 Tons,Caribbean,Soviet Union,45699 km 2,http://blocgame.com/stats.php?id=62980
Cirno,jc99,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$829 million,304 Mbbl,Untapped,Small,,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375
Asiana,El_Xanatos,The High Council,37k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 2 hours ago,18 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$809 million,22 Mbbl; 2 Mbbl,Plentiful,Small,,Indochina,United States,38887 km 2,http://blocgame.com/stats.php?id=62221
Uzbekistanstan,Shaikh Zayer,The Order,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,20 Hundred Tons per month,3 Mbbl per month,Free Market,$814 million,542 Mbbl,Plentiful,Mediocre,,Congo,United States,36651 km 2,http://blocgame.com/stats.php?id=47207
Cyleia,Silas Adar,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,6 Hundred Tons per month,5 Mbbl per month,Free Market,$830 million,590 Mbbl; 5 Mbbl,Untapped,Somewhat Large,,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784
Ambon,Chalkface,The Order,43k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$793 million,509 Mbbl; 5 Mbbl,,Small,,Pacific Rim,Soviet Union,35612 km 2,http://blocgame.com/stats.php?id=42744
LOCAI,Agumentic,Brotherhood of Zion,23k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$812 million,218 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Good,last online 10 hours ago,13 Hundred Tons per month,3 Mbbl per month,Central Planning,$841 million,2204 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,13517 km 2,http://blocgame.com/stats.php?id=1421
Irondale,Roger Red,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 168 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$837 million,2789 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=63209
Communistutopia,Bill Broskis,The Order,41k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$793 million,4830 Mbbl; 5 Mbbl,Untapped,Small,,Persia,Soviet Union,32240 km 2,http://blocgame.com/stats.php?id=49796
Ivalice,Nighthawk571,Interpol,39k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,11 Hundred Tons per month,9 Mbbl per month,Central Planning,$801 million,2419 Mbbl; 9 Mbbl,Untapped,Small,,Arabia,Soviet Union,33781 km 2,http://blocgame.com/stats.php?id=63060
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 11 hours ago,7 Hundred Tons per month,7 Mbbl per month,Central Planning,$800 million,941 Mbbl; 7 Mbbl,Untapped,Somewhat Large,,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$793 million,285 Mbbl; 3 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268
temasik,lawrence,,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$813 million,2 Mbbl,Untapped,Small,,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827
PasirDuaButir,Col. von Strauffenberg,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Good,last online 170 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$812 million,92 Mbbl,Untapped,Meagre,,East Indies,Neutral,22232 km 2,http://blocgame.com/stats.php?id=60754
Europea,AugustReed,SPQR,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 174 hours ago,4 Hundred Tons per month,3 Mbbl per month,Free Market,$803 million,2029 Mbbl,Untapped,Meagre,,Arabia,Neutral,13343 km 2,http://blocgame.com/stats.php?id=59848
VinnyNation,VinnyRuler,Brotherhood of Zion,22k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 3 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$804 million,371 Mbbl; 4 Mbbl,Untapped,None,,Congo,Soviet Union,25259 km 2,http://blocgame.com/stats.php?id=62972
Lyranistan,Lyranistan,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,20 Hundred Tons per month,12 Mbbl per month,Central Planning,$766 million,2737 Mbbl; 12 Mbbl,Untapped,Large,,Mesopotamia,Soviet Union,39228 km 2,http://blocgame.com/stats.php?id=56860
Mzab,Cuma Thurman,Brotherhood of Zion,50k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,online now,11 Hundred Tons per month,8 Mbbl per month,Central Planning,$766 million,4584 Mbbl; 8 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,34609 km 2,http://blocgame.com/stats.php?id=63775
Texastan,Rebel Lord,Interpol,41k active personnel,0 ships,Second World War surplus,Angelic,2 factories,Standard,last online 11 hours ago,19 Hundred Tons per month,20 Mbbl per month,Central Planning,$757 million,3749 Mbbl; 20 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,38755 km 2,http://blocgame.com/stats.php?id=58149
Valtania,Kelvin D. Makumbi,Che Guevara League,76k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$774 million,270 Mbbl; 5 Mbbl,Untapped,Mediocre,,Mesoamerica,Soviet Union,27676 km 2,http://blocgame.com/stats.php?id=62525
Jebawka,Shetay,The Order,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,8 Hundred Tons per month,9 Mbbl per month,Free Market,$772 million,2059 Mbbl,Untapped,Meagre,,Arabia,United States,20165 km 2,http://blocgame.com/stats.php?id=54304
The NLR,Darknight,Divine League,54k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,33 Hundred Tons per month,2 Mbbl per month,Central Planning,$744 million,129 Mbbl; 2 Mbbl,Untapped,Mediocre,,Congo,Soviet Union,38743 km 2,http://blocgame.com/stats.php?id=49701
Bendover,Mike Hawk,Farmington Brigade,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$757 million,229 Mbbl; 1 Mbbl,Depleted,None,,East Indies,Soviet Union,16006 km 2,http://blocgame.com/stats.php?id=62897
Zuyazayuza,Zuyazayuza,Brotherhood of Zion,73k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,16 Hundred Tons per month,2 Mbbl per month,Free Market,$737 million,340 Mbbl,Untapped,Mediocre,,Caribbean,United States,41120 km 2,http://blocgame.com/stats.php?id=62470
Hajoki,Makao,The Khilafah,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 48 hours ago,3 Hundred Tons per month,9 Mbbl per month,Free Market,$763 million,1589 Mbbl,Plentiful,None,,Atlas,Soviet Union,11346 km 2,http://blocgame.com/stats.php?id=60093
Kyranistan,Michael Hussain,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,8 Hundred Tons per month,8 Mbbl per month,Central Planning,$751 million,8696 Mbbl; 8 Mbbl,Untapped,Somewhat Large,,Persia,Soviet Union,32140 km 2,http://blocgame.com/stats.php?id=61263
Biji Kurdistan,Myron2point0,Comintern,39k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 8 hours ago,8 Hundred Tons per month,9 Mbbl per month,Central Planning,$774 million,3349 Mbbl; 9 Mbbl,Untapped,Large,,Mesopotamia,Soviet Union,20448 km 2,http://blocgame.com/stats.php?id=52906
Robots,stormbot28,Interpol,56k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,8 Hundred Tons per month,,Free Market,$748 million,,Untapped,Mediocre,,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242
Pooland,kurwa,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,15 Hundred Tons per month,9 Mbbl per month,Central Planning,$724 million,2392 Mbbl; 9 Mbbl,Untapped,Somewhat Large,,Atlas,Soviet Union,39790 km 2,http://blocgame.com/stats.php?id=49295
Krasnyyikistan,JohnTheGreat,Comintern,48k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,7 Hundred Tons per month,10 Mbbl per month,Central Planning,$738 million,3892 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,26091 km 2,http://blocgame.com/stats.php?id=50209
Hansetica,Svan,The Order,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 48 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$742 million,37 Mbbl; 4 Mbbl,Untapped,None,,China,Neutral,26686 km 2,http://blocgame.com/stats.php?id=63390
Tyanra,SaffronMerchant,SPQR,32k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 2 hours ago,14 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$731 million,1212 Mbbl; 2 Mbbl,Untapped,Small,,The Subcontinent,Soviet Union,33183 km 2,http://blocgame.com/stats.php?id=60365
Crybabia,MangyWoodpecker,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 165 hours ago,2 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$748 million,1919 Mbbl; 3 Mbbl,Untapped,None,,Persia,United States,11120 km 2,http://blocgame.com/stats.php?id=44880
Fumakila,ahjibgor,Brotherhood of Nod,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 168 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$744 million,305 Mbbl,Untapped,None,,East Indies,United States,16335 km 2,http://blocgame.com/stats.php?id=62139
Yummy Foods,iiruka,Interpol,79k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,27 Hundred Tons per month,1 Mbbl per month,Free Market,$699 million,87 Mbbl,Plentiful,Somewhat Large,,Pacific Rim,United States,36361 km 2,http://blocgame.com/stats.php?id=54376
Newsoka,E Mark,The High Council,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$755 million,292 Mbbl,Untapped,Meagre,,Indochina,United States,19186 km 2,http://blocgame.com/stats.php?id=63105
Fongelesia,Fong,,39k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,13 Hundred Tons per month,3 Mbbl per month,Free Market,$724 million,430 Mbbl,Untapped,Small,,Pacific Rim,United States,24351 km 2,http://blocgame.com/stats.php?id=63041
Surakistahn,Harry Drewer,,3k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 12 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$747 million,1982 Mbbl,Untapped,Meagre,,Mesopotamia,Neutral,11119 km 2,http://blocgame.com/stats.php?id=46090
Ausmasia,Harzan15,,10k active personnel,0 ships,First World War surplus,Good,None,Good,last online 2 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$747 million,140 Mbbl; 2 Mbbl,Untapped,Mediocre,,Indochina,Soviet Union,11009 km 2,http://blocgame.com/stats.php?id=61817
Cameronia,Cameron Saxonson,Che Guevara League,22k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$731 million,514 Mbbl; 6 Mbbl,Untapped,None,,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688
Argon,Argus,Interpol,34k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,20 Hundred Tons per month,21 Mbbl per month,Central Planning,$695 million,2721 Mbbl; 21 Mbbl,Untapped,Mediocre,,Atlas,Soviet Union,39235 km 2,http://blocgame.com/stats.php?id=57323
Sepidajistan,Shah Squid,Al-Qassam Brigades,19k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$726 million,3802 Mbbl; 3 Mbbl,,Meagre,,Atlas,Soviet Union,15693 km 2,http://blocgame.com/stats.php?id=59462
Glubistan,Glub,SPQR,27k active personnel,0 ships,First World War surplus,Angelic,None,Poor,last online 2 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$713 million,1697 Mbbl; 7 Mbbl,Untapped,Meagre,,Arabia,Neutral,22469 km 2,http://blocgame.com/stats.php?id=63027
Leinad,bloodywaffles12,The United Nations,19k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 3 hours ago,8 Hundred Tons per month,3 Mbbl per month,Central Planning,$713 million,154 Mbbl; 3 Mbbl,Untapped,Small,,China,Soviet Union,20512 km 2,http://blocgame.com/stats.php?id=59332
Spooktune,Spookwave,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$694 million,468 Mbbl; 4 Mbbl,Untapped,Mediocre,,China,Soviet Union,33957 km 2,http://blocgame.com/stats.php?id=62983
FreakTopia,Remington Steel,The Order,50k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,23 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$686 million,826 Mbbl,Plentiful,Small,,The Subcontinent,United States,38924 km 2,http://blocgame.com/stats.php?id=45527
Khuzestan,Georgy Zhukov,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$688 million,2605 Mbbl; 6 Mbbl,Untapped,Mediocre,,Persia,Soviet Union,36081 km 2,http://blocgame.com/stats.php?id=48914
Almania,Almanich,Brotherhood of Nod,47k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,2 Hundred Tons per month,,Central Planning,$681 million,50 Mbbl,Untapped,Meagre,,China,Soviet Union,37455 km 2,http://blocgame.com/stats.php?id=51725
constania,Comrade,Divine League,35k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,8 Hundred Tons per month,3 Mbbl per month,Central Planning,$712 million,245 Mbbl; 3 Mbbl,,Mediocre,,Congo,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62606
Contra Mundi,Johnny,Brotherhood of Nod,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 143 hours ago,9 Hundred Tons per month,7 Mbbl per month,Central Planning,$723 million,3585 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,24625 km 2,http://blocgame.com/stats.php?id=62976
Tyrantia,Malakal,The High Council,64k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,online now,23 Hundred Tons per month,13 Mbbl per month,Central Planning,$677 million,5449 Mbbl; 13 Mbbl,Untapped,Powerful,,Arabia,Soviet Union,42075 km 2,http://blocgame.com/stats.php?id=40238
the Haunted,thedrunkenarchitect,Brotherhood of Zion,33k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 1 hours ago,17 Hundred Tons per month,4 Mbbl per month,Central Planning,$686 million,365 Mbbl; 4 Mbbl,Untapped,Somewhat Large,,Southern Africa,Soviet Union,32253 km 2,http://blocgame.com/stats.php?id=63020
Deklain,Otis,The High Council,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 15 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$688 million,173 Mbbl; 3 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066
OnlyJuanOvue,BigGuyBane,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 142 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$723 million,1566 Mbbl,Untapped,None,,Arabia,Soviet Union,11120 km 2,http://blocgame.com/stats.php?id=52889
United-Muslims,Karim,SPQR,7k active personnel,0 ships,First World War surplus,Nice,None,Poor,last online 22 hours ago,2 Hundred Tons per month,,Free Market,$715 million,,Untapped,None,,Mesopotamia,United States,11120 km 2,http://blocgame.com/stats.php?id=61674
Tandak,jimmyyus,PIRATES,21k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,7 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$713 million,5299 Mbbl; 6 Mbbl,Untapped,Mediocre,,Egypt,United States,21892 km 2,http://blocgame.com/stats.php?id=62201
Lorigan,Lorigan,The High Council,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 5 hours ago,9 Hundred Tons per month,8 Mbbl per month,Central Planning,$705 million,390 Mbbl; 8 Mbbl,Untapped,Mediocre,,Amazonia,Soviet Union,34365 km 2,http://blocgame.com/stats.php?id=59787
Mesopotamia,Arcturus,The Order,59k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,10 Hundred Tons per month,6 Mbbl per month,Free Market,$678 million,1748 Mbbl,Plentiful,Mediocre,,Mesopotamia,United States,33329 km 2,http://blocgame.com/stats.php?id=42045
Jemut,iwaniman/Ferozz,PIRATES,74k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 5 hours ago,13 Hundred Tons per month,11 Mbbl per month,Central Planning,$682 million,296 Mbbl; 11 Mbbl,Untapped,Mediocre,,East Indies,Soviet Union,33776 km 2,http://blocgame.com/stats.php?id=61811
Tanah Malaya,Syahmi1089,PIRATES,50k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,last online 3 hours ago,7 Hundred Tons per month,8 Mbbl per month,Free Market,$687 million,1686 Mbbl,,Large,,Arabia,United States,24599 km 2,http://blocgame.com/stats.php?id=60385
mani,mani,SPQR,9k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 10 hours ago,8 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$711 million,451 Mbbl,Untapped,Meagre,,Persia,Neutral,11139 km 2,http://blocgame.com/stats.php?id=62912
Eisen,Balthazaar,The Order,40k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,13 Hundred Tons per month,7 Mbbl per month,Central Planning,$660 million,357 Mbbl; 7 Mbbl,Plentiful,Large,,China,Soviet Union,43454 km 2,http://blocgame.com/stats.php?id=53566
Gobi,Saint Gobi,Brotherhood of Zion,33k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 9 hours ago,10 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$689 million,391 Mbbl,Plentiful,Small,,Congo,United States,22682 km 2,http://blocgame.com/stats.php?id=61919
Zinlandia,Alaah,Che Guevara League,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$662 million,65 Mbbl,Untapped,Mediocre,,Amazonia,Soviet Union,36149 km 2,http://blocgame.com/stats.php?id=45831
North Nubia,Sean Tony,The United Nations,23k active personnel,0 ships,First World War surplus,Angelic,1 factory,Undisciplined Rabble,last online 1 hours ago,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$700 million,254 Mbbl; 2 Mbbl,Plentiful,Meagre,,Congo,Soviet Union,20097 km 2,http://blocgame.com/stats.php?id=63084
FlySoGood,ycheez,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 10 hours ago,15 Hundred Tons per month,11 Mbbl per month,Free Market,$660 million,2567 Mbbl,Untapped,Small,,Atlas,United States,36217 km 2,http://blocgame.com/stats.php?id=54541
Zeon Alliance,Char Aznable,The High Council,40k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,7 Hundred Tons per month,7 Mbbl per month,Free Market,$682 million,61 Mbbl; 7 Mbbl,Untapped,Large,,Pacific Rim,United States,29079 km 2,http://blocgame.com/stats.php?id=62248
kurdastan,stax,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 1 hours ago,20 Hundred Tons per month,15 Mbbl per month,Central Planning,$655 million,3580 Mbbl; 15 Mbbl,Untapped,Meagre,,Persia,Soviet Union,34497 km 2,http://blocgame.com/stats.php?id=44907
Sovngarde,Farron47,The High Council,47k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,9 Hundred Tons per month,3 Mbbl per month,Central Planning,$657 million,171 Mbbl; 3 Mbbl,Untapped,Large,,East Indies,Soviet Union,32986 km 2,http://blocgame.com/stats.php?id=62626
Rhod3sia,FreeMindInside,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 2 hours ago,16 Hundred Tons per month,2 Mbbl per month,Central Planning,$666 million,249 Mbbl; 2 Mbbl,Untapped,Meagre,,Southern Africa,Soviet Union,33256 km 2,http://blocgame.com/stats.php?id=52679
