country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
JucheBox,Lunin,SPQR,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 142 hours ago,8 Hundred Tons per month,1 Mbbl per month,Central Planning,$421 million,440 Mbbl; 1 Mbbl,Untapped,None,,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=56203
Selayang,mhmz89,PIRATES,32k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 103 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$426 million,447 Mbbl; 1 Mbbl,Untapped,Meagre,,East Indies,Neutral,19604 km 2,http://blocgame.com/stats.php?id=60642
Zetland,a sticky heresy,,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 158 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$425 million,1 Mbbl,Untapped,None,,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=44930
Free Trade,InfernoVortex,Interpol,39k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 105 hours ago,5 Hundred Tons per month,,Mixed Economy,$432 million,,Untapped,Mediocre,,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=55017
johoreansouth,afiqaffendy615,PIRATES,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$422 million,71 Mbbl; 3 Mbbl,Untapped,None,,The Subcontinent,Soviet Union,25638 km 2,http://blocgame.com/stats.php?id=61895
Thimerica,Focus,Che Guevara League,34k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 27 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$417 million,122 Mbbl; 2 Mbbl,Untapped,None,,Gran Colombia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62883
P00P,Poop is Taken,,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 3 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$413 million,252 Mbbl; 1 Mbbl,Untapped,None,,East Indies,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62993
Rare_Pepes,Karl_M.,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 13 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$403 million,255 Mbbl; 2 Mbbl,Untapped,Mediocre,,Guinea,United States,27493 km 2,http://blocgame.com/stats.php?id=63313
Farsland,Kyrre Aleisun,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 18 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$441 million,3066 Mbbl; 2 Mbbl,Untapped,None,,Persia,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=63782
Piratini,Sire Lorenz,,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 165 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$426 million,,Untapped,None,,Southern Cone,Neutral,16335 km 2,http://blocgame.com/stats.php?id=55891
