country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,137k active personnel,9 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 1 hours ago,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$7558 million,267 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,59k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,online now,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$7235 million,9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Conferan,Cryptox,The Order,219k active personnel,14 ships,Vietnam War surplus,Gandhi-like,6 factories,Good,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$6396 million,262 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,82521 km 2,http://blocgame.com/stats.php?id=56710,,
Platypus Island,Mark0Polo,SPQR,9k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 106 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$6087 million,21 Mbbl,Untapped,Meagre,Indochina,Soviet Union,46845 km 2,http://blocgame.com/stats.php?id=63909,,
TheDarkSide,LordVader,Misanthropics,100k active personnel,11 ships,Almost Modern,Good,5 factories,Undisciplined Rabble,online now,24 Hundred Tons per month,4 Mbbl per month,Central Planning,$6021 million,360 Mbbl; 4 Mbbl,Untapped,Very Powerful,East Indies,Neutral,51227 km 2,http://blocgame.com/stats.php?id=63139,,
Shambala,Feranon,Brotherhood of Nod,98k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$6012 million,453 Mbbl; 5 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 8 hours ago,12 Hundred Tons per month,8 Mbbl per month,Free Market,$5803 million,329 Mbbl; 8 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Sovngarde,Farron47,The Order,0k active personnel,15 ships,Korean War surplus,Axis of Evil,3 factories,Undisciplined Rabble,last online 17 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$5794 million,182 Mbbl; 8 Mbbl,Untapped,Powerful,East Indies,Soviet Union,34863 km 2,http://blocgame.com/stats.php?id=62626,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Elite,online now,40 Hundred Tons per month,,Free Market,$5607 million,,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,6 Tons
Aminichina,doublepedaldylan,The Order,53k active personnel,5 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 34 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$5489 million,885 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,35803 km 2,http://blocgame.com/stats.php?id=56720,,
Morovistan,Gustave Bergher,SPQR,8k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 14 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$5467 million,4583 Mbbl; 19 Mbbl,Depleted,Very Powerful,Mesopotamia,Soviet Union,28835 km 2,http://blocgame.com/stats.php?id=62905,,
Tamarlania,Vagrant,The Order,143k active personnel,52 ships,Korean War surplus,Angelic,8 factories,Elite,last online 1 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$5255 million,1677 Mbbl,Untapped,Powerful,Mesopotamia,United States,63983 km 2,http://blocgame.com/stats.php?id=61626,5%,
Coccoladia,Ernesto Caprone,The Federal Colonies,79k active personnel,9 ships,Korean War surplus,Gandhi-like,4 factories,Poor,last online 12 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$5228 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
