country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,145k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Standard,online now,26 Hundred Tons per month,21 Mbbl per month,Central Planning,$2016 million,615 Mbbl; 21 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tamarlania,Vagrant,The High Council,219k active personnel,1 ships,First World War surplus,Gandhi-like,5 factories,Standard,last online 1 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1916 million,4624 Mbbl,Untapped,Powerful,Mesopotamia,United States,43375 km 2,http://blocgame.com/stats.php?id=61626,5%,
Tuonela,Beelzebub,The Order,58k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$1854 million,370 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Kyranistan,Michael Hussain,Comintern,46k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 4 hours ago,11 Hundred Tons per month,8 Mbbl per month,Central Planning,$1835 million,6009 Mbbl; 8 Mbbl,Depleted,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,17 Hundred Tons per month,13 Mbbl per month,Central Planning,$1789 million,3479 Mbbl; 13 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Jebawka,Shetay,The Order,86k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 6 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1738 million,3191 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,9 Mbbl per month,Central Planning,$1703 million,6684 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
Feffiopia,Serloks,The High Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,20 Hundred Tons per month,6 Mbbl per month,Central Planning,$1673 million,149 Mbbl,Near Depletion,Somewhat Large,The Subcontinent,Soviet Union,24983 km 2,http://blocgame.com/stats.php?id=46505,,
Femtonesia,1101,Comintern,60k active personnel,0 ships,First World War surplus,Good,2 factories,Good,online now,40 Hundred Tons per month,5 Mbbl per month,Central Planning,$1624 million,145 Mbbl; 5 Mbbl,Depleted,Mediocre,Pacific Rim,Soviet Union,38538 km 2,http://blocgame.com/stats.php?id=63083,,
Sovngarde,Farron47,The High Council,44k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 3 hours ago,18 Hundred Tons per month,5 Mbbl per month,Central Planning,$1606 million,606 Mbbl; 5 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,40749 km 2,http://blocgame.com/stats.php?id=62626,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1581 million,4349 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
constania,Comrade,The High Council,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1553 million,147 Mbbl; 6 Mbbl,Untapped,Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Morjei,FlairWoW,The High Council,74k active personnel,0 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,26 Hundred Tons per month,3 Mbbl per month,Central Planning,$1546 million,101 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,,
temasik,lawrence,SPQR,37k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 17 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$1525 million,547 Mbbl; 2 Mbbl,Near Depletion,Mediocre,East Indies,United States,15933 km 2,http://blocgame.com/stats.php?id=62827,,
Asians,bigyihsuan,The High Council,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 3 hours ago,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$1501 million,342 Mbbl; 4 Mbbl,Untapped,Small,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Good,last online 1 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1500 million,299 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Uzbekistanstan,Shaikh Zayer,The Order,59k active personnel,0 ships,Second World War surplus,Angelic,2 factories,Elite,last online 4 hours ago,39 Hundred Tons per month,5 Mbbl per month,Free Market,$1496 million,474 Mbbl,Untapped,Mediocre,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1490 million,3594 Mbbl; 10 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,,1 Tons
North Nubia,Sean Tony,N.S.D.A.P,119k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,28 Hundred Tons per month,10 Mbbl per month,Central Planning,$1489 million,138 Mbbl; 10 Mbbl,Untapped,Mediocre,Congo,Soviet Union,25249 km 2,http://blocgame.com/stats.php?id=63084,,
Shambala,Feranon,Brotherhood of Nod,40k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Elite,online now,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1468 million,205 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,,1 Tons
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,9 Hundred Tons per month,4 Mbbl per month,Free Market,$1467 million,411 Mbbl; 4 Mbbl,Untapped,Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Sintra,Daniel Lima,The Order,77k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,14 Hundred Tons per month,8 Mbbl per month,Central Planning,$1462 million,339 Mbbl; 8 Mbbl,Near Depletion,Mediocre,Caribbean,Soviet Union,32286 km 2,http://blocgame.com/stats.php?id=63167,,
Cyleia,Silas Adar,The Order,46k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 32 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$1453 million,492 Mbbl; 6 Mbbl,,Mediocre,Mesoamerica,United States,28333 km 2,http://blocgame.com/stats.php?id=62784,,
Cirno,jc99,The Federal Colonies,118k active personnel,3 ships,First World War surplus,Gandhi-like,4 factories,Standard,last online 4 hours ago,34 Hundred Tons per month,2 Mbbl per month,Free Market,$1438 million,268 Mbbl,,Mediocre,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,,1 Tons
Raja Udang,Mario,PIRATES,40k active personnel,1 ships,Second World War surplus,Angelic,2 factories,Elite,online now,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$1428 million,259 Mbbl; 5 Mbbl,Plentiful,Small,Pacific Rim,Soviet Union,37102 km 2,http://blocgame.com/stats.php?id=61754,,
Ekodebota,tfwqtp2tlgf|;3,The High Council,50k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 3 hours ago,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$1426 million,2643 Mbbl; 13 Mbbl,Untapped,Very Powerful,Atlas,Soviet Union,30805 km 2,http://blocgame.com/stats.php?id=53422,,
Lorigan,Lorigan,The High Council,69k active personnel,0 ships,Second World War surplus,Angelic,2 factories,Good,last online 1 hours ago,17 Hundred Tons per month,8 Mbbl per month,Central Planning,$1423 million,345 Mbbl; 8 Mbbl,Plentiful,Mediocre,Amazonia,Soviet Union,36840 km 2,http://blocgame.com/stats.php?id=59787,,
Glubistan,Glub,SPQR,58k active personnel,0 ships,Second World War surplus,Isolated,2 factories,Standard,last online 6 hours ago,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$1421 million,1832 Mbbl; 13 Mbbl,Plentiful,Somewhat Large,Arabia,Soviet Union,23779 km 2,http://blocgame.com/stats.php?id=63027,,
Sepidajistan,Shah Squid,Al-Qassam Brigades,38k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 20 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$1396 million,3748 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,15382 km 2,http://blocgame.com/stats.php?id=59462,,
