country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
JvYdSlqx,KEkDfZWX,,3k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$323 million,,Untapped,None,Mesopotamia,Neutral,19900 km 2,http://blocgame.com/stats.php?id=66010,,
szbUoWnI,ZEDbpjeJ,,9k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 19 hours ago,2 Hundred Tons per month,,Free Market,$323 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66017,,
McWWxnQE,yXJtbhCi,,1k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$322 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66014,,
wElTnwBX,KIMvUKeQ,,1k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$322 million,,Untapped,None,Mesopotamia,Neutral,19900 km 2,http://blocgame.com/stats.php?id=66015,,
RedHair,RedHairShanks,,73k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 19 hours ago,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$321 million,379 Mbbl; 6 Mbbl,Untapped,Large,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65564,,
Batland,batrisyia100,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 138 hours ago,2 Hundred Tons per month,,Mixed Economy,$321 million,,Untapped,None,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65687,,
Tyronia,Simptom,,14k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 81 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$321 million,453 Mbbl; 4 Mbbl,Untapped,None,Indochina,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=65742,,
Z-pern,Ivorn,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 165 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$321 million,1 Mbbl,Untapped,None,Egypt,Neutral,16367 km 2,http://blocgame.com/stats.php?id=65764,,
Artemicia,Artemicion,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 151 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$321 million,1 Mbbl,Untapped,None,Persia,Neutral,16172 km 2,http://blocgame.com/stats.php?id=65796,,
Umala,ferpnunes,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 4 hours ago,5 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$321 million,2 Mbbl,Untapped,Meagre,Mesoamerica,Soviet Union,20200 km 2,http://blocgame.com/stats.php?id=65920,,
ldubGXYz,DSzcpIsd,,9k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 19 hours ago,2 Hundred Tons per month,,Free Market,$321 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66012,,
qgJgkEGD,crVSKhCm,,9k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 19 hours ago,2 Hundred Tons per month,,Free Market,$321 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66013,,
La Plata,Nenashev,,20k active personnel,0 ships,Finest of the 19th century,Questionable,None,Standard,last online 30 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$320 million,383 Mbbl; 1 Mbbl,Untapped,None,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=40981,,
Soliteria,Master Naziro,,31k active personnel,0 ships,First World War surplus,Questionable,None,Elite,last online 14 hours ago,3 Hundred Tons per month,,Central Planning,$320 million,,Untapped,Meagre,West Africa,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=65940,,
Lexitopia,Mrleixphanic,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 49 hours ago,2 Hundred Tons per month,,Mixed Economy,$320 million,,Untapped,None,West Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65959,,
skrips,haxxor,,20k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 47 hours ago,2 Hundred Tons per month,,Free Market,$320 million,,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65961,,
Heilbronn,Heilbronn,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 47 hours ago,2 Hundred Tons per month,,Mixed Economy,$320 million,181 Mbbl,Untapped,None,Guinea,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65962,,
BASFORD,GRACCHUS,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 43 hours ago,3 Hundred Tons per month,,Mixed Economy,$320 million,,Untapped,None,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65963,,
Tarnation11,terve886,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 41 hours ago,2 Hundred Tons per month,,Free Market,$320 million,,Untapped,None,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65974,,
Cryslar,Isaac Wright,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 40 hours ago,2 Hundred Tons per month,,Central Planning,$320 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65975,,
Pabloropia,fuckingdaisy,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 37 hours ago,2 Hundred Tons per month,,Central Planning,$320 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65976,,
DbxdtauL,dheDQKHM,,1k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 13 hours ago,2 Hundred Tons per month,,Free Market,$320 million,,Untapped,None,Mesopotamia,Neutral,19897 km 2,http://blocgame.com/stats.php?id=66008,,
tongkatali,tenagakuat,,13k active personnel,0 ships,Second World War surplus,Normal,1 factory,Standard,last online 13 hours ago,8 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$319 million,20 Mbbl,Near Depletion,None,East Indies,Neutral,8884 km 2,http://blocgame.com/stats.php?id=64973,,
iyYdyEgh,LJwHShKn,,9k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 12 hours ago,2 Hundred Tons per month,,Free Market,$319 million,,Untapped,None,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=66043,,
Llamatisthan,LlamaUltimatium,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 137 hours ago,2 Hundred Tons per month,,Mixed Economy,$318 million,,Untapped,None,Gran Colombia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=53134,,
Fradda,Lermond,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 165 hours ago,3 Hundred Tons per month,,Mixed Economy,$318 million,,Untapped,None,Gran Colombia,Neutral,12290 km 2,http://blocgame.com/stats.php?id=65411,,
