country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
SuperDuper,Jose Miguel,,28k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Poor,last online 138 hours ago,3 Hundred Tons per month,,Central Planning,$690 million,45 Mbbl,Untapped,Meagre,Mesoamerica,Soviet Union,22189 km 2,http://blocgame.com/stats.php?id=64894,,
Amrans fans,apaiblues83,Celestial Beings�,55k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,16 Hundred Tons per month,9 Mbbl per month,Central Planning,$689 million,67 Mbbl; 9 Mbbl,Untapped,Powerful,Caribbean,Soviet Union,35760 km 2,http://blocgame.com/stats.php?id=62203,,
blanco,finalsolution,The Order,119k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 20 hours ago,22 Hundred Tons per month,8 Mbbl per month,Central Planning,$688 million,5288 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,43715 km 2,http://blocgame.com/stats.php?id=63245,,
Satan kingdom,alistan1987,,4k active personnel,0 ships,First World War surplus,Questionable,None,Undisciplined Rabble,online now,2 Hundred Tons per month,,Mixed Economy,$687 million,,Untapped,None,East Indies,Neutral,1678 km 2,http://blocgame.com/stats.php?id=60809,,
damnbro,mpetersen3,,8k active personnel,0 ships,Finest of the 19th century,Angelic,None,Undisciplined Rabble,last online 1 hours ago,2 Hundred Tons per month,,Mixed Economy,$686 million,,Untapped,None,Southern Africa,Neutral,18029 km 2,http://blocgame.com/stats.php?id=64705,,
Obsrany Chlew,Janusz,The Order,100k active personnel,7 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 4 hours ago,54 Hundred Tons per month,5 Mbbl per month,Free Market,$685 million,24 Mbbl; 5 Mbbl,Untapped,Very Powerful,Caribbean,United States,45953 km 2,http://blocgame.com/stats.php?id=62973,,
BULWELL,TWBBULWELL,The Order,16k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,10 Hundred Tons per month,8 Mbbl per month,Central Planning,$685 million,493 Mbbl,,Mediocre,China,United States,19285 km 2,http://blocgame.com/stats.php?id=64946,,
landoffensive,landoffensive,,5k active personnel,0 ships,First World War surplus,Good,None,Undisciplined Rabble,last online 30 hours ago,2 Hundred Tons per month,,Mixed Economy,$683 million,40 Mbbl,Untapped,Mediocre,China,Neutral,12614 km 2,http://blocgame.com/stats.php?id=64291,,
WHITEPOWER,ilikeike,,9k active personnel,0 ships,First World War surplus,Questionable,1 factory,Undisciplined Rabble,last online 38 hours ago,14 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$682 million,231 Mbbl,Untapped,None,East Africa,Neutral,11124 km 2,http://blocgame.com/stats.php?id=64482,,
Golden Woods,Celeborn002,,4k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 31 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$681 million,1795 Mbbl; 2 Mbbl,Untapped,None,Atlas,Neutral,6455 km 2,http://blocgame.com/stats.php?id=64192,,
nadota,nadota,,18k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 29 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$681 million,2418 Mbbl; 2 Mbbl,Untapped,None,Egypt,United States,20000 km 2,http://blocgame.com/stats.php?id=64838,,
Rufa,Arma Rangel,Che Guevara League,4k active personnel,0 ships,Finest of the 19th century,Good,None,Undisciplined Rabble,last online 130 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$679 million,17 Mbbl; 1 Mbbl,Untapped,None,Mesoamerica,Neutral,16500 km 2,http://blocgame.com/stats.php?id=52950,,
Zimbiosis,Zimbiote,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 12 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$678 million,424 Mbbl; 2 Mbbl,Untapped,None,Southern Cone,United States,20000 km 2,http://blocgame.com/stats.php?id=40417,,
North Oman,WISD0MTREE,Steel Brotherhood,22k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$673 million,3886 Mbbl; 6 Mbbl,Plentiful,Mediocre,Arabia,Soviet Union,20932 km 2,http://blocgame.com/stats.php?id=9620,,
Wessex,Benjamin.H,,25k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 162 hours ago,7 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$670 million,2311 Mbbl,Untapped,None,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64910,,
Rhodesian Front,Henry Everard,,9k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 111 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$669 million,,Untapped,Meagre,Southern Africa,United States,22080 km 2,http://blocgame.com/stats.php?id=65226,,
Weeabo Island,misterjohnson,Interpol,32k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 38 hours ago,8 Hundred Tons per month,9 Mbbl per month,Central Planning,$667 million,3299 Mbbl; 9 Mbbl,Untapped,Large,Persia,Soviet Union,29837 km 2,http://blocgame.com/stats.php?id=64179,,
molo,Klovis,,9k active personnel,0 ships,Finest of the 19th century,Good,None,Undisciplined Rabble,last online 103 hours ago,2 Hundred Tons per month,,Mixed Economy,$666 million,,Untapped,None,Amazonia,Neutral,11367 km 2,http://blocgame.com/stats.php?id=64485,,
Tendong,kijang,,8k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 103 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$665 million,,Untapped,None,Pacific Rim,Neutral,1610 km 2,http://blocgame.com/stats.php?id=62178,,
Darkplace,BlackAngel,,7k active personnel,0 ships,First World War surplus,Normal,None,Standard,last online 8 hours ago,2 Hundred Tons per month,,Free Market,$664 million,,Untapped,None,Arabia,United States,811 km 2,http://blocgame.com/stats.php?id=62234,,
Guiabras,Guilherme Pires,Che Guevara League,1k active personnel,0 ships,First World War surplus,Good,1 factory,Undisciplined Rabble,last online 72 hours ago,1 Hundred Tons per month,,Mixed Economy,$664 million,,Untapped,None,Amazonia,Neutral,13653 km 2,http://blocgame.com/stats.php?id=64091,,
Kalashstan,Kalashstan,,4k active personnel,0 ships,First World War surplus,Nice,None,Poor,last online 30 hours ago,2 Hundred Tons per month,,Mixed Economy,$663 million,,Untapped,None,China,Neutral,13613 km 2,http://blocgame.com/stats.php?id=64289,,
Hussenia,Vilhalm,,4k active personnel,0 ships,First World War surplus,Good,None,Good,last online 103 hours ago,2 Hundred Tons per month,,Mixed Economy,$663 million,,Untapped,None,Gran Colombia,Neutral,10943 km 2,http://blocgame.com/stats.php?id=64528,,
Delos,Damocles,Che Guevara League,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 45 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$662 million,445 Mbbl; 1 Mbbl,Untapped,Meagre,Gran Colombia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63002,,
Radimostan,ondralukas,The Federal Colonies,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 23 hours ago,6 Hundred Tons per month,1 Mbbl per month,Central Planning,$660 million,142 Mbbl; 1 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,19020 km 2,http://blocgame.com/stats.php?id=62926,,
�bermensch,Fegelein,The Order,129k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 17 hours ago,26 Hundred Tons per month,13 Mbbl per month,Free Market,$656 million,3177 Mbbl,Untapped,Mediocre,Atlas,United States,26552 km 2,http://blocgame.com/stats.php?id=52438,,
ZY Kingdoms,ZY1st,The Order,137k active personnel,1 ships,Korean War surplus,Angelic,2 factories,Undisciplined Rabble,last online 5 hours ago,16 Hundred Tons per month,16 Mbbl per month,Central Planning,$653 million,5299 Mbbl; 16 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,43717 km 2,http://blocgame.com/stats.php?id=62893,1 Tons,
Warispeace,Warispeace,,2k active personnel,0 ships,First World War surplus,Questionable,None,Poor,last online 30 hours ago,2 Hundred Tons per month,,Mixed Economy,$649 million,,Untapped,None,China,Neutral,13613 km 2,http://blocgame.com/stats.php?id=64278,,
BaniMelayu,PlayboyMelayu,,12k active personnel,0 ships,Second World War surplus,Questionable,None,Standard,last online 5 hours ago,2 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$648 million,220 Mbbl; 3 Mbbl,Near Depletion,Meagre,The Subcontinent,Neutral,2160 km 2,http://blocgame.com/stats.php?id=61862,,
NiGhTsLaYeR,NiGhTsLaYeR,Republic of China,36k active personnel,0 ships,First World War surplus,Good,None,Good,last online 15 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$648 million,1 Mbbl,Untapped,Meagre,China,Neutral,20398 km 2,http://blocgame.com/stats.php?id=65040,,
hatchblock,hatchblock,,7k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 30 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$643 million,1230 Mbbl; 2 Mbbl,Untapped,None,Atlas,Neutral,11325 km 2,http://blocgame.com/stats.php?id=64353,,
