country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
TheDarkSide,LordVader,The Divine Council,142k active personnel,3 ships,Korean War surplus,Angelic,3 factories,Standard,online now,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$4231 million,954 Mbbl; 3 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,85158 km 2,http://blocgame.com/stats.php?id=63139,,
Platypus Island,Mark0Polo,SPQR,238k active personnel,8 ships,Korean War surplus,Gandhi-like,5 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3928 million,21 Mbbl,,Very Powerful,Indochina,Soviet Union,41022 km 2,http://blocgame.com/stats.php?id=63909,,
Raja Udang,Mario,PIRATES,41k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,18 Hundred Tons per month,8 Mbbl per month,Free Market,$3697 million,101 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,37944 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 8 hours ago,20 Hundred Tons per month,15 Mbbl per month,Central Planning,$3502 million,3886 Mbbl; 15 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,95k active personnel,7 ships,Korean War surplus,Angelic,5 factories,Elite,online now,31 Hundred Tons per month,8 Mbbl per month,Central Planning,$3498 million,597 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,46383 km 2,http://blocgame.com/stats.php?id=62626,,
Tuonela,Beelzebub,The Order,118k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 4 hours ago,38 Hundred Tons per month,3 Mbbl per month,Central Planning,$3463 million,326 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,11 Hundred Tons per month,6 Mbbl per month,Free Market,$3229 million,262 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Newsoka,E Mark,The Divine Council,50k active personnel,3 ships,Second World War surplus,Normal,2 factories,Elite,last online 4 hours ago,33 Hundred Tons per month,16 Mbbl per month,Mixed Economy,$3215 million,475 Mbbl,Near Depletion,Large,Indochina,United States,27351 km 2,http://blocgame.com/stats.php?id=63105,,
Aasyria,David al-Assad,The Order,98k active personnel,7 ships,Second World War surplus,Gandhi-like,4 factories,Poor,last online 11 hours ago,35 Hundred Tons per month,17 Mbbl per month,Central Planning,$3190 million,4040 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Junoma,VicReyes,Steel Brotherhood,77k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,23 Hundred Tons per month,5 Mbbl per month,Free Market,$3115 million,417 Mbbl,Untapped,Powerful,Southern Cone,United States,45159 km 2,http://blocgame.com/stats.php?id=40349,2 Tons,
