country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Praetoria Augusta,Lykos,SPQR,135k active personnel,5 ships,Vietnam War surplus,Gandhi-like,5 factories,Poor,last online 1 hours ago,43 Hundred Tons per month,21 Mbbl per month,Central Planning,$2259 million,9303 Mbbl; 21 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,49801 km 2,http://blocgame.com/stats.php?id=39021,,1 Tons
PolandThePower,PolandThePower44,,7k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 107 hours ago,14 Hundred Tons per month,8 Mbbl per month,Central Planning,$2255 million,440 Mbbl; 8 Mbbl,Untapped,Large,Mesopotamia,Neutral,8600 km 2,http://blocgame.com/stats.php?id=58217,,
Aeter,Anima6778,The Order,81k active personnel,5 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 16 hours ago,29 Hundred Tons per month,10 Mbbl per month,Central Planning,$2251 million,181 Mbbl; 10 Mbbl,Untapped,Very Powerful,Congo,Soviet Union,48248 km 2,http://blocgame.com/stats.php?id=61960,,
Fedorians,LeMemeMaster,Illuminati,10k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 37 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$2248 million,,Untapped,Meagre,China,Soviet Union,13613 km 2,http://blocgame.com/stats.php?id=64028,,
kufr conquerors,SilversLegend,Brotherhood of Nod,78k active personnel,11 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 9 hours ago,23 Hundred Tons per month,1 Mbbl per month,Central Planning,$2245 million,137 Mbbl; 1 Mbbl,Untapped,Very Powerful,Southern Africa,Soviet Union,24173 km 2,http://blocgame.com/stats.php?id=59579,,
methamphetamine,UDIN88,The Federal Colonies,10k active personnel,0 ships,Korean War surplus,Pariah,2 factories,Undisciplined Rabble,last online 42 hours ago,4 Hundred Tons per month,5 Mbbl per month,Central Planning,$2244 million,30 Mbbl; 5 Mbbl,Untapped,Mediocre,East Indies,Neutral,3965 km 2,http://blocgame.com/stats.php?id=61702,,
south nation,presiden tote,PIRATES,35k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 18 hours ago,14 Hundred Tons per month,12 Mbbl per month,Central Planning,$2237 million,464 Mbbl; 12 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,34010 km 2,http://blocgame.com/stats.php?id=61911,,
Briggs,General Armstrong,SPQR,91k active personnel,0 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 1 hours ago,28 Hundred Tons per month,6 Mbbl per month,Central Planning,$2219 million,682 Mbbl,Plentiful,Very Powerful,Southern Cone,Soviet Union,43165 km 2,http://blocgame.com/stats.php?id=53442,,
Sarnath,Gnai-Kah,The Federal Colonies,75k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 22 hours ago,19 Hundred Tons per month,10 Mbbl per month,Free Market,$2215 million,943 Mbbl,Untapped,Somewhat Large,Arabia,United States,16159 km 2,http://blocgame.com/stats.php?id=62981,,
Iustitia,Kira,PIRATES,69k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Elite,last online 14 hours ago,15 Hundred Tons per month,,Free Market,$2211 million,102 Mbbl,Untapped,Powerful,East Indies,United States,33765 km 2,http://blocgame.com/stats.php?id=65277,,
