country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Newsoka,E Mark,The High Council,50k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,26 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$1939 million,158 Mbbl,Untapped,Mediocre,Indochina,United States,24574 km 2,http://blocgame.com/stats.php?id=63105,,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,First World War surplus,Angelic,3 factories,Good,online now,23 Hundred Tons per month,21 Mbbl per month,Central Planning,$1886 million,678 Mbbl; 21 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tamarlania,Vagrant,The High Council,269k active personnel,1 ships,First World War surplus,Angelic,5 factories,Standard,last online 1 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1753 million,4197 Mbbl; 61 Mbbl,Near Depletion,Powerful,Mesopotamia,United States,39945 km 2,http://blocgame.com/stats.php?id=61626,5%,
Tuonela,Beelzebub,The Order,54k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 5 hours ago,26 Hundred Tons per month,2 Mbbl per month,Central Planning,$1733 million,376 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Jebawka,Shetay,The Order,78k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 15 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1724 million,3221 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Standard,online now,38 Hundred Tons per month,5 Mbbl per month,Central Planning,$1699 million,160 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,39320 km 2,http://blocgame.com/stats.php?id=63083,,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1669 million,3518 Mbbl; 13 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Rome Reloaded,Tiberius Ceaser,SPQR,78k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,8 Mbbl per month,Central Planning,$1637 million,6708 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 11 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1446 million,4370 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
constania,Comrade,Divine League,37k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Good,last online 2 hours ago,15 Hundred Tons per month,6 Mbbl per month,Central Planning,$1430 million,165 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
temasik,lawrence,SPQR,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1426 million,553 Mbbl; 2 Mbbl,Near Depletion,Mediocre,East Indies,United States,15483 km 2,http://blocgame.com/stats.php?id=62827,,
North Nubia,Sean Tony,,119k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,27 Hundred Tons per month,10 Mbbl per month,Central Planning,$1425 million,168 Mbbl; 10 Mbbl,Plentiful,Small,Congo,Soviet Union,24541 km 2,http://blocgame.com/stats.php?id=63084,,
Ekodebota,tfwqtp2tlgf|;3,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,online now,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$1421 million,2682 Mbbl; 13 Mbbl,Plentiful,Very Powerful,Atlas,Soviet Union,30805 km 2,http://blocgame.com/stats.php?id=53422,,
Asians,bigyihsuan,The High Council,54k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 39 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1408 million,348 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,Second World War surplus,Nice,1 factory,Good,last online 8 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1400 million,3624 Mbbl; 10 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,,
Feffiopia,Serloks,Divine League,62k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1392 million,167 Mbbl,,Somewhat Large,The Subcontinent,Soviet Union,23320 km 2,http://blocgame.com/stats.php?id=46505,,
