country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Morovistan,Gustave Bergher,The Divine Council,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2895 million,4083 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Platypus Island,Mark0Polo,SPQR,55k active personnel,3 ships,Second World War surplus,Gandhi-like,5 factories,Good,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2872 million,279 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,74k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,30 Hundred Tons per month,3 Mbbl per month,Central Planning,$2850 million,371 Mbbl; 3 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Batu putih,Harzan,The Federal Colonies,61k active personnel,4 ships,Second World War surplus,Normal,3 factories,Elite,online now,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$2783 million,137 Mbbl,Near Depletion,Large,East Indies,Soviet Union,16282 km 2,http://blocgame.com/stats.php?id=61926,,
Raja Udang,Mario,PIRATES,75k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,17 Hundred Tons per month,8 Mbbl per month,Central Planning,$2775 million,240 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,44686 km 2,http://blocgame.com/stats.php?id=61754,,
whitmanistan,slim,The Order,83k active personnel,5 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2452 million,6410 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60079 km 2,http://blocgame.com/stats.php?id=36344,,
Kosan,Whitearcher8,The Divine Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 17 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$2419 million,6672 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
temasik,lawrence,SPQR,12k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 38 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2409 million,911 Mbbl; 4 Mbbl,,Small,East Indies,United States,18912 km 2,http://blocgame.com/stats.php?id=62827,,
Sovngarde,Farron47,The Order,84k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 2 hours ago,27 Hundred Tons per month,7 Mbbl per month,Central Planning,$2390 million,588 Mbbl; 7 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,43649 km 2,http://blocgame.com/stats.php?id=62626,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,47 Hundred Tons per month,5 Mbbl per month,Free Market,$2373 million,395 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
TheDarkSide,LordVader,The Divine Council,99k active personnel,5 ships,Korean War surplus,Gandhi-like,2 factories,Standard,online now,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$2369 million,700 Mbbl; 2 Mbbl,,Very Powerful,East Indies,Soviet Union,62957 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 11 hours ago,11 Hundred Tons per month,5 Mbbl per month,Free Market,$2360 million,345 Mbbl; 5 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Mirah,Filzah,The Order,74k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 7 hours ago,22 Hundred Tons per month,12 Mbbl per month,Central Planning,$2292 million,400 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,25391 km 2,http://blocgame.com/stats.php?id=64191,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$2287 million,235 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Eastasia,accounts being deleted,The United Nations,59k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$2258 million,882 Mbbl; 3 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,29007 km 2,http://blocgame.com/stats.php?id=63527,,
Aasyria,David al-Assad,The Order,70k active personnel,3 ships,First World War surplus,Nice,3 factories,Standard,last online 11 hours ago,22 Hundred Tons per month,15 Mbbl per month,Central Planning,$2192 million,3592 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,42439 km 2,http://blocgame.com/stats.php?id=60967,,
Shambala,Feranon,Brotherhood of Nod,53k active personnel,2 ships,Second World War surplus,Questionable,2 factories,Elite,online now,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$2180 million,125 Mbbl; 5 Mbbl,Plentiful,Large,Pacific Rim,Soviet Union,30620 km 2,http://blocgame.com/stats.php?id=41268,,5%
Junoma,VicReyes,Steel Brotherhood,39k active personnel,1 ships,Second World War surplus,Nice,2 factories,Elite,online now,17 Hundred Tons per month,5 Mbbl per month,Free Market,$2168 million,488 Mbbl,Untapped,Large,Southern Cone,United States,41381 km 2,http://blocgame.com/stats.php?id=40349,,
constania,Comrade,The Divine Council,99k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2156 million,35 Mbbl; 7 Mbbl,,Powerful,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Ghost Shark,Sharky,PIRATES,95k active personnel,8 ships,Second World War surplus,Nice,3 factories,Elite,online now,10 Hundred Tons per month,6 Mbbl per month,Free Market,$2155 million,200 Mbbl,Untapped,Large,East Indies,United States,47297 km 2,http://blocgame.com/stats.php?id=63863,,
Sintra,Daniel Lima,The Order,117k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,19 Hundred Tons per month,12 Mbbl per month,Central Planning,$2132 million,162 Mbbl; 12 Mbbl,,Somewhat Large,Caribbean,Soviet Union,35838 km 2,http://blocgame.com/stats.php?id=63167,,
Alamo,linksith,The United Nations,64k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 25 hours ago,9 Hundred Tons per month,2 Mbbl per month,Free Market,$2118 million,4366 Mbbl,Untapped,Mediocre,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,,
