country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
TheDarkSide,LordVader,The Fallen,23k active personnel,3 ships,Vietnam War surplus,Gandhi-like,3 factories,Poor,online now,27 Hundred Tons per month,4 Mbbl per month,Central Planning,$4074 million,936 Mbbl; 4 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,80177 km 2,http://blocgame.com/stats.php?id=63139,,
Raja Udang,Mario,PIRATES,60k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$4061 million,53 Mbbl; 8 Mbbl,Near Depletion,Mediocre,Pacific Rim,Soviet Union,37190 km 2,http://blocgame.com/stats.php?id=61754,,
Platypus Island,Mark0Polo,SPQR,276k active personnel,8 ships,Korean War surplus,Gandhi-like,5 factories,Poor,last online 5 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3960 million,21 Mbbl,,Very Powerful,Indochina,Soviet Union,48403 km 2,http://blocgame.com/stats.php?id=63909,,
Morovistan,Gustave Bergher,SPQR,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 12 hours ago,22 Hundred Tons per month,18 Mbbl per month,Central Planning,$3808 million,5283 Mbbl; 18 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,96k active personnel,9 ships,Korean War surplus,Angelic,5 factories,Elite,last online 1 hours ago,33 Hundred Tons per month,8 Mbbl per month,Central Planning,$3759 million,549 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,47137 km 2,http://blocgame.com/stats.php?id=62626,,
USSR,CommissarBrian,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 1 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$3721 million,83 Mbbl; 8 Mbbl,Plentiful,Mediocre,China,Soviet Union,48847 km 2,http://blocgame.com/stats.php?id=54182,,
Jemut,iwaniman/Ferozz,PIRATES,82k active personnel,8 ships,Second World War surplus,Axis of Evil,5 factories,Elite,last online 2 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$3714 million,169 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45108 km 2,http://blocgame.com/stats.php?id=61811,,
Conferan,Cryptox,The Fallen,113k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Good,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3685 million,327 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,54575 km 2,http://blocgame.com/stats.php?id=56710,,
Tuonela,Beelzebub,The Order,105k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,40 Hundred Tons per month,3 Mbbl per month,Central Planning,$3647 million,308 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,45310 km 2,http://blocgame.com/stats.php?id=389,,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,3 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 2 hours ago,12 Hundred Tons per month,6 Mbbl per month,Free Market,$3589 million,226 Mbbl; 6 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
Mirah,Filzah,The Order,127k active personnel,11 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 6 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$3554 million,471 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,29729 km 2,http://blocgame.com/stats.php?id=64191,,
Skekenhouse,Kraast,The Order,121k active personnel,5 ships,Korean War surplus,Nice,4 factories,Standard,online now,38 Hundred Tons per month,16 Mbbl per month,Central Planning,$3548 million,5517 Mbbl; 16 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,67191 km 2,http://blocgame.com/stats.php?id=62962,,
Ken no Taiyou,Hikari,The Order,67k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,9 Hundred Tons per month,35 Mbbl per month,Central Planning,$3388 million,2701 Mbbl; 35 Mbbl,Plentiful,Very Powerful,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
