country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,226k active personnel,8 ships,Second World War surplus,Gandhi-like,5 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$4660 million,112 Mbbl; 21 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,62433 km 2,http://blocgame.com/stats.php?id=63909,,
Raja Udang,Mario,PIRATES,60k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,18 Hundred Tons per month,10 Mbbl per month,Free Market,$4172 million,19 Mbbl; 10 Mbbl,Near Depletion,Somewhat Large,Pacific Rim,Soviet Union,37190 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,SPQR,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,23 Hundred Tons per month,19 Mbbl per month,Central Planning,$4003 million,5210 Mbbl; 19 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
USSR,CommissarBrian,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 8 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$3946 million,51 Mbbl; 8 Mbbl,Untapped,Large,China,Soviet Union,48847 km 2,http://blocgame.com/stats.php?id=54182,,
Jemut,iwaniman/Ferozz,PIRATES,98k active personnel,8 ships,Korean War surplus,Isolated,6 factories,Good,last online 4 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$3907 million,101 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45619 km 2,http://blocgame.com/stats.php?id=61811,,
Tuonela,Beelzebub,The Order,112k active personnel,4 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,41 Hundred Tons per month,3 Mbbl per month,Central Planning,$3814 million,296 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,45310 km 2,http://blocgame.com/stats.php?id=389,,
LOCAI,Agumentic,Brotherhood of Nod,79k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Good,online now,12 Hundred Tons per month,6 Mbbl per month,Free Market,$3813 million,202 Mbbl; 6 Mbbl,Plentiful,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
temasik,lawrence,SPQR,30k active personnel,2 ships,Second World War surplus,Angelic,2 factories,Elite,online now,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$3709 million,468 Mbbl,Near Depletion,Mediocre,East Indies,United States,12036 km 2,http://blocgame.com/stats.php?id=62827,,
Conferan,Cryptox,The Fallen,119k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3675 million,299 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,54575 km 2,http://blocgame.com/stats.php?id=56710,,
Mirah,Filzah,The Order,127k active personnel,11 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 4 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$3644 million,423 Mbbl; 12 Mbbl,Untapped,Very Powerful,China,Soviet Union,29729 km 2,http://blocgame.com/stats.php?id=64191,,
Ken no Taiyou,Hikari,The Order,67k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 11 hours ago,9 Hundred Tons per month,35 Mbbl per month,Central Planning,$3596 million,2561 Mbbl; 35 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
Uzbekistanstan,Shaikh Zayer,The Order,99k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,56 Hundred Tons per month,5 Mbbl per month,Free Market,$3566 million,270 Mbbl,Untapped,Very Powerful,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Sovngarde,Farron47,The Order,90k active personnel,10 ships,Korean War surplus,Angelic,6 factories,Elite,online now,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$3562 million,517 Mbbl; 8 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,47346 km 2,http://blocgame.com/stats.php?id=62626,,
Junoma,VicReyes,Steel Brotherhood,78k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,23 Hundred Tons per month,5 Mbbl per month,Free Market,$3512 million,367 Mbbl,Untapped,Powerful,Southern Cone,United States,45582 km 2,http://blocgame.com/stats.php?id=40349,2 Tons,
Skekenhouse,Kraast,The Order,146k active personnel,5 ships,Korean War surplus,Nice,5 factories,Standard,last online 3 hours ago,38 Hundred Tons per month,16 Mbbl per month,Central Planning,$3495 million,5453 Mbbl; 16 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,67191 km 2,http://blocgame.com/stats.php?id=62962,,
Aasyria,David al-Assad,The Order,138k active personnel,9 ships,Second World War surplus,Gandhi-like,4 factories,Poor,last online 13 hours ago,35 Hundred Tons per month,17 Mbbl per month,Central Planning,$3482 million,3870 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Lorigan,Lorigan,Steel Brotherhood,93k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$3480 million,359 Mbbl; 8 Mbbl,Plentiful,Large,Amazonia,Soviet Union,41898 km 2,http://blocgame.com/stats.php?id=59787,,
Rome Reloaded,Tiberius Ceaser,SPQR,54k active personnel,6 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 15 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$3459 million,4690 Mbbl,Near Depletion,Large,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
Asians,bigyihsuan,The Fallen,4k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 23 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$3425 million,49 Mbbl; 5 Mbbl,Plentiful,Mediocre,Pacific Rim,United States,8824 km 2,http://blocgame.com/stats.php?id=41551,,
Coccoladia,Ernesto Caprone,The Federal Colonies,38k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 25 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$3411 million,28 Mbbl; 2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 14 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$3399 million,335 Mbbl; 7 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Cirno,jc99,The Federal Colonies,158k active personnel,4 ships,Second World War surplus,Gandhi-like,8 factories,Poor,last online 5 hours ago,34 Hundred Tons per month,2 Mbbl per month,Free Market,$3387 million,214 Mbbl,Untapped,Powerful,Caribbean,United States,41625 km 2,http://blocgame.com/stats.php?id=43375,1 Tons,
TheDarkSide,LordVader,The Fallen,92k active personnel,4 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,online now,27 Hundred Tons per month,4 Mbbl per month,Central Planning,$3371 million,766 Mbbl; 4 Mbbl,Near Depletion,Very Powerful,East Indies,Soviet Union,66147 km 2,http://blocgame.com/stats.php?id=63139,,
Kosan,Whitearcher8,The Order,97k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,20 Hundred Tons per month,10 Mbbl per month,Central Planning,$3356 million,6459 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
Hitlerwasright,Louis C Cuck,The Order,98k active personnel,8 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 2 hours ago,35 Hundred Tons per month,25 Mbbl per month,Free Market,$3340 million,9720 Mbbl,Untapped,Very Powerful,Arabia,United States,33237 km 2,http://blocgame.com/stats.php?id=59621,,
Leinad,bloodywaffles12,The Order,38k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 19 hours ago,19 Hundred Tons per month,12 Mbbl per month,Central Planning,$3272 million,434 Mbbl; 12 Mbbl,Untapped,Large,China,Soviet Union,21542 km 2,http://blocgame.com/stats.php?id=59332,,
Conrad,Waled,SPQR,87k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,26 Hundred Tons per month,16 Mbbl per month,Central Planning,$3270 million,4994 Mbbl; 16 Mbbl,Plentiful,Powerful,Egypt,Soviet Union,22781 km 2,http://blocgame.com/stats.php?id=62640,,5%
