country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,236k active personnel,8 ships,Second World War surplus,Gandhi-like,5 factories,Poor,last online 1 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$4696 million,133 Mbbl; 21 Mbbl,Plentiful,Very Powerful,Indochina,Soviet Union,62433 km 2,http://blocgame.com/stats.php?id=63909,,
Raja Udang,Mario,PIRATES,60k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$4157 million,29 Mbbl; 8 Mbbl,Near Depletion,Somewhat Large,Pacific Rim,Soviet Union,37190 km 2,http://blocgame.com/stats.php?id=61754,,
Morovistan,Gustave Bergher,SPQR,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 10 hours ago,22 Hundred Tons per month,18 Mbbl per month,Central Planning,$3955 million,5229 Mbbl; 18 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,101k active personnel,10 ships,Korean War surplus,Angelic,6 factories,Elite,online now,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$3897 million,525 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,47285 km 2,http://blocgame.com/stats.php?id=62626,,
USSR,CommissarBrian,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 3 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$3888 million,59 Mbbl; 8 Mbbl,Untapped,Large,China,Soviet Union,48847 km 2,http://blocgame.com/stats.php?id=54182,,
Jemut,iwaniman/Ferozz,PIRATES,103k active personnel,8 ships,Korean War surplus,Pariah,6 factories,Good,last online 6 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$3860 million,118 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45365 km 2,http://blocgame.com/stats.php?id=61811,,
Tuonela,Beelzebub,The Order,107k active personnel,4 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,41 Hundred Tons per month,3 Mbbl per month,Central Planning,$3764 million,299 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,45310 km 2,http://blocgame.com/stats.php?id=389,,
LOCAI,Agumentic,Brotherhood of Nod,79k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Standard,last online 6 hours ago,12 Hundred Tons per month,6 Mbbl per month,Free Market,$3760 million,208 Mbbl; 6 Mbbl,Plentiful,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,1 Tons,
Conferan,Cryptox,The Fallen,119k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 4 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3676 million,306 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,54575 km 2,http://blocgame.com/stats.php?id=56710,,
Mirah,Filzah,The Order,127k active personnel,11 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 4 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$3623 million,435 Mbbl; 12 Mbbl,Untapped,Very Powerful,China,Soviet Union,29729 km 2,http://blocgame.com/stats.php?id=64191,,
Ken no Taiyou,Hikari,The Order,67k active personnel,6 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 1 hours ago,9 Hundred Tons per month,35 Mbbl per month,Central Planning,$3544 million,2596 Mbbl; 35 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
Uzbekistanstan,Shaikh Zayer,The Order,99k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 4 hours ago,56 Hundred Tons per month,5 Mbbl per month,Free Market,$3519 million,275 Mbbl,Untapped,Very Powerful,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Skekenhouse,Kraast,The Order,146k active personnel,5 ships,Korean War surplus,Nice,5 factories,Poor,last online 3 hours ago,38 Hundred Tons per month,16 Mbbl per month,Central Planning,$3513 million,5469 Mbbl; 16 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,67191 km 2,http://blocgame.com/stats.php?id=62962,,
Junoma,VicReyes,Steel Brotherhood,88k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,23 Hundred Tons per month,5 Mbbl per month,Free Market,$3473 million,372 Mbbl,Untapped,Powerful,Southern Cone,United States,45582 km 2,http://blocgame.com/stats.php?id=40349,2 Tons,
Aasyria,David al-Assad,The Order,138k active personnel,9 ships,Second World War surplus,Gandhi-like,4 factories,Poor,last online 1 hours ago,35 Hundred Tons per month,17 Mbbl per month,Central Planning,$3462 million,3887 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Lorigan,Lorigan,Steel Brotherhood,83k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 6 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$3451 million,367 Mbbl; 8 Mbbl,Untapped,Large,Amazonia,Soviet Union,41898 km 2,http://blocgame.com/stats.php?id=59787,,
Rome Reloaded,Tiberius Ceaser,SPQR,54k active personnel,6 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$3412 million,4702 Mbbl,Near Depletion,Large,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
TheDarkSide,LordVader,The Fallen,62k active personnel,3 ships,Vietnam War surplus,Gandhi-like,3 factories,Standard,online now,27 Hundred Tons per month,4 Mbbl per month,Central Planning,$3364 million,770 Mbbl; 4 Mbbl,Depleted,Very Powerful,East Indies,Soviet Union,66147 km 2,http://blocgame.com/stats.php?id=63139,,
Coccoladia,Ernesto Caprone,The Federal Colonies,38k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 13 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$3354 million,30 Mbbl; 2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Asians,bigyihsuan,The Fallen,14k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 11 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$3353 million,54 Mbbl; 5 Mbbl,Plentiful,Mediocre,Pacific Rim,United States,8913 km 2,http://blocgame.com/stats.php?id=41551,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 2 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$3353 million,342 Mbbl; 7 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Cirno,jc99,The Federal Colonies,158k active personnel,4 ships,Second World War surplus,Gandhi-like,8 factories,Poor,last online 1 hours ago,34 Hundred Tons per month,2 Mbbl per month,Free Market,$3343 million,216 Mbbl,Untapped,Powerful,Caribbean,United States,41625 km 2,http://blocgame.com/stats.php?id=43375,1 Tons,
Kosan,Whitearcher8,The Order,84k active personnel,2 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,20 Hundred Tons per month,10 Mbbl per month,Central Planning,$3311 million,6469 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
