country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Tamarlania,Vagrant,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,1 ships,First World War surplus,Good,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,The High Council,3 Hundred Tons per month,33 Mbbl per month,$746 million,alliancestats.php?allianceid=2039,5080 Mbbl,Mesopotamia,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,33442 km 2,http://blocgame.com/stats.php?id=61626,
Darkstone,Trakel,http://blocgame.com/alliancestats.php?allianceid=2039,61k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Elite,online now,rankings.php?subregion=ara,The High Council,12 Hundred Tons per month,11 Mbbl per month,$679 million,alliancestats.php?allianceid=2039,5281 Mbbl; 11 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,35666 km 2,http://blocgame.com/stats.php?id=57176,
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,49k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=sub,The Order,13 Hundred Tons per month,2 Mbbl per month,$673 million,alliancestats.php?allianceid=2045,222 Mbbl; 2 Mbbl,The Subcontinent,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sub,34332 km 2,http://blocgame.com/stats.php?id=389,
Morovistan,Gustave Bergher,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 2 hours ago,rankings.php?subregion=mes,The High Council,10 Hundred Tons per month,9 Mbbl per month,$671 million,alliancestats.php?allianceid=2039,3814 Mbbl; 9 Mbbl,Mesopotamia,,Meagre,http://blocgame.com/rankings.php?subregion=mes,23985 km 2,http://blocgame.com/stats.php?id=62905,
South Uganda,Dr. Idi Amin,http://blocgame.com/alliancestats.php?allianceid=2048,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,19 Hundred Tons per month,3 Mbbl per month,$657 million,alliancestats.php?allianceid=2048,461 Mbbl; 3 Mbbl,Southern Africa,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=saf,34970 km 2,http://blocgame.com/stats.php?id=63128,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=2048,34k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,9 Hundred Tons per month,8 Mbbl per month,$650 million,alliancestats.php?allianceid=2048,2017 Mbbl; 8 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,36125 km 2,http://blocgame.com/stats.php?id=49295,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=2048,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,10 Hundred Tons per month,2 Mbbl per month,$646 million,alliancestats.php?allianceid=2048,121 Mbbl; 2 Mbbl,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,37258 km 2,http://blocgame.com/stats.php?id=53068,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=2049,20k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Elite,online now,rankings.php?subregion=pac,Brotherhood of Nod,6 Hundred Tons per month,3 Mbbl per month,$639 million,alliancestats.php?allianceid=2049,312 Mbbl; 3 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,31241 km 2,http://blocgame.com/stats.php?id=41268,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=2042,57k active personnel,1 ships,First World War surplus,Angelic,2 factories,Elite,online now,rankings.php?subregion=pac,Interpol,23 Hundred Tons per month,,$638 million,alliancestats.php?allianceid=2042,61 Mbbl,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,32861 km 2,http://blocgame.com/stats.php?id=54376,
al-Bahrayn,dbdb,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,rankings.php?subregion=mes,The Order,6 Hundred Tons per month,6 Mbbl per month,$638 million,alliancestats.php?allianceid=2045,1002 Mbbl; 6 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30107 km 2,http://blocgame.com/stats.php?id=59775,
German Empire,Frederick the Great,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 23 hours ago,rankings.php?subregion=egy,SPQR,9 Hundred Tons per month,5 Mbbl per month,$620 million,alliancestats.php?allianceid=2064,4498 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,27600 km 2,http://blocgame.com/stats.php?id=63053,
Derse Moon,Jack Noir,http://blocgame.com/alliancestats.php?allianceid=2045,78k active personnel,1 ships,First World War surplus,Good,5 factories,Elite,online now,rankings.php?subregion=egy,The Order,30 Hundred Tons per month,30 Mbbl per month,$614 million,alliancestats.php?allianceid=2045,19229 Mbbl,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,41143 km 2,http://blocgame.com/stats.php?id=62965,
The NLR,Darknight,http://blocgame.com/alliancestats.php?allianceid=2050,34k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,rankings.php?subregion=congo,Divine League,23 Hundred Tons per month,2 Mbbl per month,$612 million,alliancestats.php?allianceid=2050,147 Mbbl; 2 Mbbl,Congo,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=congo,36778 km 2,http://blocgame.com/stats.php?id=49701,
Kek Slovakia,Fidel Kekstro,http://blocgame.com/alliancestats.php?allianceid=2045,33k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,rankings.php?subregion=pac,The Order,4 Hundred Tons per month,2 Mbbl per month,$611 million,alliancestats.php?allianceid=2045,356 Mbbl; 2 Mbbl,Pacific Rim,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=pac,34330 km 2,http://blocgame.com/stats.php?id=63462,
Asians,bigyihsuan,http://blocgame.com/alliancestats.php?allianceid=2039,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 29 hours ago,rankings.php?subregion=pac,The High Council,4 Hundred Tons per month,2 Mbbl per month,$609 million,alliancestats.php?allianceid=2039,473 Mbbl; 2 Mbbl,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=41551,
Wafflonia,Stellarwaffle,http://blocgame.com/alliancestats.php?allianceid=2064,60k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 4 hours ago,rankings.php?subregion=egy,SPQR,9 Hundred Tons per month,6 Mbbl per month,$608 million,alliancestats.php?allianceid=2064,3984 Mbbl; 6 Mbbl,Egypt,,Small,http://blocgame.com/rankings.php?subregion=egy,30750 km 2,http://blocgame.com/stats.php?id=63064,
Kukulala,Unkel,http://blocgame.com/alliancestats.php?allianceid=2039,28k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=sea,The High Council,8 Hundred Tons per month,4 Mbbl per month,$599 million,alliancestats.php?allianceid=2039,469 Mbbl,Indochina,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sea,34039 km 2,http://blocgame.com/stats.php?id=60796,1 Tons
Jemut,iwaniman/Ferozz,http://blocgame.com/alliancestats.php?allianceid=2069,44k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,rankings.php?subregion=ind,PIRATES,9 Hundred Tons per month,7 Mbbl per month,$599 million,alliancestats.php?allianceid=2069,381 Mbbl; 7 Mbbl,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,33327 km 2,http://blocgame.com/stats.php?id=61811,
Cyleia,Silas Adar,http://blocgame.com/alliancestats.php?allianceid=2045,18k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 3 hours ago,rankings.php?subregion=mex,The Order,4 Hundred Tons per month,4 Mbbl per month,$599 million,alliancestats.php?allianceid=2045,754 Mbbl; 4 Mbbl,Mesoamerica,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mex,28697 km 2,http://blocgame.com/stats.php?id=62784,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=2052,46k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,rankings.php?subregion=car,The Federal Colonies,25 Hundred Tons per month,2 Mbbl per month,$597 million,alliancestats.php?allianceid=2052,304 Mbbl,Caribbean,Plentiful,Small,http://blocgame.com/rankings.php?subregion=car,36077 km 2,http://blocgame.com/stats.php?id=43375,
Khebab,Al Khebab,http://blocgame.com/alliancestats.php?allianceid=2058,7k active personnel,0 ships,First World War surplus,Nice,1 factory,Poor,last online 80 hours ago,rankings.php?subregion=ara,Al-Qassam Brigades,6 Hundred Tons per month,6 Mbbl per month,$595 million,alliancestats.php?allianceid=2058,2238 Mbbl; 6 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,33462 km 2,http://blocgame.com/stats.php?id=63695,
Argon,Argus,http://blocgame.com/alliancestats.php?allianceid=2042,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=atl,Interpol,15 Hundred Tons per month,18 Mbbl per month,$594 million,alliancestats.php?allianceid=2042,2853 Mbbl; 18 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,36011 km 2,http://blocgame.com/stats.php?id=57323,
Violent Vegans,SnakeBombs,http://blocgame.com/alliancestats.php?allianceid=2042,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=atl,Interpol,10 Hundred Tons per month,6 Mbbl per month,$592 million,alliancestats.php?allianceid=2042,4784 Mbbl; 6 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,34236 km 2,http://blocgame.com/stats.php?id=48869,
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=2058,49k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,rankings.php?subregion=egy,Al-Qassam Brigades,6 Hundred Tons per month,5 Mbbl per month,$584 million,alliancestats.php?allianceid=2058,5938 Mbbl; 5 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,35795 km 2,http://blocgame.com/stats.php?id=52836,
Eisen,Balthazaar,http://blocgame.com/alliancestats.php?allianceid=2045,22k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,rankings.php?subregion=chi,The Order,12 Hundred Tons per month,4 Mbbl per month,$576 million,alliancestats.php?allianceid=2045,365 Mbbl; 4 Mbbl,China,Untapped,Large,http://blocgame.com/rankings.php?subregion=chi,39770 km 2,http://blocgame.com/stats.php?id=53566,
Hitlerwasright,Louis C Cuck,http://blocgame.com/alliancestats.php?allianceid=2045,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,rankings.php?subregion=ara,The Order,4 Hundred Tons per month,9 Mbbl per month,$576 million,alliancestats.php?allianceid=2045,1612 Mbbl,Arabia,Near Depletion,Mediocre,http://blocgame.com/rankings.php?subregion=ara,30157 km 2,http://blocgame.com/stats.php?id=59621,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=2039,47k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 6 hours ago,rankings.php?subregion=ara,The High Council,18 Hundred Tons per month,9 Mbbl per month,$573 million,alliancestats.php?allianceid=2039,5154 Mbbl; 9 Mbbl,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,36169 km 2,http://blocgame.com/stats.php?id=40238,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,12 Hundred Tons per month,5 Mbbl per month,$572 million,alliancestats.php?allianceid=2048,5404 Mbbl; 5 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,29860 km 2,http://blocgame.com/stats.php?id=4816,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=2052,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,rankings.php?subregion=per,The Federal Colonies,7 Hundred Tons per month,4 Mbbl per month,$570 million,alliancestats.php?allianceid=2052,2262 Mbbl; 4 Mbbl,Persia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=per,33724 km 2,http://blocgame.com/stats.php?id=48914,
FlySoGood,ycheez,http://blocgame.com/alliancestats.php?allianceid=2048,56k active personnel,0 ships,First World War surplus,Nice,1 factory,Poor,online now,rankings.php?subregion=atl,Brotherhood of Zion,11 Hundred Tons per month,10 Mbbl per month,$570 million,alliancestats.php?allianceid=2048,2027 Mbbl,Atlas,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=atl,32051 km 2,http://blocgame.com/stats.php?id=54541,
Turbanistan,eromer2,http://blocgame.com/alliancestats.php?allianceid=2045,28k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,online now,rankings.php?subregion=sub,The Order,8 Hundred Tons per month,2 Mbbl per month,$569 million,alliancestats.php?allianceid=2045,521 Mbbl; 2 Mbbl,The Subcontinent,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=sub,30082 km 2,http://blocgame.com/stats.php?id=63007,
mani,mani,http://blocgame.com/alliancestats.php?allianceid=2064,9k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 22 hours ago,rankings.php?subregion=per,SPQR,6 Hundred Tons per month,3 Mbbl per month,$568 million,alliancestats.php?allianceid=2064,680 Mbbl,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,16364 km 2,http://blocgame.com/stats.php?id=62912,
Mzab,Cuma Thurman,http://blocgame.com/alliancestats.php?allianceid=2048,31k active personnel,0 ships,First World War surplus,Isolated,1 factory,Good,last online 2 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,6 Hundred Tons per month,5 Mbbl per month,$565 million,alliancestats.php?allianceid=2048,4624 Mbbl; 5 Mbbl,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,29494 km 2,http://blocgame.com/stats.php?id=63775,
Junoma,VicReyes,http://blocgame.com/alliancestats.php?allianceid=2048,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,online now,rankings.php?subregion=con,Brotherhood of Zion,6 Hundred Tons per month,1 Mbbl per month,$564 million,alliancestats.php?allianceid=2048,421 Mbbl; 1 Mbbl,Southern Cone,Untapped,Small,http://blocgame.com/rankings.php?subregion=con,31241 km 2,http://blocgame.com/stats.php?id=40349,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=2049,32k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,rankings.php?subregion=mes,Brotherhood of Nod,14 Hundred Tons per month,8 Mbbl per month,$564 million,alliancestats.php?allianceid=2049,2448 Mbbl; 8 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,34178 km 2,http://blocgame.com/stats.php?id=56860,
Syphirious,Doxal,http://blocgame.com/alliancestats.php?allianceid=2042,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=mes,Interpol,12 Hundred Tons per month,17 Mbbl per month,$562 million,alliancestats.php?allianceid=2042,3419 Mbbl; 17 Mbbl,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,33688 km 2,http://blocgame.com/stats.php?id=59670,
Ambon,Chalkface,http://blocgame.com/alliancestats.php?allianceid=2045,48k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=pac,The Order,6 Hundred Tons per month,3 Mbbl per month,$561 million,alliancestats.php?allianceid=2045,418 Mbbl; 3 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,27330 km 2,http://blocgame.com/stats.php?id=42744,
Zuyazayuza,Zuyazayuza,http://blocgame.com/alliancestats.php?allianceid=2048,46k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Good,last online 1 hours ago,rankings.php?subregion=car,Brotherhood of Zion,12 Hundred Tons per month,1 Mbbl per month,$560 million,alliancestats.php?allianceid=2048,270 Mbbl,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,31379 km 2,http://blocgame.com/stats.php?id=62470,
Memiaya,MrRoth,http://blocgame.com/alliancestats.php?allianceid=2038,38k active personnel,0 ships,First World War surplus,Isolated,1 factory,Good,last online 2 hours ago,rankings.php?subregion=car,Che Guevara League,14 Hundred Tons per month,2 Mbbl per month,$560 million,alliancestats.php?allianceid=2038,423 Mbbl; 2 Mbbl,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,35973 km 2,http://blocgame.com/stats.php?id=62980,
Wielkopl,taikuh,http://blocgame.com/alliancestats.php?allianceid=2038,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 5 hours ago,rankings.php?subregion=car,Che Guevara League,17 Hundred Tons per month,,$559 million,alliancestats.php?allianceid=2038,53 Mbbl,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,33550 km 2,http://blocgame.com/stats.php?id=42376,
Russophia,Mikhail Putin,http://blocgame.com/alliancestats.php?allianceid=2064,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 2 hours ago,rankings.php?subregion=ara,SPQR,2 Hundred Tons per month,4 Mbbl per month,$557 million,alliancestats.php?allianceid=2064,4 Mbbl,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,13890 km 2,http://blocgame.com/stats.php?id=54426,
bakhang,cukobi,http://blocgame.com/alliancestats.php?allianceid=2045,31k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 14 hours ago,rankings.php?subregion=atl,The Order,9 Hundred Tons per month,3 Mbbl per month,$554 million,alliancestats.php?allianceid=2045,1061 Mbbl; 3 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,30352 km 2,http://blocgame.com/stats.php?id=60485,
Hajoki,Makao,,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 21 hours ago,rankings.php?subregion=atl,,0 Hundred Tons per month,9 Mbbl per month,$553 million,,2004 Mbbl,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,13751 km 2,http://blocgame.com/stats.php?id=60093,
Lepkonia,Raguixxx,http://blocgame.com/alliancestats.php?allianceid=2042,35k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,online now,rankings.php?subregion=con,Interpol,12 Hundred Tons per month,4 Mbbl per month,$552 million,alliancestats.php?allianceid=2042,149 Mbbl; 4 Mbbl,Southern Cone,Plentiful,Small,http://blocgame.com/rankings.php?subregion=con,33990 km 2,http://blocgame.com/stats.php?id=55854,
Hatmistan,Pertti II,http://blocgame.com/alliancestats.php?allianceid=2058,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=atl,Al-Qassam Brigades,5 Hundred Tons per month,3 Mbbl per month,$551 million,alliancestats.php?allianceid=2058,2117 Mbbl; 3 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,30995 km 2,http://blocgame.com/stats.php?id=46162,
Vilnus,Jurij Owsienko,http://blocgame.com/alliancestats.php?allianceid=2041,47k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 10 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,12 Hundred Tons per month,18 Mbbl per month,$551 million,alliancestats.php?allianceid=2041,3236 Mbbl; 18 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,34193 km 2,http://blocgame.com/stats.php?id=61610,
Mangkok,MangkukHayun,http://blocgame.com/alliancestats.php?allianceid=2039,62k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Standard,last online 11 hours ago,rankings.php?subregion=ind,The High Council,7 Hundred Tons per month,4 Mbbl per month,$550 million,alliancestats.php?allianceid=2039,230 Mbbl,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,32206 km 2,http://blocgame.com/stats.php?id=62210,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=2048,39k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,15 Hundred Tons per month,3 Mbbl per month,$548 million,alliancestats.php?allianceid=2048,529 Mbbl; 3 Mbbl,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,33209 km 2,http://blocgame.com/stats.php?id=47945,
OurTown,StarlightGlimmer,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Standard,online now,rankings.php?subregion=per,The Order,7 Hundred Tons per month,6 Mbbl per month,$545 million,alliancestats.php?allianceid=2045,3826 Mbbl,Persia,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=per,34823 km 2,http://blocgame.com/stats.php?id=51681,
Arina,Hakir,http://blocgame.com/alliancestats.php?allianceid=2042,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 6 hours ago,rankings.php?subregion=ama,Interpol,6 Hundred Tons per month,1 Mbbl per month,$545 million,alliancestats.php?allianceid=2042,210 Mbbl; 1 Mbbl,Amazonia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ama,30995 km 2,http://blocgame.com/stats.php?id=54480,
Jebawka,Shetay,http://blocgame.com/alliancestats.php?allianceid=2045,36k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 12 hours ago,rankings.php?subregion=ara,The Order,7 Hundred Tons per month,5 Mbbl per month,$543 million,alliancestats.php?allianceid=2045,2136 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,20165 km 2,http://blocgame.com/stats.php?id=54304,
Conrad,Waled,http://blocgame.com/alliancestats.php?allianceid=2058,23k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,rankings.php?subregion=egy,Al-Qassam Brigades,8 Hundred Tons per month,9 Mbbl per month,$541 million,alliancestats.php?allianceid=2058,5066 Mbbl; 9 Mbbl,Egypt,Near Depletion,None,http://blocgame.com/rankings.php?subregion=egy,23085 km 2,http://blocgame.com/stats.php?id=62640,
Ivalice,Nighthawk571,http://blocgame.com/alliancestats.php?allianceid=2042,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 5 hours ago,rankings.php?subregion=ara,Interpol,7 Hundred Tons per month,5 Mbbl per month,$541 million,alliancestats.php?allianceid=2042,1957 Mbbl; 5 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,31315 km 2,http://blocgame.com/stats.php?id=63060,
Reim,Azrael,http://blocgame.com/alliancestats.php?allianceid=2039,49k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,rankings.php?subregion=pac,The High Council,12 Hundred Tons per month,4 Mbbl per month,$540 million,alliancestats.php?allianceid=2039,480 Mbbl; 4 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,32917 km 2,http://blocgame.com/stats.php?id=41073,
Uzbekistanstan,Shaikh Zayer,http://blocgame.com/alliancestats.php?allianceid=2045,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,rankings.php?subregion=congo,The Order,9 Hundred Tons per month,1 Mbbl per month,$539 million,alliancestats.php?allianceid=2045,477 Mbbl,Congo,,Mediocre,http://blocgame.com/rankings.php?subregion=congo,29625 km 2,http://blocgame.com/stats.php?id=47207,
Lewd Place,Cute Girl,http://blocgame.com/alliancestats.php?allianceid=2041,42k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 11 hours ago,rankings.php?subregion=car,Lithuanian Coalition,14 Hundred Tons per month,6 Mbbl per month,$539 million,alliancestats.php?allianceid=2041,938 Mbbl,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,31320 km 2,http://blocgame.com/stats.php?id=61620,
the Haunted,thedrunkenarchitect,http://blocgame.com/alliancestats.php?allianceid=2048,27k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 7 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,5 Hundred Tons per month,3 Mbbl per month,$538 million,alliancestats.php?allianceid=2048,358 Mbbl; 3 Mbbl,Southern Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=saf,30025 km 2,http://blocgame.com/stats.php?id=63020,
Magical Horses,Tzafety,http://blocgame.com/alliancestats.php?allianceid=2050,33k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 5 hours ago,rankings.php?subregion=ara,Divine League,11 Hundred Tons per month,11 Mbbl per month,$537 million,alliancestats.php?allianceid=2050,2909 Mbbl; 11 Mbbl,Arabia,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=ara,33824 km 2,http://blocgame.com/stats.php?id=51070,
Glubistan,Glub,http://blocgame.com/alliancestats.php?allianceid=2064,18k active personnel,0 ships,First World War surplus,Angelic,None,Poor,online now,rankings.php?subregion=ara,SPQR,6 Hundred Tons per month,4 Mbbl per month,$537 million,alliancestats.php?allianceid=2064,1757 Mbbl; 4 Mbbl,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,22695 km 2,http://blocgame.com/stats.php?id=63027,
Prometheus,Jefferson,http://blocgame.com/alliancestats.php?allianceid=2045,30k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,last online 3 hours ago,rankings.php?subregion=car,The Order,10 Hundred Tons per month,3 Mbbl per month,$535 million,alliancestats.php?allianceid=2045,426 Mbbl,Caribbean,Plentiful,Small,http://blocgame.com/rankings.php?subregion=car,30033 km 2,http://blocgame.com/stats.php?id=56022,
Leche,ElHombreLeche,http://blocgame.com/alliancestats.php?allianceid=2054,28k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 10 hours ago,rankings.php?subregion=per,TheAccountantRevenge,4 Hundred Tons per month,2 Mbbl per month,$535 million,alliancestats.php?allianceid=2054,3042 Mbbl; 2 Mbbl,Persia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=per,32282 km 2,http://blocgame.com/stats.php?id=62425,
Skekenhouse,Kraast,http://blocgame.com/alliancestats.php?allianceid=2049,34k active personnel,0 ships,Second World War surplus,Nice,1 factory,Elite,online now,rankings.php?subregion=mes,Brotherhood of Nod,15 Hundred Tons per month,4 Mbbl per month,$535 million,alliancestats.php?allianceid=2049,2525 Mbbl; 4 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,35639 km 2,http://blocgame.com/stats.php?id=62962,
Kritch,Zorn,http://blocgame.com/alliancestats.php?allianceid=2049,35k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,rankings.php?subregion=sub,Brotherhood of Nod,5 Hundred Tons per month,1 Mbbl per month,$534 million,alliancestats.php?allianceid=2049,536 Mbbl; 1 Mbbl,The Subcontinent,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sub,26022 km 2,http://blocgame.com/stats.php?id=63155,
