country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
The Kebabtopol,Ghaddafini,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 140 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,,$266 million,,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=40117,
Falk,Seth,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 150 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,,$266 million,,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=43574,
Kozakura,Tenrai,http://blocgame.com/alliancestats.php?allianceid=2039,30k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 9 hours ago,rankings.php?subregion=pac,The High Council,2 Hundred Tons per month,1 Mbbl per month,$266 million,alliancestats.php?allianceid=2039,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,19999 km 2,http://blocgame.com/stats.php?id=48894,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=2064,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 80 hours ago,rankings.php?subregion=egy,SPQR,2 Hundred Tons per month,4 Mbbl per month,$266 million,alliancestats.php?allianceid=2064,4 Mbbl,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,20200 km 2,http://blocgame.com/stats.php?id=49868,
fishboyland,fishboy,http://blocgame.com/alliancestats.php?allianceid=2092,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 77 hours ago,rankings.php?subregion=ind,f,2 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2092,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=51831,
NMZ,Hally,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Elite,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,5 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2048,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20398 km 2,http://blocgame.com/stats.php?id=51877,
Krat,Mythron,http://blocgame.com/alliancestats.php?allianceid=2039,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 28 hours ago,rankings.php?subregion=sea,The High Council,3 Hundred Tons per month,1 Mbbl per month,$266 million,alliancestats.php?allianceid=2039,1 Mbbl,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=51892,
PonyPenetrators,PonyPenetrator,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 101 hours ago,rankings.php?subregion=chi,,2 Hundred Tons per month,,$266 million,,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=52348,
Ekodebota,tfwqtp2tlgf|;3,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 14 hours ago,rankings.php?subregion=atl,,3 Hundred Tons per month,3 Mbbl per month,$266 million,,1729 Mbbl; 3 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,20000 km 2,http://blocgame.com/stats.php?id=53422,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=2048,22k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 151 hours ago,rankings.php?subregion=pac,Brotherhood of Zion,2 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2048,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=53451,
