country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,59k active personnel,1 ships,5%,First World War surplus,Gandhi-like,5 factories,Elite,last online 7 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1758 million,4685 Mbbl,Untapped,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,23 Hundred Tons per month,2 Mbbl per month,Central Planning,$1441 million,392 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The High Council,50k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,online now,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1415 million,239 Mbbl,,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,
Platypus Island,Mark0Polo,SPQR,50k active personnel,0 ships,,First World War surplus,Normal,2 factories,Elite,online now,22 Hundred Tons per month,20 Mbbl per month,Central Planning,$1366 million,719 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,27207 km 2,http://blocgame.com/stats.php?id=63909,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,19 Hundred Tons per month,6 Mbbl per month,Central Planning,$1342 million,6766 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,15 Hundred Tons per month,13 Mbbl per month,Central Planning,$1338 million,3622 Mbbl; 13 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Russophia,Mikhail Putin,SPQR,6k active personnel,0 ships,,Second World War surplus,Good,None,Elite,last online 1 hours ago,3 Hundred Tons per month,5 Mbbl per month,Central Planning,$1212 million,3720 Mbbl; 5 Mbbl,Near Depletion,None,Arabia,Soviet Union,11460 km 2,http://blocgame.com/stats.php?id=54426,
Feffiopia,Serloks,Divine League,39k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1176 million,215 Mbbl,Untapped,Meagre,The Subcontinent,Soviet Union,22834 km 2,http://blocgame.com/stats.php?id=46505,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,online now,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$1160 million,3703 Mbbl; 9 Mbbl,Plentiful,Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Questionable,1 factory,Standard,last online 4 hours ago,23 Hundred Tons per month,2 Mbbl per month,Central Planning,$1157 million,192 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
temasik,lawrence,,14k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 65 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1141 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
Uzbekistanstan,Shaikh Zayer,The Order,49k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 6 hours ago,23 Hundred Tons per month,4 Mbbl per month,Free Market,$1137 million,518 Mbbl,Untapped,Mediocre,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,
