country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,72k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3038 million,216 Mbbl; 21 Mbbl,Untapped,Powerful,Indochina,Soviet Union,31435 km 2,http://blocgame.com/stats.php?id=63909,,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 8 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3022 million,4044 Mbbl; 13 Mbbl,Plentiful,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Tuonela,Beelzebub,The Order,74k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 10 hours ago,31 Hundred Tons per month,3 Mbbl per month,Central Planning,$2985 million,362 Mbbl; 3 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Batu putih,Harzan,The Federal Colonies,4k active personnel,4 ships,Second World War surplus,Pariah,3 factories,Elite,last online 1 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$2928 million,204 Mbbl,Near Depletion,Meagre,East Indies,Soviet Union,15944 km 2,http://blocgame.com/stats.php?id=61926,,
whitmanistan,slim,The Order,89k active personnel,5 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 6 hours ago,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2856 million,6653 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60991 km 2,http://blocgame.com/stats.php?id=36344,,
Raja Udang,Mario,PIRATES,97k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,18 Hundred Tons per month,8 Mbbl per month,Central Planning,$2840 million,216 Mbbl; 8 Mbbl,,Mediocre,Pacific Rim,Neutral,43798 km 2,http://blocgame.com/stats.php?id=61754,,
TheDarkSide,LordVader,The Divine Council,99k active personnel,5 ships,Korean War surplus,Angelic,2 factories,Standard,online now,27 Hundred Tons per month,2 Mbbl per month,Central Planning,$2610 million,774 Mbbl; 2 Mbbl,,Very Powerful,East Indies,Soviet Union,71177 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 8 hours ago,11 Hundred Tons per month,5 Mbbl per month,Free Market,$2540 million,330 Mbbl; 5 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
temasik,lawrence,SPQR,32k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 20 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2530 million,899 Mbbl; 4 Mbbl,Near Depletion,Mediocre,East Indies,United States,18912 km 2,http://blocgame.com/stats.php?id=62827,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,50 Hundred Tons per month,5 Mbbl per month,Free Market,$2517 million,380 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Sovngarde,Farron47,The Order,84k active personnel,4 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,28 Hundred Tons per month,7 Mbbl per month,Central Planning,$2507 million,567 Mbbl; 7 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,43649 km 2,http://blocgame.com/stats.php?id=62626,,
Kosan,Whitearcher8,The Divine Council,70k active personnel,0 ships,Second World War surplus,Angelic,2 factories,Elite,last online 3 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$2500 million,6654 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
Mirah,Filzah,The Order,80k active personnel,7 ships,Second World War surplus,Angelic,4 factories,Good,online now,23 Hundred Tons per month,12 Mbbl per month,Central Planning,$2435 million,364 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,26243 km 2,http://blocgame.com/stats.php?id=64191,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 13 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$2431 million,223 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Asians,bigyihsuan,The Divine Council,38k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Poor,last online 10 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2413 million,230 Mbbl; 5 Mbbl,Plentiful,Mediocre,Pacific Rim,United States,16191 km 2,http://blocgame.com/stats.php?id=41551,,
Aasyria,David al-Assad,The Order,78k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Standard,last online 1 hours ago,26 Hundred Tons per month,15 Mbbl per month,Central Planning,$2333 million,3547 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,42439 km 2,http://blocgame.com/stats.php?id=60967,,
Shambala,Feranon,Brotherhood of Nod,79k active personnel,1 ships,Second World War surplus,Good,2 factories,Elite,last online 11 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$2309 million,110 Mbbl; 5 Mbbl,Untapped,Large,Pacific Rim,Soviet Union,30314 km 2,http://blocgame.com/stats.php?id=41268,,5%
Tamarlania,Vagrant,The Order,139k active personnel,9 ships,Second World War surplus,Pariah,6 factories,Elite,last online 4 hours ago,63 Hundred Tons per month,67 Mbbl per month,Free Market,$2304 million,5342 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,57180 km 2,http://blocgame.com/stats.php?id=61626,,5%
Ken no Taiyou,Hikari,The Order,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,9 Hundred Tons per month,31 Mbbl per month,Central Planning,$2278 million,1272 Mbbl; 31 Mbbl,Untapped,Large,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
Eastasia,accounts being deleted,The Order,65k active personnel,1 ships,Korean War surplus,Angelic,2 factories,Elite,online now,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$2273 million,870 Mbbl; 4 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,29318 km 2,http://blocgame.com/stats.php?id=63527,,
Junoma,VicReyes,Steel Brotherhood,43k active personnel,1 ships,Second World War surplus,Nice,2 factories,Elite,last online 11 hours ago,17 Hundred Tons per month,5 Mbbl per month,Free Market,$2270 million,473 Mbbl,Untapped,Large,Southern Cone,United States,41381 km 2,http://blocgame.com/stats.php?id=40349,,
Alamo,linksith,The United Nations,66k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 25 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$2227 million,4360 Mbbl,Untapped,Mediocre,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,,
USSR,CommissarBrian,The Order,79k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 4 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$2227 million,211 Mbbl; 8 Mbbl,Plentiful,Small,China,Soviet Union,47029 km 2,http://blocgame.com/stats.php?id=54182,,
Ghost Shark,Sharky,PIRATES,81k active personnel,8 ships,Second World War surplus,Questionable,3 factories,Good,last online 1 hours ago,10 Hundred Tons per month,6 Mbbl per month,Free Market,$2210 million,182 Mbbl,Untapped,Large,East Indies,United States,48218 km 2,http://blocgame.com/stats.php?id=63863,,
constania,Comrade,The Divine Council,99k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 15 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2201 million,14 Mbbl; 7 Mbbl,Plentiful,Powerful,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Hitlerwasright,Louis C Cuck,The Order,58k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,35 Hundred Tons per month,25 Mbbl per month,Free Market,$2197 million,10270 Mbbl,Near Depletion,Large,Arabia,United States,33237 km 2,http://blocgame.com/stats.php?id=59621,,
nanas,nanas batu,The Divine Council,1k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,20 Hundred Tons per month,6 Mbbl per month,Central Planning,$2187 million,90 Mbbl; 6 Mbbl,,Mediocre,East Indies,Neutral,30862 km 2,http://blocgame.com/stats.php?id=61809,,
Mingland,mpetersen,Brotherhood of Nod,99k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,27 Hundred Tons per month,11 Mbbl per month,Central Planning,$2184 million,390 Mbbl; 11 Mbbl,Untapped,Powerful,Southern Africa,Soviet Union,29330 km 2,http://blocgame.com/stats.php?id=63922,,
Sintra,Daniel Lima,The Order,127k active personnel,3 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 13 hours ago,19 Hundred Tons per month,12 Mbbl per month,Central Planning,$2183 million,126 Mbbl; 12 Mbbl,Plentiful,Somewhat Large,Caribbean,Soviet Union,35838 km 2,http://blocgame.com/stats.php?id=63167,,
Brutish Empire,DarkyDonno,SPQR,88k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,21 Hundred Tons per month,9 Mbbl per month,Central Planning,$2172 million,127 Mbbl; 9 Mbbl,,Large,China,Soviet Union,33060 km 2,http://blocgame.com/stats.php?id=57265,,
Newsoka,E Mark,The Divine Council,33k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,31 Hundred Tons per month,12 Mbbl per month,Mixed Economy,$2170 million,610 Mbbl,Untapped,Mediocre,Indochina,United States,24948 km 2,http://blocgame.com/stats.php?id=63105,,
Coccoladia,Ernesto Caprone,The Federal Colonies,49k active personnel,1 ships,Second World War surplus,Angelic,2 factories,Standard,last online 3 hours ago,21 Hundred Tons per month,2 Mbbl per month,Central Planning,$2161 million,72 Mbbl; 2 Mbbl,Untapped,Large,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Mesopotamia,Arcturus,The Order,78k active personnel,2 ships,Second World War surplus,Questionable,3 factories,Good,online now,23 Hundred Tons per month,14 Mbbl per month,Free Market,$2158 million,6007 Mbbl,Untapped,Mediocre,Mesopotamia,United States,37057 km 2,http://blocgame.com/stats.php?id=42045,,
Morjei,FlairWoW,The Divine Council,74k active personnel,1 ships,Second World War surplus,Angelic,5 factories,Good,online now,34 Hundred Tons per month,5 Mbbl per month,Central Planning,$2158 million,31 Mbbl; 5 Mbbl,Untapped,Powerful,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,,
Junovia,dontworryaboutit,Interpol,50k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,24 Hundred Tons per month,7 Mbbl per month,Free Market,$2130 million,437 Mbbl; 7 Mbbl,Untapped,Large,Pacific Rim,Neutral,21094 km 2,http://blocgame.com/stats.php?id=63088,,
SOPF,Johnathinski Weston,The United Nations,21k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 91 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$2128 million,113 Mbbl; 4 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,17704 km 2,http://blocgame.com/stats.php?id=62841,,
KingBding,King B,The Order,32k active personnel,3 ships,Second World War surplus,Nice,3 factories,Elite,last online 3 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$2125 million,266 Mbbl; 3 Mbbl,Untapped,Very Powerful,Southern Africa,Soviet Union,25241 km 2,http://blocgame.com/stats.php?id=63205,,
