country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,59k active personnel,1 ships,5%,First World War surplus,Gandhi-like,4 factories,Elite,last online 15 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1707 million,4746 Mbbl,Untapped,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,online now,23 Hundred Tons per month,2 Mbbl per month,Central Planning,$1409 million,394 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Platypus Island,Mark0Polo,SPQR,50k active personnel,0 ships,,First World War surplus,Good,2 factories,Elite,online now,22 Hundred Tons per month,20 Mbbl per month,Central Planning,$1326 million,739 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,26307 km 2,http://blocgame.com/stats.php?id=63909,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 8 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1294 million,6772 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,online now,15 Hundred Tons per month,13 Mbbl per month,Central Planning,$1290 million,3635 Mbbl; 13 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Newsoka,E Mark,The High Council,38k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 13 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1197 million,232 Mbbl,Plentiful,Mediocre,Indochina,United States,21155 km 2,http://blocgame.com/stats.php?id=63105,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Elite,last online 11 hours ago,3 Hundred Tons per month,5 Mbbl per month,Central Planning,$1188 million,3725 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 10 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$1130 million,3712 Mbbl; 9 Mbbl,Plentiful,Large,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
Feffiopia,Serloks,Divine League,39k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1128 million,221 Mbbl,Untapped,Meagre,The Subcontinent,Soviet Union,22834 km 2,http://blocgame.com/stats.php?id=46505,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Questionable,1 factory,Standard,online now,23 Hundred Tons per month,2 Mbbl per month,Central Planning,$1122 million,194 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
