country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,219k active personnel,1 ships,5%,First World War surplus,Gandhi-like,5 factories,Undisciplined Rabble,online now,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1835 million,4502 Mbbl; 61 Mbbl,Near Depletion,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,,First World War surplus,Good,2 factories,Elite,last online 7 hours ago,22 Hundred Tons per month,20 Mbbl per month,Central Planning,$1695 million,701 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,24 Hundred Tons per month,2 Mbbl per month,Central Planning,$1543 million,386 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The High Council,50k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 14 hours ago,18 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1508 million,209 Mbbl,,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,23 Hundred Tons per month,6 Mbbl per month,Central Planning,$1473 million,6748 Mbbl,,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,1 Tons
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,online now,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1470 million,3583 Mbbl; 13 Mbbl,,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
temasik,lawrence,,10k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1288 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,16011 km 2,http://blocgame.com/stats.php?id=62827,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,Finest of the 19th century,Normal,1 factory,Standard,last online 1 hours ago,29 Hundred Tons per month,3 Mbbl per month,Central Planning,$1270 million,185 Mbbl; 3 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
Feffiopia,Serloks,Divine League,79k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,online now,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1260 million,197 Mbbl,,Mediocre,The Subcontinent,Soviet Union,22834 km 2,http://blocgame.com/stats.php?id=46505,
Cyleia,Silas Adar,The Order,63k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,online now,11 Hundred Tons per month,5 Mbbl per month,Free Market,$1252 million,540 Mbbl; 5 Mbbl,Plentiful,Somewhat Large,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,,Second World War surplus,Isolated,1 factory,Elite,last online 2 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1250 million,3674 Mbbl; 10 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
Asians,bigyihsuan,The High Council,36k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 62 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1248 million,358 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
Jebawka,Shetay,The Order,78k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1247 million,2759 Mbbl,Untapped,Small,Arabia,United States,24365 km 2,http://blocgame.com/stats.php?id=54304,
