country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,last online 19 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$1227 million,4403 Mbbl,Untapped,Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
Uzbekistanstan,Shaikh Zayer,The Order,59k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,online now,27 Hundred Tons per month,4 Mbbl per month,Free Market,$1218 million,506 Mbbl,Untapped,Mediocre,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,
Morjei,FlairWoW,Brotherhood of Zion,58k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 7 hours ago,21 Hundred Tons per month,3 Mbbl per month,Central Planning,$1218 million,115 Mbbl; 3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,41483 km 2,http://blocgame.com/stats.php?id=53068,
Ivalice,Nighthawk571,Interpol,49k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 5 hours ago,18 Hundred Tons per month,16 Mbbl per month,Central Planning,$1189 million,2779 Mbbl; 16 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,35726 km 2,http://blocgame.com/stats.php?id=63060,
Lorigan,Lorigan,The High Council,49k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,16 Hundred Tons per month,8 Mbbl per month,Central Planning,$1177 million,409 Mbbl; 8 Mbbl,Untapped,Mediocre,Amazonia,Soviet Union,36653 km 2,http://blocgame.com/stats.php?id=59787,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,89k active personnel,2 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,30 Hundred Tons per month,5 Mbbl per month,Central Planning,$1166 million,437 Mbbl; 5 Mbbl,Untapped,Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,
al-Bahrayn,dbdb,The Order,56k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 12 hours ago,7 Hundred Tons per month,8 Mbbl per month,Central Planning,$1162 million,1149 Mbbl; 8 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,32888 km 2,http://blocgame.com/stats.php?id=59775,
Malaysia.,Tuanku Adam Zhafri,PIRATES,48k active personnel,0 ships,,First World War surplus,Pariah,3 factories,Elite,last online 4 hours ago,10 Hundred Tons per month,9 Mbbl per month,Central Planning,$1151 million,274 Mbbl; 9 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,28755 km 2,http://blocgame.com/stats.php?id=63032,
VinnyNation,VinnyRuler,Brotherhood of Zion,47k active personnel,0 ships,,Second World War surplus,Normal,1 factory,Good,last online 2 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1148 million,331 Mbbl; 4 Mbbl,Plentiful,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,
Cirno,jc99,The Federal Colonies,68k active personnel,0 ships,,First World War surplus,Gandhi-like,3 factories,Elite,online now,33 Hundred Tons per month,2 Mbbl per month,Free Market,$1135 million,284 Mbbl,Untapped,Mediocre,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,
Markovia,RDM HC,The Federal Colonies,69k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,online now,15 Hundred Tons per month,8 Mbbl per month,Free Market,$1133 million,400 Mbbl; 8 Mbbl,Untapped,Somewhat Large,Caribbean,United States,39075 km 2,http://blocgame.com/stats.php?id=58369,
bakhang,cukobi,The Order,55k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 24 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$1131 million,1383 Mbbl; 7 Mbbl,Untapped,Large,Atlas,Soviet Union,40085 km 2,http://blocgame.com/stats.php?id=60485,
Conferan,Cryptox,The High Council,79k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,online now,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$1124 million,519 Mbbl,Untapped,Powerful,East Indies,Soviet Union,41457 km 2,http://blocgame.com/stats.php?id=56710,1 Tons
LOCAI,Agumentic,Brotherhood of Zion,29k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,7 Hundred Tons per month,3 Mbbl per month,Free Market,$1119 million,194 Mbbl; 3 Mbbl,Untapped,Large,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,
Shambala,Feranon,Brotherhood of Nod,30k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$1118 million,245 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,1 Tons
Russophia,Mikhail Putin,SPQR,3k active personnel,0 ships,,Second World War surplus,Pariah,None,Elite,last online 6 hours ago,3 Hundred Tons per month,5 Mbbl per month,Central Planning,$1115 million,3085 Mbbl; 5 Mbbl,,None,Arabia,Soviet Union,9550 km 2,http://blocgame.com/stats.php?id=54426,
Zeon Alliance,Char Aznable,The High Council,50k active personnel,6 ships,,First World War surplus,Gandhi-like,2 factories,Elite,online now,7 Hundred Tons per month,7 Mbbl per month,Free Market,$1103 million,9 Mbbl; 7 Mbbl,Untapped,Powerful,Pacific Rim,United States,30895 km 2,http://blocgame.com/stats.php?id=62248,1 Tons
BongoBongoBongo,oBerry,The Order,39k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,1 factory,Elite,last online 3 hours ago,23 Hundred Tons per month,5 Mbbl per month,Central Planning,$1102 million,266 Mbbl; 5 Mbbl,Plentiful,Mediocre,Congo,Soviet Union,20923 km 2,http://blocgame.com/stats.php?id=63942,
Tyanra,SaffronMerchant,SPQR,56k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,16 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1101 million,1555 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,34788 km 2,http://blocgame.com/stats.php?id=60365,
Sepidajistan,Shah Squid,Al-Qassam Brigades,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$1077 million,3772 Mbbl; 3 Mbbl,,Small,Atlas,Soviet Union,15382 km 2,http://blocgame.com/stats.php?id=59462,
Cameronia,Cameron Saxonson,Che Guevara League,40k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,16 Hundred Tons per month,9 Mbbl per month,Central Planning,$1074 million,437 Mbbl; 9 Mbbl,Untapped,Mediocre,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,
Worthless Sand,Spirit of Saddam Hussein,Brotherhood of Nod,18k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Standard,last online 3 hours ago,12 Hundred Tons per month,4 Mbbl per month,Central Planning,$1065 million,3691 Mbbl; 4 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=63192,
constania,Comrade,Divine League,37k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$1064 million,195 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62606,
Mzab,Cuma Thurman,Brotherhood of Zion,55k active personnel,1 ships,,Second World War surplus,Isolated,2 factories,Good,last online 4 hours ago,15 Hundred Tons per month,12 Mbbl per month,Central Planning,$1056 million,4476 Mbbl; 12 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,36773 km 2,http://blocgame.com/stats.php?id=63775,
Senglia,mreid2112,Farmington Brigade,7k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 116 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$1050 million,2 Mbbl,Untapped,Meagre,Indochina,Soviet Union,9288 km 2,http://blocgame.com/stats.php?id=62920,
raja_png,DiDi27,,8k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 16 hours ago,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$1048 million,214 Mbbl; 5 Mbbl,Untapped,None,Pacific Rim,Soviet Union,9083 km 2,http://blocgame.com/stats.php?id=62000,
Hansetica,Svan,The Order,40k active personnel,1 ships,,First World War surplus,Nice,2 factories,Elite,last online 2 hours ago,12 Hundred Tons per month,6 Mbbl per month,Central Planning,$1048 million,343 Mbbl; 6 Mbbl,,Mediocre,China,Soviet Union,25637 km 2,http://blocgame.com/stats.php?id=63390,
mani,mani,SPQR,8k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,8 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$1045 million,336 Mbbl,Untapped,Mediocre,Persia,Neutral,9190 km 2,http://blocgame.com/stats.php?id=62912,
North Nubia,Sean Tony,The United Nations,89k active personnel,1 ships,,Second World War surplus,Gandhi-like,3 factories,Standard,online now,25 Hundred Tons per month,10 Mbbl per month,Central Planning,$1045 million,202 Mbbl; 10 Mbbl,,Mediocre,Congo,Soviet Union,20349 km 2,http://blocgame.com/stats.php?id=63084,
Lubekran,septima,Interpol,36k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 17 hours ago,8 Hundred Tons per month,3 Mbbl per month,Central Planning,$1033 million,1 Mbbl; 3 Mbbl,Untapped,Small,Indochina,Soviet Union,11120 km 2,http://blocgame.com/stats.php?id=62568,
Yummy Foods,iiruka,Interpol,113k active personnel,2 ships,,Second World War surplus,Gandhi-like,3 factories,Elite,online now,43 Hundred Tons per month,1 Mbbl per month,Free Market,$1028 million,77 Mbbl,Plentiful,Large,Pacific Rim,United States,41667 km 2,http://blocgame.com/stats.php?id=54376,
Tamil Kingdom,Chola I,Brotherhood of Zion,87k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,online now,46 Hundred Tons per month,7 Mbbl per month,Central Planning,$1205 million,451 Mbbl; 7 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,50031 km 2,http://blocgame.com/stats.php?id=60964,1 Tons
Krasnyyikistan,JohnTheGreat,Comintern,79k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,7 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$1022 million,3789 Mbbl,Untapped,Large,Arabia,Soviet Union,27972 km 2,http://blocgame.com/stats.php?id=50209,
Hitlerwasright,Louis C Cuck,The Order,33k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,7 Hundred Tons per month,10 Mbbl per month,Free Market,$1019 million,2464 Mbbl,Near Depletion,Meagre,Arabia,United States,33572 km 2,http://blocgame.com/stats.php?id=59621,
ZAMENTA,ShAh FAr HAn,The Order,80k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Standard,last online 6 hours ago,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$1018 million,319 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,41322 km 2,http://blocgame.com/stats.php?id=61998,1 Tons
Surakistahn,Harry Drewer,,7k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Poor,last online 111 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$1016 million,1368 Mbbl,Untapped,Meagre,Mesopotamia,Neutral,7645 km 2,http://blocgame.com/stats.php?id=46090,
Ekodebota,tfwqtp2tlgf|;3,The High Council,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Poor,last online 1 hours ago,24 Hundred Tons per month,12 Mbbl per month,Central Planning,$1014 million,2338 Mbbl; 12 Mbbl,Plentiful,Large,Atlas,Soviet Union,28005 km 2,http://blocgame.com/stats.php?id=53422,
Pan-demo-nium,Raja,The Order,25k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 66 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$1013 million,188 Mbbl; 2 Mbbl,,Somewhat Large,The Subcontinent,Soviet Union,18189 km 2,http://blocgame.com/stats.php?id=63195,
Glubistan,Glub,SPQR,38k active personnel,0 ships,,First World War surplus,Angelic,1 factory,Undisciplined Rabble,online now,20 Hundred Tons per month,11 Mbbl per month,Central Planning,$1011 million,1608 Mbbl; 11 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,22469 km 2,http://blocgame.com/stats.php?id=63027,
Etiwan,Latvu,The High Council,33k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,18 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$1010 million,409 Mbbl,Untapped,Mediocre,Amazonia,United States,27420 km 2,http://blocgame.com/stats.php?id=60056,
fetiwert,raja adam iskandar,The Federal Colonies,10k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 54 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$998 million,,Untapped,None,East Indies,Soviet Union,9360 km 2,http://blocgame.com/stats.php?id=63124,
Alamo,linksith,The United Nations,22k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 6 hours ago,7 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$990 million,4055 Mbbl,Untapped,None,Mesopotamia,United States,10898 km 2,http://blocgame.com/stats.php?id=40536,
Valtania,Kelvin D. Makumbi,,71k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 22 hours ago,15 Hundred Tons per month,6 Mbbl per month,Central Planning,$988 million,214 Mbbl; 6 Mbbl,Untapped,Mediocre,Mesoamerica,Soviet Union,28457 km 2,http://blocgame.com/stats.php?id=62525,
Argon,Argus,Interpol,39k active personnel,4 ships,,Second World War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,20 Hundred Tons per month,27 Mbbl per month,Central Planning,$986 million,2708 Mbbl; 27 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,40872 km 2,http://blocgame.com/stats.php?id=57323,
CTSKRR,CTSKRR,The High Council,8k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,last online 52 hours ago,8 Hundred Tons per month,7 Mbbl per month,Central Planning,$985 million,253 Mbbl; 7 Mbbl,Untapped,Somewhat Large,China,Soviet Union,20441 km 2,http://blocgame.com/stats.php?id=60811,
Batu putih,Harzan,The Federal Colonies,44k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$978 million,205 Mbbl,Near Depletion,Small,East Indies,Soviet Union,10657 km 2,http://blocgame.com/stats.php?id=61926,
Robots,stormbot28,Interpol,56k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 116 hours ago,8 Hundred Tons per month,,Free Market,$973 million,,Untapped,Mediocre,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242,
Leinad,bloodywaffles12,The United Nations,33k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Poor,last online 52 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$971 million,111 Mbbl; 5 Mbbl,Untapped,Mediocre,China,Soviet Union,20307 km 2,http://blocgame.com/stats.php?id=59332,
Haxeltopia,Haxel,,10k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Elite,last online 135 hours ago,5 Hundred Tons per month,5 Mbbl per month,Free Market,$968 million,,Untapped,None,Caribbean,United States,9360 km 2,http://blocgame.com/stats.php?id=63063,
Honesty,Fury,SPQR,8k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,None,Elite,online now,11 Hundred Tons per month,,Free Market,$962 million,,Untapped,None,Mesopotamia,United States,9266 km 2,http://blocgame.com/stats.php?id=62094,
Junoma,VicReyes,Brotherhood of Zion,30k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$959 million,390 Mbbl; 2 Mbbl,Untapped,Somewhat Large,Southern Cone,United States,33688 km 2,http://blocgame.com/stats.php?id=40349,
the Haunted,thedrunkenarchitect,Brotherhood of Zion,39k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,24 Hundred Tons per month,4 Mbbl per month,Central Planning,$958 million,534 Mbbl; 4 Mbbl,Untapped,Large,Southern Africa,Soviet Union,34137 km 2,http://blocgame.com/stats.php?id=63020,
Brunstovia,Zat Other Guy,Interpol,16k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 17 hours ago,8 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$956 million,252 Mbbl; 2 Mbbl,Untapped,Small,China,United States,13343 km 2,http://blocgame.com/stats.php?id=62648,
DFWEFWEF,dmc5,Interpol,30k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,online now,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$955 million,5011 Mbbl; 4 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,35376 km 2,http://blocgame.com/stats.php?id=55118,
Asiana,El_Xanatos,The High Council,53k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,19 Hundred Tons per month,4 Mbbl per month,Central Planning,$954 million,164 Mbbl; 4 Mbbl,Untapped,Meagre,Indochina,Soviet Union,41507 km 2,http://blocgame.com/stats.php?id=62221,
Syphirious,Doxal,Interpol,57k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 6 hours ago,21 Hundred Tons per month,27 Mbbl per month,Central Planning,$952 million,4111 Mbbl; 27 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,40669 km 2,http://blocgame.com/stats.php?id=59670,
Civilia,Sir_Ranger,Al-Qassam Brigades,10k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 88 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$942 million,2 Mbbl,Untapped,None,China,Neutral,9175 km 2,http://blocgame.com/stats.php?id=62017,
SOPF,Johnathinski Weston,Farmington Brigade,18k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 70 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$942 million,232 Mbbl; 4 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,19728 km 2,http://blocgame.com/stats.php?id=62841,
Shining Sun,Wladyslaw Gomulka,Lithuanian Coalition,40k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 9 hours ago,15 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$934 million,79 Mbbl,Untapped,Mediocre,Southern Africa,Soviet Union,18382 km 2,http://blocgame.com/stats.php?id=61511,
Nuwe Rhodesia,dudeskis,The Order,42k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 11 hours ago,11 Hundred Tons per month,4 Mbbl per month,Central Planning,$927 million,46 Mbbl,Untapped,Mediocre,Gran Colombia,Neutral,20887 km 2,http://blocgame.com/stats.php?id=6338,
Nueva Galicia,FedericoDionisi,Che Guevara League,19k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Elite,last online 25 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$927 million,87 Mbbl; 2 Mbbl,Untapped,Somewhat Large,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=60349,
Communistutopia,Bill Broskis,The Order,58k active personnel,1 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 9 hours ago,14 Hundred Tons per month,9 Mbbl per month,Central Planning,$926 million,4744 Mbbl; 9 Mbbl,Untapped,Mediocre,Persia,Soviet Union,32240 km 2,http://blocgame.com/stats.php?id=49796,
Carpentaria,fuerza,PIRATES,52k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 12 hours ago,6 Hundred Tons per month,5 Mbbl per month,Central Planning,$924 million,327 Mbbl,Near Depletion,Small,East Indies,Neutral,18830 km 2,http://blocgame.com/stats.php?id=59901,
sandakania,Ryan Kentang,Brotherhood of Zion,70k active personnel,2 ships,,Second World War surplus,Gandhi-like,3 factories,Standard,last online 10 hours ago,12 Hundred Tons per month,6 Mbbl per month,Free Market,$924 million,471 Mbbl,Untapped,Large,East Indies,United States,38333 km 2,http://blocgame.com/stats.php?id=60600,
pelle,pelle,The Order,59k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 7 hours ago,25 Hundred Tons per month,3 Mbbl per month,Central Planning,$923 million,529 Mbbl; 3 Mbbl,Plentiful,Very Powerful,China,Soviet Union,44192 km 2,http://blocgame.com/stats.php?id=52372,
kinabalu,fatimah,,6k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Elite,last online 8 hours ago,11 Hundred Tons per month,13 Mbbl per month,Central Planning,$919 million,2379 Mbbl,Untapped,Meagre,Arabia,Neutral,8994 km 2,http://blocgame.com/stats.php?id=62887,
Leche,ElHombreLeche,,9k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Standard,last online 114 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$915 million,2050 Mbbl; 5 Mbbl,Untapped,Mediocre,Persia,Soviet Union,21803 km 2,http://blocgame.com/stats.php?id=62425,
Derse Moon,Jack Noir,The Order,109k active personnel,8 ships,,Second World War surplus,Questionable,5 factories,Elite,online now,40 Hundred Tons per month,40 Mbbl per month,Free Market,$915 million,21039 Mbbl,Near Depletion,Very Powerful,Egypt,United States,66431 km 2,http://blocgame.com/stats.php?id=62965,
Bendover,Mike Hawk,Farmington Brigade,10k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 72 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$914 million,151 Mbbl; 1 Mbbl,Untapped,None,East Indies,Soviet Union,11005 km 2,http://blocgame.com/stats.php?id=62897,
Raja Udang,Mario,PIRATES,42k active personnel,0 ships,,Second World War surplus,Good,2 factories,Elite,last online 5 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$913 million,263 Mbbl; 4 Mbbl,Near Depletion,Meagre,Pacific Rim,Soviet Union,32292 km 2,http://blocgame.com/stats.php?id=61754,
Utopiastan,SilmAlpha,The High Council,42k active personnel,1 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,online now,25 Hundred Tons per month,6 Mbbl per month,Central Planning,$912 million,1793 Mbbl; 6 Mbbl,Untapped,Large,Guinea,Soviet Union,40791 km 2,http://blocgame.com/stats.php?id=56876,
RadYugoslavija,Cobraaahhh1,The High Council,51k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,online now,19 Hundred Tons per month,7 Mbbl per month,Central Planning,$911 million,306 Mbbl; 7 Mbbl,Plentiful,Small,Pacific Rim,Soviet Union,37116 km 2,http://blocgame.com/stats.php?id=62615,
