country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,193k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Standard,online now,27 Hundred Tons per month,21 Mbbl per month,Central Planning,$2114 million,573 Mbbl; 21 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,66k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$1937 million,366 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Kyranistan,Michael Hussain,Comintern,48k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$1927 million,5988 Mbbl; 11 Mbbl,Depleted,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 16 hours ago,17 Hundred Tons per month,13 Mbbl per month,Central Planning,$1871 million,3453 Mbbl; 13 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Tamarlania,Vagrant,The High Council,219k active personnel,1 ships,First World War surplus,Gandhi-like,5 factories,Standard,last online 17 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1830 million,4502 Mbbl,Untapped,Powerful,Mesopotamia,United States,43375 km 2,http://blocgame.com/stats.php?id=61626,5%,
temasik,lawrence,SPQR,37k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$1772 million,563 Mbbl; 3 Mbbl,Near Depletion,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Jebawka,Shetay,The Order,86k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 22 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1753 million,3171 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,10 Mbbl per month,Central Planning,$1747 million,6666 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
Feffiopia,Serloks,The High Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,22 Hundred Tons per month,6 Mbbl per month,Central Planning,$1714 million,137 Mbbl,Near Depletion,Somewhat Large,The Subcontinent,Soviet Union,24983 km 2,http://blocgame.com/stats.php?id=46505,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 17 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1673 million,4335 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
