country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Asiana,El_Xanatos,The Divine Council,87k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 2 hours ago,33 Hundred Tons per month,7 Mbbl per month,Central Planning,$2755 million,298 Mbbl; 7 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,59453 km 2,http://blocgame.com/stats.php?id=62221,,
Kosan,Whitearcher8,The Divine Council,70k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 5 hours ago,16 Hundred Tons per month,9 Mbbl per month,Central Planning,$2747 million,6595 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
Rome Reloaded,Tiberius Ceaser,SPQR,46k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 2 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$2723 million,4858 Mbbl,Near Depletion,Somewhat Large,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
Skekenhouse,Kraast,The Order,84k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,35 Hundred Tons per month,16 Mbbl per month,Central Planning,$2667 million,4693 Mbbl; 16 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,56679 km 2,http://blocgame.com/stats.php?id=62962,,
Hitlerwasright,Louis C Cuck,The Order,98k active personnel,0 ships,Korean War surplus,Gandhi-like,4 factories,Good,online now,35 Hundred Tons per month,25 Mbbl per month,Free Market,$2662 million,10070 Mbbl,,Large,Arabia,United States,33237 km 2,http://blocgame.com/stats.php?id=59621,,
Coccoladia,Ernesto Caprone,The Federal Colonies,38k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 12 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$2613 million,56 Mbbl; 2 Mbbl,Untapped,Large,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Conferan,Cryptox,The Divine Council,118k active personnel,3 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 5 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$2607 million,352 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,50509 km 2,http://blocgame.com/stats.php?id=56710,1 Tons,
USSR,CommissarBrian,The Order,79k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Poor,online now,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$2603 million,147 Mbbl; 8 Mbbl,Untapped,Small,China,Soviet Union,47029 km 2,http://blocgame.com/stats.php?id=54182,,
Markovia,RDM HC,The Federal Colonies,118k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,26 Hundred Tons per month,13 Mbbl per month,Free Market,$2583 million,480 Mbbl; 13 Mbbl,Untapped,Powerful,Caribbean,United States,40901 km 2,http://blocgame.com/stats.php?id=58369,,
Morjei,FlairWoW,The Divine Council,74k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Standard,last online 7 hours ago,38 Hundred Tons per month,5 Mbbl per month,Central Planning,$2569 million,374 Mbbl; 5 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,,
