country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,59k active personnel,1 ships,5%,First World War surplus,Angelic,3 factories,Elite,last online 2 hours ago,11 Hundred Tons per month,61 Mbbl per month,Free Market,$1516 million,4990 Mbbl,Plentiful,Large,Mesopotamia,United States,40045 km 2,http://blocgame.com/stats.php?id=61626,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$1285 million,402 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Platypus Island,Mark0Polo,SPQR,50k active personnel,0 ships,,First World War surplus,Nice,2 factories,Elite,last online 1 hours ago,18 Hundred Tons per month,16 Mbbl per month,Central Planning,$1166 million,812 Mbbl; 16 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,26307 km 2,http://blocgame.com/stats.php?id=63909,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,15 Hundred Tons per month,13 Mbbl per month,Central Planning,$1108 million,3687 Mbbl; 13 Mbbl,Untapped,Small,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,online now,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$1101 million,6792 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,First World War surplus,Isolated,1 factory,Standard,last online 1 hours ago,18 Hundred Tons per month,2 Mbbl per month,Central Planning,$1016 million,202 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,37416 km 2,http://blocgame.com/stats.php?id=63083,
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Elite,last online 5 hours ago,2 Hundred Tons per month,5 Mbbl per month,Central Planning,$990 million,3745 Mbbl; 5 Mbbl,Untapped,None,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426,
Biji Kurdistan,Myron2point0,Comintern,39k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$986 million,3748 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,59k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,29 Hundred Tons per month,4 Mbbl per month,Central Planning,$977 million,472 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,
bakhang,cukobi,The Order,39k active personnel,0 ships,,First World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$968 million,1439 Mbbl; 7 Mbbl,Untapped,Large,Atlas,Soviet Union,40085 km 2,http://blocgame.com/stats.php?id=60485,
Kritch,Zorn,Brotherhood of Nod,84k active personnel,0 ships,,First World War surplus,Normal,1 factory,Good,last online 5 hours ago,15 Hundred Tons per month,3 Mbbl per month,Central Planning,$954 million,603 Mbbl; 3 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,38517 km 2,http://blocgame.com/stats.php?id=63155,
