country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,183k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Standard,online now,26 Hundred Tons per month,21 Mbbl per month,Central Planning,$2063 million,594 Mbbl; 21 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,58k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$1895 million,368 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Kyranistan,Michael Hussain,Comintern,46k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 2 hours ago,11 Hundred Tons per month,10 Mbbl per month,Central Planning,$1880 million,5999 Mbbl; 10 Mbbl,Depleted,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Tamarlania,Vagrant,The High Council,219k active personnel,1 ships,First World War surplus,Gandhi-like,5 factories,Standard,last online 6 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1871 million,4563 Mbbl,Untapped,Powerful,Mesopotamia,United States,43375 km 2,http://blocgame.com/stats.php?id=61626,5%,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,17 Hundred Tons per month,13 Mbbl per month,Central Planning,$1829 million,3466 Mbbl; 13 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Jebawka,Shetay,The Order,86k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 11 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1744 million,3181 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
temasik,lawrence,SPQR,37k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$1732 million,566 Mbbl; 3 Mbbl,Near Depletion,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,9 Mbbl per month,Central Planning,$1724 million,6675 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
Feffiopia,Serloks,The High Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,20 Hundred Tons per month,6 Mbbl per month,Central Planning,$1692 million,143 Mbbl,Near Depletion,Somewhat Large,The Subcontinent,Soviet Union,24983 km 2,http://blocgame.com/stats.php?id=46505,,
Femtonesia,1101,Comintern,62k active personnel,0 ships,First World War surplus,Nice,2 factories,Elite,last online 1 hours ago,40 Hundred Tons per month,5 Mbbl per month,Central Planning,$1646 million,140 Mbbl; 5 Mbbl,Depleted,Mediocre,Pacific Rim,Soviet Union,38538 km 2,http://blocgame.com/stats.php?id=63083,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 5 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1626 million,4342 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
Sovngarde,Farron47,The High Council,44k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,18 Hundred Tons per month,5 Mbbl per month,Central Planning,$1625 million,601 Mbbl; 5 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,40749 km 2,http://blocgame.com/stats.php?id=62626,,
constania,Comrade,The High Council,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$1594 million,140 Mbbl; 7 Mbbl,Untapped,Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Morjei,FlairWoW,The High Council,74k active personnel,0 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,26 Hundred Tons per month,3 Mbbl per month,Central Planning,$1564 million,98 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,,
