country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Vargr,NickiusBigDickius,,10k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 147 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$443 million,,Untapped,Meagre,Southern Africa,Neutral,8856 km 2,http://blocgame.com/stats.php?id=63524,,
\\\'Murica,Blob26,,1k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 15 hours ago,2 Hundred Tons per month,,Mixed Economy,$440 million,,Untapped,None,Caribbean,Neutral,11345 km 2,http://blocgame.com/stats.php?id=59539,,
Syraan,Desus,The Order,46k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 1 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$440 million,2267 Mbbl; 2 Mbbl,,Mediocre,Egypt,Soviet Union,16500 km 2,http://blocgame.com/stats.php?id=59870,,
GWNP,brody1337,,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 5 hours ago,9 Hundred Tons per month,1 Mbbl per month,Central Planning,$440 million,1 Mbbl,Untapped,Meagre,West Africa,Neutral,16502 km 2,http://blocgame.com/stats.php?id=64007,,
Nautique,wayneeconomist,The High Council,77k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 1 hours ago,16 Hundred Tons per month,2 Mbbl per month,Central Planning,$439 million,460 Mbbl; 2 Mbbl,,Very Powerful,The Subcontinent,Soviet Union,25136 km 2,http://blocgame.com/stats.php?id=58443,,
SUNGAI KERAK,Nizarudin,PIRATES,41k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,6 Hundred Tons per month,5 Mbbl per month,Free Market,$439 million,233 Mbbl,Untapped,Mediocre,East Indies,United States,23633 km 2,http://blocgame.com/stats.php?id=61710,,
Casa del Nolano,jnolat09,The Order,36k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,online now,4 Hundred Tons per month,2 Mbbl per month,Free Market,$438 million,275 Mbbl; 2 Mbbl,Untapped,None,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=45936,,
Reborn Prussia,Erik Schmidt,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 167 hours ago,2 Hundred Tons per month,,Mixed Economy,$438 million,,Untapped,None,Gran Colombia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=60026,,
Portobol,Guilherme Castro,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 17 hours ago,5 Hundred Tons per month,,Mixed Economy,$438 million,278 Mbbl,Untapped,Meagre,Southern Cone,United States,15730 km 2,http://blocgame.com/stats.php?id=64169,,
Burgaria,The Burger King,African Union,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 7 hours ago,4 Hundred Tons per month,,Mixed Economy,$437 million,,Untapped,None,Congo,Soviet Union,13613 km 2,http://blocgame.com/stats.php?id=63468,,
La Federacion,Jose Raul Martinez,The High Council,45k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 10 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$437 million,318 Mbbl; 1 Mbbl,Untapped,Mediocre,Mesoamerica,Soviet Union,23765 km 2,http://blocgame.com/stats.php?id=64281,,
Bellatrix,General Vorchevsky,,9k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 106 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$436 million,1 Mbbl,Untapped,None,Arabia,Neutral,9175 km 2,http://blocgame.com/stats.php?id=62246,,
