country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,last online 15 hours ago,3 Hundred Tons per month,33 Mbbl per month,Free Market,$768 million,5047 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,33442 km 2,http://blocgame.com/stats.php?id=61626,
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 3 hours ago,10 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$755 million,3805 Mbbl; 9 Mbbl,Plentiful,Meagre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Tuonela,Beelzebub,The Order,53k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,13 Hundred Tons per month,2 Mbbl per month,Central Planning,$681 million,220 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,34495 km 2,http://blocgame.com/stats.php?id=389,
Derse Moon,Jack Noir,The Order,50k active personnel,1 ships,First World War surplus,Normal,5 factories,Elite,online now,30 Hundred Tons per month,30 Mbbl per month,Free Market,$681 million,19412 Mbbl,,Very Powerful,Egypt,United States,46625 km 2,http://blocgame.com/stats.php?id=62965,
Darkstone,Trakel,The High Council,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,16 Hundred Tons per month,11 Mbbl per month,Central Planning,$676 million,5270 Mbbl; 11 Mbbl,Untapped,Small,Arabia,Soviet Union,35666 km 2,http://blocgame.com/stats.php?id=57176,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 1 hours ago,20 Hundred Tons per month,3 Mbbl per month,Central Planning,$664 million,458 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,34970 km 2,http://blocgame.com/stats.php?id=63128,
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Elite,last online 2 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$652 million,309 Mbbl; 3 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 12 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$652 million,996 Mbbl; 6 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$651 million,119 Mbbl; 2 Mbbl,Untapped,Meagre,Indochina,Soviet Union,37258 km 2,http://blocgame.com/stats.php?id=53068,
Asians,bigyihsuan,The High Council,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 41 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$649 million,471 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=41551,
Pooland,kurwa,Brotherhood of Zion,34k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 9 hours ago,9 Hundred Tons per month,8 Mbbl per month,Central Planning,$649 million,2009 Mbbl; 8 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,36125 km 2,http://blocgame.com/stats.php?id=49295,
Lyranistan,Lyranistan,Brotherhood of Nod,34k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 3 hours ago,16 Hundred Tons per month,12 Mbbl per month,Central Planning,$647 million,2436 Mbbl; 12 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,36846 km 2,http://blocgame.com/stats.php?id=56860,
Memiaya,MrRoth,Che Guevara League,38k active personnel,0 ships,First World War surplus,Isolated,1 factory,Good,online now,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$646 million,458 Mbbl; 2 Mbbl,Untapped,Mediocre,Caribbean,Soviet Union,40493 km 2,http://blocgame.com/stats.php?id=62980,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 11 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$643 million,4493 Mbbl,Untapped,Somewhat Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
Yummy Foods,iiruka,Interpol,59k active personnel,1 ships,First World War surplus,Angelic,2 factories,Elite,online now,23 Hundred Tons per month,1 Mbbl per month,Free Market,$636 million,60 Mbbl,Plentiful,Mediocre,Pacific Rim,United States,32861 km 2,http://blocgame.com/stats.php?id=54376,
Utopiastan,SilmAlpha,The High Council,39k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,20 Hundred Tons per month,5 Mbbl per month,Central Planning,$621 million,1002 Mbbl; 5 Mbbl,Untapped,Meagre,Guinea,Soviet Union,35843 km 2,http://blocgame.com/stats.php?id=56876,
Cyleia,Silas Adar,The Order,13k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 8 hours ago,4 Hundred Tons per month,4 Mbbl per month,Free Market,$620 million,750 Mbbl; 4 Mbbl,Untapped,Mediocre,Mesoamerica,United States,28411 km 2,http://blocgame.com/stats.php?id=62784,
Byzantium,The Wolf,The United Nations,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,12 Hundred Tons per month,7 Mbbl per month,Free Market,$618 million,5188 Mbbl,Untapped,Mediocre,Mesopotamia,United States,33379 km 2,http://blocgame.com/stats.php?id=41125,
Deklain,Otis,The High Council,30k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 1 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$618 million,192 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066,
Kek Slovakia,Fidel Kekstro,The Order,33k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 12 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$615 million,354 Mbbl; 2 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,34330 km 2,http://blocgame.com/stats.php?id=63462,
The NLR,Darknight,Divine League,44k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,online now,23 Hundred Tons per month,2 Mbbl per month,Central Planning,$610 million,145 Mbbl; 2 Mbbl,Plentiful,Mediocre,Congo,Soviet Union,36778 km 2,http://blocgame.com/stats.php?id=49701,
Wafflonia,Stellarwaffle,SPQR,58k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 1 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$610 million,3978 Mbbl; 6 Mbbl,Plentiful,Small,Egypt,Soviet Union,30750 km 2,http://blocgame.com/stats.php?id=63064,
Valtania,Kelvin D. Makumbi,Che Guevara League,56k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,last online 5 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$608 million,310 Mbbl; 5 Mbbl,Untapped,None,Mesoamerica,Soviet Union,27676 km 2,http://blocgame.com/stats.php?id=62525,
Vanan,Esler,The Order,54k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 7 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$608 million,328 Mbbl; 3 Mbbl,Plentiful,Small,Congo,Soviet Union,33595 km 2,http://blocgame.com/stats.php?id=63339,
Khebab,Al Khebab,Al-Qassam Brigades,7k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 92 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$608 million,2232 Mbbl; 6 Mbbl,Untapped,Meagre,Arabia,Soviet Union,33462 km 2,http://blocgame.com/stats.php?id=63695,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$608 million,443 Mbbl; 3 Mbbl,Untapped,Meagre,Indochina,Soviet Union,24056 km 2,http://blocgame.com/stats.php?id=63909,
mani,mani,SPQR,3k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 34 hours ago,6 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$607 million,677 Mbbl,Untapped,Meagre,Persia,Neutral,16201 km 2,http://blocgame.com/stats.php?id=62912,
Jemut,iwaniman/Ferozz,PIRATES,45k active personnel,0 ships,First World War surplus,Angelic,2 factories,Elite,last online 3 hours ago,9 Hundred Tons per month,8 Mbbl per month,Central Planning,$606 million,373 Mbbl; 8 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,33536 km 2,http://blocgame.com/stats.php?id=61811,
Russophia,Mikhail Putin,SPQR,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 14 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$605 million,4 Mbbl,Untapped,None,Arabia,Soviet Union,13890 km 2,http://blocgame.com/stats.php?id=54426,
Cirno,jc99,The Federal Colonies,46k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 1 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$601 million,302 Mbbl,Plentiful,Small,Caribbean,United States,36077 km 2,http://blocgame.com/stats.php?id=43375,
Kukulala,Unkel,The High Council,28k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 11 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$600 million,465 Mbbl,Untapped,Mediocre,Indochina,United States,34274 km 2,http://blocgame.com/stats.php?id=60796,1 Tons
Argon,Argus,Interpol,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,17 Hundred Tons per month,19 Mbbl per month,Central Planning,$594 million,2834 Mbbl; 19 Mbbl,Untapped,Small,Atlas,Soviet Union,36011 km 2,http://blocgame.com/stats.php?id=57323,
Violent Vegans,SnakeBombs,Interpol,42k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,online now,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$590 million,4778 Mbbl; 6 Mbbl,Untapped,Small,Atlas,Soviet Union,34236 km 2,http://blocgame.com/stats.php?id=48869,
Hitlerwasright,Louis C Cuck,The Order,39k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 3 hours ago,4 Hundred Tons per month,9 Mbbl per month,Free Market,$583 million,1603 Mbbl,Near Depletion,Mediocre,Arabia,United States,30157 km 2,http://blocgame.com/stats.php?id=59621,
Large Man,LargeMan,Al-Qassam Brigades,49k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 12 hours ago,6 Hundred Tons per month,5 Mbbl per month,Central Planning,$582 million,5933 Mbbl; 5 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,35795 km 2,http://blocgame.com/stats.php?id=52836,
sandakania,Ryan Kentang,Brotherhood of Zion,32k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,10 Hundred Tons per month,3 Mbbl per month,Free Market,$582 million,531 Mbbl,Untapped,Mediocre,East Indies,United States,34382 km 2,http://blocgame.com/stats.php?id=60600,
Whitey,Knee Grow,Brotherhood of Zion,25k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 6 hours ago,12 Hundred Tons per month,5 Mbbl per month,Free Market,$580 million,5399 Mbbl; 5 Mbbl,Untapped,Mediocre,Egypt,United States,29860 km 2,http://blocgame.com/stats.php?id=4816,
Turbanistan,eromer2,The Order,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 4 hours ago,8 Hundred Tons per month,2 Mbbl per month,Central Planning,$576 million,519 Mbbl; 2 Mbbl,Plentiful,Meagre,The Subcontinent,Soviet Union,30082 km 2,http://blocgame.com/stats.php?id=63007,
Eisen,Balthazaar,The Order,14k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 1 hours ago,12 Hundred Tons per month,4 Mbbl per month,Central Planning,$574 million,361 Mbbl; 4 Mbbl,Untapped,Large,China,Soviet Union,39933 km 2,http://blocgame.com/stats.php?id=53566,
Tyrantia,Malakal,The High Council,44k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,18 Hundred Tons per month,9 Mbbl per month,Central Planning,$573 million,5145 Mbbl; 9 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,36758 km 2,http://blocgame.com/stats.php?id=40238,
Jebawka,Shetay,The Order,40k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,8 Hundred Tons per month,9 Mbbl per month,Free Market,$573 million,2131 Mbbl,Untapped,Meagre,Arabia,United States,20165 km 2,http://blocgame.com/stats.php?id=54304,
